,Date,User,Tweet
0,2023-02-21 16:03:28+00:00,AriannaSimpson,"We're delighted to continue supporting the team at @AzraGames and can’t wait to play its first game @legions_legends. To get a preview of what they’re building, check out https://t.co/blA3qQc3vi"
1,2023-02-21 16:03:26+00:00,AriannaSimpson,"After working together for years on games such as Star Wars: Galaxy of Heroes, the team has reunited to build fun RPG gaming experiences with their unique approach to balancing the interests of traditional players, game developers, and crypto natives."
2,2023-02-21 16:03:23+00:00,AriannaSimpson,"We initially invested in @markotero and the @AzraGames team last May, and over the last nine months we’ve seen the seasoned games team he’s assembled execute in a world-class way to bring its first game @legions_legends to life."
3,2023-02-21 16:03:20+00:00,AriannaSimpson,The unique ownership and economic models of web3 combined with the “gameplay-comes-first philosophy” of @markotero and the team provides an incredible opportunity to take RPGs to the next level.
4,2023-02-21 16:03:19+00:00,AriannaSimpson,"We think the most engaging games of the future will incorporate web3 to empower their users, and that’s why today we’re thrilled to be deepening our investment in @AzraGames. https://t.co/RVxBA4AKnN"
5,2023-02-21 16:03:17+00:00,AriannaSimpson,"The best games make you feel like a kid again. It’s a special combination of play, immersive storytelling, and compelling narratives that can captivate people for hours (or days, months, not to mention years!). 🧵👇🏼"
6,2023-02-16 18:29:11+00:00,AriannaSimpson,"@pzakin @benscharfstein @0xamand @stelolabs Oh HELLO friend, it’s been a minute!"
7,2023-02-16 16:03:48+00:00,AriannaSimpson,"This is just the beginning. Since September, Stelo has protected thousands of wallets holding assets worth over $100m. Today marks an important milestone in this amazing team’s work to stay one step ahead of web3 security. I can’t wait to see what they build next!"
8,2023-02-16 16:03:47+00:00,AriannaSimpson,"The combination of simple &amp; safe is essential for the future of web3. We’re thrilled that today, along w/ its v2 extension, Stelo is releasing its developer API and https://t.co/mSg3sNjyn6, an approvals experience to understand your wallet health and keep it safe."
9,2023-02-16 16:03:47+00:00,AriannaSimpson,Even the most sophisticated crypto users have a hard time ensuring their transactions are safe. @stelolabs UI makes it easier for people to explore web3 w/ confidence by putting all transactions &amp; signatures into plain English. If can try it out here: https://t.co/NzOXOypHbj
