,Date,User,Tweet
0,2023-02-20 14:00:42+00:00,Arthur_0x,@nixxholas Singlish overload
1,2023-02-20 13:47:25+00:00,Arthur_0x,@GabeWithTheHat 几时暴富？
2,2023-02-20 13:47:06+00:00,Arthur_0x,@GabeWithTheHat 几时发币？
3,2023-02-20 13:16:19+00:00,Arthur_0x,@five5brown_eyes 找个金发帅哥男朋友来练吧飞儿
4,2023-02-20 13:11:11+00:00,Arthur_0x,"18年时还在想要不要双轨经营微博和推特看来不用。

万法归宗，大家都聚到推特了。"
5,2023-02-20 13:09:22+00:00,Arthur_0x,我以后都只用中文发推好了？
6,2023-02-17 16:18:41+00:00,Arthur_0x,@NaniXBT PVP rumour innit
7,2023-02-17 05:41:47+00:00,Arthur_0x,@mrjasonchoi Coinfund done a fair amount of engagement with the establishment
8,2023-02-16 16:32:33+00:00,Arthur_0x,"Coingecko struggling with loading?

You know what to do. https://t.co/v0vu5fuhzh"
9,2023-02-16 16:30:11+00:00,Arthur_0x,Gonna be hilarious for all the crypto firms that just retrenched bunch of their employees to start scrambling for new hires again.
10,2023-02-16 07:02:15+00:00,Arthur_0x,@kokoro_cuts Believe or not many people are still sidelined and think this is just exit pump
11,2023-02-16 04:43:14+00:00,Arthur_0x,"How market shrug off a barrage of negative news and continue to go higher is very telling of the market we are in now.

Bottom is most likely in."
12,2023-02-14 19:04:09+00:00,Arthur_0x,"Everyone rushing to claim those $BLUR airdrops.

We are so back. https://t.co/ujNyUh2FIW"
13,2023-02-14 12:26:54+00:00,Arthur_0x,"@zbear9999 Higher GST, higher CPF salary ceiling, higher rent, higher car tax, higher property tax + BSD"
14,2023-02-14 11:46:30+00:00,Arthur_0x,@0xbury Not until they fix the nightmarish commute situation
15,2023-02-14 11:21:19+00:00,Arthur_0x,"Yes it is already expensive, but getting even more expensive and likely will continue to be so in future given the latest Budget 2023 announcement."
16,2023-02-14 10:49:38+00:00,Arthur_0x,Singapore is becoming a really expensive place to run a business and live going at this rate.
17,2023-02-13 08:07:18+00:00,Arthur_0x,"A highly important read in the face of news today.

https://t.co/Tlgh7rBkvG"
