,Date,User,Tweet
0,2023-02-25 19:17:36+00:00,ErikVoorhees,@growing_daniel Because federal government tells people to care about one for geopolitical reasons
1,2023-02-25 19:15:56+00:00,ErikVoorhees,"@technologypoet Ethereum, Litecoin, Doge, Cosmos, Polkadot, Avalanche, and certainly others"
2,2023-02-25 18:49:37+00:00,ErikVoorhees,@digbeebee @Bit_Berg That wouldn’t work. Market would destroy the court fork and difficulty on original would fall until new equilibrium is established.
3,2023-02-25 18:48:16+00:00,ErikVoorhees,"@Bit_Berg When the mere invocation of Doge can defeat your argument, your argument sucks"
4,2023-02-25 18:44:49+00:00,ErikVoorhees,@lopp Still no need for BSV because we have Bank of America amirite?
5,2023-02-25 18:43:56+00:00,ErikVoorhees,@Bit_Berg Oh I hadn’t heard Dogecoin was modified by court order pls post link
6,2023-02-25 18:40:55+00:00,ErikVoorhees,"The Oasis Test: if a chain or app can be modified by court order, it is not decentralized and thus cannot be called defi."
7,2023-02-25 17:54:45+00:00,ErikVoorhees,"@JoeBiden There shouldn’t be an “economic plan” from central government, this isn’t Soviet Russia"
8,2023-02-25 17:45:11+00:00,ErikVoorhees,@GeneSohoForum They should probably remove “with liberty” from this pledge
9,2023-02-25 17:44:08+00:00,ErikVoorhees,@GRDecter Whatever his contract says. Why is this a debate
10,2023-02-25 01:31:42+00:00,ErikVoorhees,@jgrosdubois @CoinNotes_io Both should be ended
11,2023-02-25 00:17:58+00:00,ErikVoorhees,"@CoinNotes_io If you believed “to each their own” then you wouldn’t steal from others richer than you, would you?"
12,2023-02-25 00:15:07+00:00,ErikVoorhees,@CoinNotes_io So if a mob tells you they will steal from you if you work and you keep working then it’s not stealing?
13,2023-02-25 00:13:48+00:00,ErikVoorhees,"@itsLeeee And if you make $15k/yr, it would take you almost 70,000 years to make $1B

What does that arithmetic have to do with anything?"
14,2023-02-25 00:10:36+00:00,ErikVoorhees,"@HumDog64 That’s his decision with his assets, not yours. It’s fair to judge him, but not to steal."
15,2023-02-25 00:09:40+00:00,ErikVoorhees,@CoinNotes_io You don’t need to be poor or starving for theft to be wrong
16,2023-02-25 00:08:48+00:00,ErikVoorhees,@itsLeeee Explain
17,2023-02-25 00:03:55+00:00,ErikVoorhees,What most upsets me is that the state will take hundreds of millions of dollars from this.
18,2023-02-24 21:11:06+00:00,ErikVoorhees,@hmichellerose Perfectly reasonable perspective
19,2023-02-24 21:07:51+00:00,ErikVoorhees,"@EvanPlatinum Advocates dismantling the country, or advocates dismantling its government?

And what do you call a native who doesn't know the difference?"
20,2023-02-24 19:41:19+00:00,ErikVoorhees,@tysinclair95 @c0un7z3r0 Anyone got a link?
21,2023-02-24 18:39:54+00:00,ErikVoorhees,@c0un7z3r0 ???
22,2023-02-24 16:37:30+00:00,ErikVoorhees,"Let’s avoid making jokes about this guy. We can be better than that.

Indeed, we should remember that some suffer more from inflation than others. https://t.co/RuOZzwU1Yl"
23,2023-02-24 16:14:46+00:00,ErikVoorhees,@stackhodler https://t.co/8haHDjAXqH
24,2023-02-24 16:08:58+00:00,ErikVoorhees,"@stackhodler It actually means Apple could park their cash in T-Bills and still lose money in real terms.

And why do you want Bezos to give his money to the Federal Government??"
