,Date,User,Tweet
0,2023-02-24 22:34:11+00:00,JosephTodaro_,Oof https://t.co/dorHsPHSBW
1,2023-02-23 15:55:34+00:00,JosephTodaro_,"so blur is providing a massive opportunity to dump your jpeg pictures into a mountain of bids

you came to farm blur but left with a wallet of jpegs"
2,2023-02-23 12:17:32+00:00,JosephTodaro_,Hard not to see this as bullish dex perps
3,2023-02-22 18:12:45+00:00,JosephTodaro_,"and @nftperp turns them into derivatives

this was always the path forward for NFTs

opens NFTs to:

fractional ownership
increased liquidity 
portfolio hedging: long/short
leverage https://t.co/i0f8Yb2kFY"
4,2023-02-18 19:43:57+00:00,JosephTodaro_,@intocryptoast copy paste vs different ux
5,2023-02-17 14:57:54+00:00,JosephTodaro_,"@AureliusBTC revisiting this: what do you think of options protocol lyra using gmx to delta hedge market makers?

ties options to perps for MMs"
6,2023-02-16 22:54:11+00:00,JosephTodaro_,2023 = 2019
7,2023-02-16 19:30:17+00:00,JosephTodaro_,"bridging thesis hitting nicely $SYN $STG

an invaluable piece of infrastructure with the rise of projects launching on L2s  and other L1s"
8,2023-02-09 20:57:22+00:00,JosephTodaro_,busy day for regulators https://t.co/CLWUy4OGhy
9,2023-02-01 20:20:32+00:00,JosephTodaro_,need that inverse burry index https://t.co/LRWOmCbbpZ
10,2023-01-31 17:40:36+00:00,JosephTodaro_,@ChrisRomanoC https://t.co/i116DHznB7
11,2023-01-31 17:03:15+00:00,JosephTodaro_,@NorthRockLP 🤝
12,2023-01-31 14:01:59+00:00,JosephTodaro_,@hamsterrrad There was an attempt. But not much traction.
13,2023-01-31 05:53:54+00:00,JosephTodaro_,@apolynya given the pattern above it seems your curiosity might be piqued again in 2023/24
14,2023-01-31 05:35:43+00:00,JosephTodaro_,@ActuallyAgents probably long crypto and get liquidated on a scam wick
15,2023-01-30 15:11:53+00:00,JosephTodaro_,"10/ That is all.

I will go into greater detail of individual options protocols in another thread. 

Exploring some of these. https://t.co/AwH6cl5y6X"
