,Date,User,Tweet
0,2023-02-26 13:51:55+00:00,KatieTheRussian,@CarniClemenza $3.50
1,2023-02-25 19:42:52+00:00,KatieTheRussian,Just submitted my project for review on @Kickstarter 😱🤪 https://t.co/RdTlZ3nAK8
2,2023-02-25 15:24:39+00:00,KatieTheRussian,@realdanlyman Really appreciate it 🙏🏻
3,2023-02-25 01:26:49+00:00,KatieTheRussian,"Woooah

My sis @steph_dietz_ is crashing it"
4,2023-02-24 17:14:50+00:00,KatieTheRussian,@CitizenBitcoin @SwanBitcoin Thank you🙏
5,2023-02-23 21:29:16+00:00,KatieTheRussian,"@hurulhain1 @HarrisonHSmith Yes, Alex Jones is dangerous for your abusive relationship with the state."
6,2023-02-23 17:58:30+00:00,KatieTheRussian,"Plan B passport calendar is completely booked for the next 5 days with new clients. 

Feels like the bull market times again."
7,2023-02-23 15:39:38+00:00,KatieTheRussian,@wlctv_ca Appreciate it 🙌🏻
8,2023-02-23 00:18:12+00:00,KatieTheRussian,@SethZero1 @jessicahodlr @realdanlyman Thank you 🙏🏻 really appreciate the support!
9,2023-02-22 19:27:24+00:00,KatieTheRussian,@_joerodgers It's because we gave you a shoutout on infowars today
10,2023-02-22 19:07:54+00:00,KatieTheRussian,@sunnyncool77 @HarrisonHSmith @jessicahodlr Appreciate it!
11,2023-02-22 17:39:41+00:00,KatieTheRussian,"We were just on The American Journal with @HarrisonHSmith and our website was down immediately. 

Makes you realize how many people are paying attention and to what is actually happening. https://t.co/x8SlCIFcCZ"
12,2023-02-22 17:30:19+00:00,KatieTheRussian,@KingPin124 @jessicahodlr @HarrisonHSmith Appreciate it 🙏🏻🙌🏻
13,2023-02-21 18:04:50+00:00,KatieTheRussian,Don't compromise
14,2023-02-21 18:01:08+00:00,KatieTheRussian,"This question made me nostalgic 😌🥲

Dirtbags ❤️ and massive @BitcoinMagazine livestreams with 20+ people"
15,2023-02-20 17:48:07+00:00,KatieTheRussian,"@KBryanW I am seeking something to compete at but I don't think running is IT.

I do enjoy it and had a couple of training sessions with a Ukraine national champion and an Olympic athlete a few years back. 

What would it look like if I ""got into running""?"
16,2023-02-20 15:40:01+00:00,KatieTheRussian,@inspectordeck Thank you! Kickstarter coming soon 🤣
17,2023-02-20 15:38:41+00:00,KatieTheRussian,@SovereignHRZN That you are curious and would love to learn more about her (if it's before or during the first date)
18,2023-02-19 23:32:55+00:00,KatieTheRussian,"@vincehunt13 I made it! 

Launching a kickstarter next week 😏"
19,2023-02-19 22:16:37+00:00,KatieTheRussian,Today my baby and I ran a 5k race together ❤️💃🏼 #RUNAUSTIN #austinmarathon https://t.co/spY7e5N4rp
20,2023-02-17 19:51:18+00:00,KatieTheRussian,"Listening to Rihanna's ""we found love in a hopeless place"" and thinking of how I met my husband at Austin BitDevs 😂"
21,2023-02-17 19:41:56+00:00,KatieTheRussian,"Do y'all remember my daily martial arts videos from the previous bear market?

Well I'm back at it 😂 https://t.co/8CPRUSW3X5"
