,Date,User,Tweet
0,2023-02-25 20:41:59+00:00,KimbleCharting,"2nd worst S&amp;P 500 sector ETF $XLY over the past year is close to testing support of descending triangle. 

If support breaks, with it below long-term MA lines, a fresh bearish message would be sent!

#IBDpartner @MarketSmith @IBDinvestors 

https://t.co/tZiC8HzzF7 https://t.co/mtyTeW61nI"
1,2023-02-25 20:26:14+00:00,KimbleCharting,"#1 S&amp;P sector fund over past year, finds itself testing rising support and 200MA at the same time.

Energy bulls hoping leadership holds at (1)!!!

#IBDpartner @MarketSmith @IBDinvestors 

https://t.co/tZiC8HzzF7 https://t.co/OPMD2ejd5U"
2,2023-02-24 16:56:42+00:00,KimbleCharting,"@TheChartress Have a wonderful weekend Abigail @TheChartress Appreciate all you do and share. Blessings, Chris"
3,2023-02-24 16:42:06+00:00,KimbleCharting,"@hussmanjp Big fan from fly over part of the states. Have a great weekend John! Appreciate you greatly. @hussmanjp 

Blessings, Chris"
4,2023-02-23 16:53:00+00:00,KimbleCharting,"@hussmanjp Have loved your work/analysis for the past 20 years @hussmanjp 

Thanks for sharing your awesome research John! You are the best! Blessings, Chris"
5,2023-02-22 17:47:26+00:00,KimbleCharting,"Utilities Should Experience HUGE Move When This Pattern Is Resolved! Little wiggle room here for $XLU  
 
What happens from here, could send an important message about interest rates/inflation going forward! 
 
https://t.co/iu89ZYNTEX https://t.co/brMsQkSqsG"
6,2023-02-22 17:01:27+00:00,KimbleCharting,"@ppearlman Happy 90th to your mom, she looks great.

 Beautiful family and picture!!!"
7,2023-02-21 16:56:46+00:00,KimbleCharting,@WTFckery some good hot rub
8,2023-02-21 15:47:59+00:00,KimbleCharting,Smoking 8 lbs of bacon as stocks are getting smoked https://t.co/iXiVptRHOE
9,2023-02-20 15:13:13+00:00,KimbleCharting,"Happy Presidents day everyone 
Biking at the lake

Blessings to all! https://t.co/5BrpVzQupR"
10,2023-02-17 21:15:53+00:00,KimbleCharting,"Commodities could be about to rollover and break new support. $DBC $CRB $USO  
 
https://t.co/KoBYVglPft https://t.co/QiGewKkiLI"
11,2023-02-17 15:58:50+00:00,KimbleCharting,"Junk bonds sent a ""get out to stocks message"" before stocks peaked last year. Now $JNK is testing support, inside of a falling channel. 
 
Joe Friday wonders if Junk bonds are about to send a new bearish message to stocks??? 
 
https://t.co/tcCkhHEq3i 
 
 $HYG $SPX https://t.co/CzLbaHUL2x"
12,2023-02-17 14:47:00+00:00,KimbleCharting,"Equal Weighted Tech $QQEW is testing 24-month support/resistance line. What happens at (1), will send powerful message to stocks!

#IBDPartner @MarketSmith @IBDinvestors 

https://t.co/tZiC8HA7uF https://t.co/INyIO764oh"
13,2023-02-16 22:04:21+00:00,KimbleCharting,"$XLE, is the #1 performer over the past year. This pattern is near completion, suggesting a big move is near! 

Bulls do not want it to break support &amp; 200-MA line!!!

#IBDpartner @MarketSmith @IBDinvestors 

https://t.co/tZiC8HzzF7 https://t.co/qdnsTzd0M5"
14,2023-02-16 13:48:23+00:00,KimbleCharting,"Is US Dollar Creating A Monster Topping Pattern? 
 
After a historic 10% decline in 100-days, $DXY looks to be testing short-term support. $GLD $SLV  
 
https://t.co/nwyq928ThB https://t.co/kzNGwNsPr4"
15,2023-02-14 15:44:44+00:00,KimbleCharting,"Happy Valentine's Day everyone 

Wishing each of you a blessed day! https://t.co/Uf1ngO07Vo"
16,2023-02-08 19:56:42+00:00,KimbleCharting,"Outside Strong City Kansas 
@Chiefs https://t.co/lnFUUaOsq7"
17,2023-02-08 18:12:37+00:00,KimbleCharting,"Junk bonds find themselves in a tight ""Cluster!"" How this is resolved should send stocks an important message going forward!   $JNK $SPY 

https://t.co/1OrQLbKWxI

#IBDpartner @MarketSmith @IBDinvestors https://t.co/g4R1FfAq7Z"
18,2023-02-07 20:39:06+00:00,KimbleCharting,@AriWald @DKellerCMT @AlmanacTrader @allstarcharts @Investopedia Perfect Ari!!!
19,2023-02-07 17:20:45+00:00,KimbleCharting,"Despite losing nearly a third of its value last year, the Nasdaq Composite index did NOT break below its 13-year rising channel. Index strength of late has it trading above its 200-week ma line again! 
 
$NASDAQ $QQQ $SPX  
 
https://t.co/UTaUFjh2Rm https://t.co/qdEQFHgYOG"
20,2023-02-06 19:51:40+00:00,KimbleCharting,@ppearlman @tradingview @scheplick @crosbyventures Looking awesome @ppearlman
21,2023-02-06 19:39:45+00:00,KimbleCharting,@jerryteixeira Great job @jerryteixeira !!! Impressive is an understatement! Thanks for sharing
22,2023-02-05 18:39:38+00:00,KimbleCharting,https://t.co/F3swB8SQYV
