,Date,User,Tweet
0,2023-02-26 19:31:30+00:00,LynAldenContact,@lucinelupita2 Two decades of compounding at low rates.
1,2023-02-26 16:46:21+00:00,LynAldenContact,"Also, Brown's ""Cost of War"" project calculated that interest expense back when interest rates were low.

As interest rates rise, the historical cost of the war increases in hindsight, because we're still paying interest on it.

Anyway, good morning."
2,2023-02-26 16:46:21+00:00,LynAldenContact,"And then on top of that cumulative estimate so far, there is another $2.2+ trillion in expected veterans care and another $5.5+ trillion in expected federal interest from it all over the next three decades.

This could amount to a fourteen-digit war, everything considered."
3,2023-02-26 16:46:21+00:00,LynAldenContact,"Brown University estimates that the ""War on Terror"" had a total price tag of $5.8 trillion so far.

$2.1 trillion on direct war, $2.1 trillion on extra DoD and HS and State Dept, $0.5 trillion on veterans care, and $1.1 trillion on interest.

https://t.co/4d3R91yQFS"
4,2023-02-26 00:09:23+00:00,LynAldenContact,"@TyberiusMaximus Yes, because it is nominal GDP. GDP measured in devaluing dollars."
5,2023-02-25 18:25:28+00:00,LynAldenContact,"The reason why it is naturally understated on debt/GDP charts is because all of this fiscal spending was highly inflationary, and thus boosted nominal GDP quite significantly.

Nominal GDP more than doubled during that time, even as debt-to-GDP soared from 40% to over 100%."
6,2023-02-25 18:25:28+00:00,LynAldenContact,"Back in the 1940s during WWII, public debt to GDP quickly jumped from 40% to over 100%.

But, this actually understates the scale of what happened. Debt went from $43 billion to $258 billion, which was a 500% increase in five years. https://t.co/6rA4bglkBp"
7,2023-02-25 18:00:29+00:00,LynAldenContact,"@pinatubo2007 @bleumagicx Right but that's bad for the currency, not banks."
8,2023-02-25 17:56:10+00:00,LynAldenContact,"@CryptoTPoints Yep.

The problem is now at the sovereign level, not at the banking level."
9,2023-02-25 15:52:08+00:00,LynAldenContact,"It's like, ""if prices aren't going up by 2% per year despite ongoing productivity gains that should otherwise be bringing prices down, then we aren't doing our job right."""
10,2023-02-25 15:52:08+00:00,LynAldenContact,"Remember that time in 2013 when inflation was like 1.5% and St. Louis Fed president James Bullard talked about how it's important to hit the 2% inflation target to the *upside* in order to defend the Fed's credibility?

Good times. https://t.co/Ytgb57YeTb"
11,2023-02-25 15:14:20+00:00,LynAldenContact,"@ThHappyHawaiian @WallStreetSilv This thread is wild.

Unfortunately, the dark corners of crypto and junior mining both operate with the same sorts of promotional schemes."
12,2023-02-25 14:55:49+00:00,LynAldenContact,"@bleumagicx There are pockets of stress out there but I'm not worried about aggregate U.S. bank solvency. They're in good shape.

(That doesn't mean they can't face some loan losses in a recession scenario, though.)"
13,2023-02-24 19:34:05+00:00,LynAldenContact,"In 2008, the U.S. banking system had 23 dollars of deposits for every one dollar of cash (including physical cash and reserves).

It was peak financial system leverage. https://t.co/fOBMzuqmpa"
14,2023-02-24 17:36:33+00:00,LynAldenContact,"@TXMCtrades I do the rein/reign mixup sometimes and some of my readers do call me out on it, lol."
15,2023-02-24 16:58:38+00:00,LynAldenContact,@LukeGromen Some useful numbers.
