,Date,User,Tweet
0,2023-02-25 15:01:17+00:00,NoelleInMadrid,"today's CiMN touches on the rise of the East in crypto market influence, and why this is more significant than many realize - also, rates expectations, consumer pressure and more 🎸👩‍🎤https://t.co/z1OjSPf9AW"
1,2023-02-24 15:47:40+00:00,NoelleInMadrid,"@universe_spark ah, interesting... good insight, thx"
2,2023-02-24 15:47:04+00:00,NoelleInMadrid,@YaklofskyMarc ❤️❤️❤️
3,2023-02-24 14:15:42+00:00,NoelleInMadrid,"there is so much INTERESTING stuff going on... 👩‍🎤
https://t.co/T1qkPsftbJ"
4,2023-02-24 13:53:53+00:00,NoelleInMadrid,"@stephanlivera Huge congratulations, Stephan! 👶❤️"
5,2023-02-24 13:49:00+00:00,NoelleInMadrid,"10) The most significant big-picture impact in my opinion, however, is this: **BASE gives us a glimpse of how centralized crypto service providers can become decentralized. In other words, how CeFi can move to DeFi.** This is key. https://t.co/PTrr5pg9tl"
6,2023-02-24 13:48:22+00:00,NoelleInMadrid,"9) Bigger picture, Coinbase has been instrumental in onboarding millions into crypto markets. It has a relatively trusted brand, and could therefore also become a gateway to the on-chain economy for more mainstream users. /15"
7,2023-02-24 13:48:10+00:00,NoelleInMadrid,"Yet rather than disappointing, this is actually hopeful: it highlights the level of scrutiny the launch will be under, as well as the value of getting a sizeable and critical community to test and test and test. /14 https://t.co/qf7aYFINpF"
8,2023-02-24 13:46:15+00:00,NoelleInMadrid,"8) The testnet is live now, and the mainnet is expected to follow within a few months. Initial users yesterday found several glitches, and no doubt there are many yet to be found. /13 https://t.co/GgdNnv3q88"
9,2023-02-24 13:45:37+00:00,NoelleInMadrid,"7) Base will start out relatively centralized, with a centralized sequencer and a handful of validators, but the intention is to move toward a totally decentralized network some time in 2024. /12"
10,2023-02-24 13:45:23+00:00,NoelleInMadrid,"However, BNB has been criticized for its centralization: it has only 26 validators, although last week it announced plans to increase that to 100. Even so, Coinbase is used to a greater degree of public scrutiny. /11  https://t.co/hzIxSFPouu"
11,2023-02-24 13:44:33+00:00,NoelleInMadrid,"6) The initiative is similar to Binance’s BNB Chain, currently the largest smart contract blockchain in terms of users and transaction volume – launched in 2020, it grew so large so fast because of the size of Binance’s community. /10"
12,2023-02-24 13:44:13+00:00,NoelleInMadrid,"5) There are no plans to issue a token. Whether a token is necessary to incentivize adoption has been the subject of much controversy, and the jury is still out. Base will give the market a chance to observe the build-out of value based on utility rather than reward. /9"
13,2023-02-24 13:43:02+00:00,NoelleInMadrid,"4) Why would external developers work on Base? Coinbase has 110m verified users, acc. to the Q4 earnings report. In other words, a huge community with plenty of upside – only a tiny subset of Coinbase users have ever transacted on-chain. /8"
14,2023-02-24 13:42:41+00:00,NoelleInMadrid,3) The chain will offer open-source tools for external developers to create applications for the Coinbase community. These would in theory put a broader range of use cases in front of Coinbase users than if applications were limited to those created by Coinbase teams. /7
15,2023-02-24 13:42:29+00:00,NoelleInMadrid,"It is also a chance for Coinbase to influence how decentralized applications evolve, by contributing code as well as users. Coinbase will become the second official core developer team in the Optimism ecosystem. 🧑‍💻 /6"
16,2023-02-24 13:41:50+00:00,NoelleInMadrid,"Plus, creating a new chain ecosystem that forms part of the larger Ethereum ecosystem – Base was built using open-source tools from the Optimism stack – is a way to more deeply embed Coinbase in the blockchain community. /5"
17,2023-02-24 13:41:32+00:00,NoelleInMadrid,"For instance, imagine extending the existing Coinbase wallet to Base, wrapping tokens from other ecosystems and having some of these unlock NFT functionality while creating new identity systems and supporting the emergence of new communities. /4"
18,2023-02-24 13:41:09+00:00,NoelleInMadrid,"2) Coinbase doesn’t *need* a blockchain – it already is one of the largest crypto platforms in the world. But its own chain sets the base for a new direction of development, perhaps giving birth to new types of transactions, app connections, etc.  /3"
19,2023-02-24 13:40:21+00:00,NoelleInMadrid,"1) This makes Coinbase the first listed company to launch a blockchain. Equity analysts will be scrambling to understand zk-rollups, bridges and more, which should deepen Wall Street interest in and familiarity with the on-chain world. Who knows where that could lead. 🕵️  /2"
20,2023-02-24 13:39:36+00:00,NoelleInMadrid,"While another layer-2 blockchain may sound like more technical noise wrapped in PR hype, it’s actually a very big deal, and although I am definitely not a developer or even a frequent DeFi user, I think this is exciting on many fronts. 🧵/1
https://t.co/9a4C9uxDtA"
21,2023-02-24 09:06:04+00:00,NoelleInMadrid,this 👇✨❤️
22,2023-02-24 08:30:55+00:00,NoelleInMadrid,gm #madrid! happy Fridayyyy!!☀️ https://t.co/X1DoceS5WH
23,2023-02-23 15:01:39+00:00,NoelleInMadrid,that's a significant revision to consumption 🤔could bring some rates relief
24,2023-02-23 13:36:15+00:00,NoelleInMadrid,so I guess this is what happens when the BTC price does weird things while you're trying to write about it 🫤 https://t.co/knru68qWJj
25,2023-02-23 12:47:21+00:00,NoelleInMadrid,@jimmyvs24 @coinglass_com very good point
26,2023-02-23 12:44:08+00:00,NoelleInMadrid,"@ConorRyder @coinglass_com ah, interesting!"
27,2023-02-23 12:35:35+00:00,NoelleInMadrid,"@coinglass_com and the slope of the drop, and the hefty amount of liquidations, suggests that this is some leveraged BTC futures positions unwinding... https://t.co/HnhVDKxvER"
28,2023-02-23 12:34:11+00:00,NoelleInMadrid,"I haven't seen any headlines are sharp macro moves that would account for the BTC drop... from what I can see it seems to be structural. Over the past week, BTC futures OI increased by 16%, reaching the highest level since pre-FTX. (chart @coinglass_com) https://t.co/9lTVUfWybW"
29,2023-02-23 11:58:16+00:00,NoelleInMadrid,"something spooking BTC, more than ETH - anyone know what's going on? https://t.co/ObGFuYXLHw"
30,2023-02-23 09:44:33+00:00,NoelleInMadrid,gm #madrid! https://t.co/iHotdjQyv2
31,2023-02-22 17:28:47+00:00,NoelleInMadrid,"Today I wrote about Ordinals’ influence on the price of BTC (it’s much less than some have suggested), the refreshing cold water on the equity market, the significance of Hong Kong’s moves, how enterprise services are back, and more  🎸
https://t.co/oxNyX2kOoE"
32,2023-02-22 16:54:10+00:00,NoelleInMadrid,"these measures may be understandable, sensible even - but no-one is talking about the psychological shock to UK shoppers when told they can't have something they want to pay for - and a ""shortage mentality"" isn't going to be great for inflation https://t.co/RAEPY0NrQZ"
33,2023-02-22 16:45:14+00:00,NoelleInMadrid,@fransgrafica @MuseoSorolla yes!!
34,2023-02-22 16:44:57+00:00,NoelleInMadrid,setting up a new computer is SO STRESSFUL 😭 https://t.co/KV3iKkCUal
35,2023-02-22 14:31:40+00:00,NoelleInMadrid,"@MikeIppolito_ interesting, good points"
36,2023-02-22 14:31:17+00:00,NoelleInMadrid,👇 why we're not seeing more M&amp;A
37,2023-02-22 13:13:19+00:00,NoelleInMadrid,"@joehas that is pretty impressive, Joe!! https://t.co/cQNPuGJaFt"
38,2023-02-22 13:11:41+00:00,NoelleInMadrid,@gckaloudis https://t.co/mIUsQqLBGH
39,2023-02-22 13:09:49+00:00,NoelleInMadrid,"I ❤️ coffee and I ❤️ olive oil, but, um... I'll pass, thanks? (I know, I know, you gotta try new things, but... no)
https://t.co/i56JMRQdCj"
40,2023-02-22 12:24:24+00:00,NoelleInMadrid,surprised we haven't seen more crypto M&amp;A given where we are in the cycle... https://t.co/7FzdRLPJs1
41,2023-02-22 11:33:10+00:00,NoelleInMadrid,gm #madrid! 🇪🇸 https://t.co/m0Y5bi8vIo
42,2023-02-22 11:31:44+00:00,NoelleInMadrid,"@MrBenLilly good question, will do some digging"
43,2023-02-21 16:33:14+00:00,NoelleInMadrid,"Today’s CiMN looks at the wave of good economic news and what that means for markets, BTC momentum holding up so far, why more economic forecasters aren’t talking about the war, and Hong Kong’s potential role in crypto markets 👩‍🏭
https://t.co/4WXv1UZWqW"
44,2023-02-21 16:24:01+00:00,NoelleInMadrid,@thetrocro @jyn_urso gorgeous!
45,2023-02-21 15:03:10+00:00,NoelleInMadrid,"a global financial centre, traditionally a market bridge between China and the rest of the world, is developing clear crypto regulations, potentially with retail protections, and **with implicit support from China** - that has to be a US wake-up call 🚨https://t.co/x7Nr9MybBp"
46,2023-02-21 14:51:32+00:00,NoelleInMadrid,"astonishing strength in PMI composite numbers across the board today - in Europe this morning, and now also in US (now in expansionary territory, had been expected to remain in contractionary territory) - DXY bouncing hard 👀 https://t.co/gRMdkliCsb"
47,2023-02-21 14:31:53+00:00,NoelleInMadrid,this is potentially a very big deal
48,2023-02-21 14:09:23+00:00,NoelleInMadrid,@VidiellaLaura looking forward to it!
49,2023-02-21 13:26:21+00:00,NoelleInMadrid,beautifully said @mikejcasey ! ♥️ and HUGE congrats to @IanAllison123 and @0x_tracy and all at @CoinDesk https://t.co/tDJJX5ahJm
50,2023-02-21 10:37:26+00:00,NoelleInMadrid,gm #madrid! https://t.co/YriP9rat9d
51,2023-02-21 08:01:01+00:00,NoelleInMadrid,"@0x_tracy @IanAllison123 @inkbacker @CoinDesk congrats, Tracy!! 👏👏"
52,2023-02-20 20:47:18+00:00,NoelleInMadrid,@marting @NewYorkFed 🥰
53,2023-02-20 17:58:15+00:00,NoelleInMadrid,@daveweisberger1 @CaitlinLong_ absolutely!!!!! 🌟🌟🌟
54,2023-02-20 17:07:36+00:00,NoelleInMadrid,"A paper just published by the @NewYorkFed looked at the reaction of BTC to macro + monetary news, and found that it is largely unresponsive, unlike other assets such as stocks and gold. This is relevant to all who consider BTC ""just"" another macro asset. https://t.co/wd6oXngwY9"
55,2023-02-20 17:03:03+00:00,NoelleInMadrid,"🔥 going the full distance 💪
https://t.co/vpkvfLtRvN"
56,2023-02-20 16:59:23+00:00,NoelleInMadrid,"in today's CiMN we have confusing economic data with strong seasonal adjustment, talk of a 50bps hike, BTC continuing to go up along with yields, Hong Kong and crypto regulation and more... 🧙‍♀️
https://t.co/t9SEL2w6aL"
57,2023-02-20 16:55:23+00:00,NoelleInMadrid,@gckaloudis outdoor jobs
58,2023-02-20 16:55:09+00:00,NoelleInMadrid,also 👇
59,2023-02-20 11:56:24+00:00,NoelleInMadrid,👇
60,2023-02-20 10:56:38+00:00,NoelleInMadrid,"this is significant - rates expectations have ratcheted up, with an almost 20% prob of 50bp in March - but we still don't fully understand what the recent strong data is telling us - why such strong adjustments?"
61,2023-02-20 10:24:51+00:00,NoelleInMadrid,gm #madrid! 🚄 https://t.co/WnyqCUikmt
62,2023-02-19 08:45:00+00:00,NoelleInMadrid,gm #madrid! happy Sunday! https://t.co/09FckT9ah4
63,2023-02-18 11:46:47+00:00,NoelleInMadrid,@profplum99 @CaitlinLong_ you're welcome! 🙂 I figured you wouldn't want to call someone a hypocrite in public without getting your facts straight
64,2023-02-18 10:53:28+00:00,NoelleInMadrid,gm #madrid! https://t.co/AAVpJ6PkOi
65,2023-02-18 09:28:49+00:00,NoelleInMadrid,"@hallaboutafrica each with a very interesting story, no doubt"
66,2023-02-18 09:25:16+00:00,NoelleInMadrid,🤯🔍🕵️
67,2023-02-17 21:12:17+00:00,NoelleInMadrid,"@profplum99 @CaitlinLong_ the fraud she’s referring to had nothing at all to do with bitcoin - on the other hand, tokens based on other blockchains *were* a key part of what happened"
68,2023-02-17 16:03:49+00:00,NoelleInMadrid,@monamhamdy amazing ♥️♥️
69,2023-02-16 18:19:19+00:00,NoelleInMadrid,remember when we were told that all future wars would be online? 🫤https://t.co/IWwXyoRU1H
70,2023-02-16 14:32:44+00:00,NoelleInMadrid,next they tell you you could always eat cake 👸
71,2023-02-16 13:12:59+00:00,NoelleInMadrid,"there's something about interesting market moves that just needs, you know, a ton of charts... 👩‍🔧https://t.co/iBSFWOoMyC"
72,2023-02-16 09:50:42+00:00,NoelleInMadrid,interesting 👀
73,2023-02-16 09:16:57+00:00,NoelleInMadrid,"the star of The Matrix coming out in support of crypto feels like such a narrative anchor today 🤯
https://t.co/IViRrBJcLc"
74,2023-02-16 09:04:36+00:00,NoelleInMadrid,asset manager BTC long positions on the CME are at all-time highs (chart via @coinglass_com) https://t.co/ZuX64zZWsR
75,2023-02-16 08:42:17+00:00,NoelleInMadrid,gm #madrid! https://t.co/n5NrNw6KQM
76,2023-02-16 07:37:19+00:00,NoelleInMadrid,"@patrickrooney no, not always about rates - markets could do fine with higher rates once they stabilize - and with higher rates, we could be in for a period of more stable growth (easy money =&gt; instability)"
77,2023-02-15 19:46:07+00:00,NoelleInMadrid,"Finally, BTC’s narrative is multi-faceted, this also lends its floor strong support. For some, it’s a store of value; for others, an early-stage liquid tech investment; for many, pure speculation, partially based on narratives driven by the first two. Complicated and fascinating."
78,2023-02-15 19:45:34+00:00,NoelleInMadrid,"And whatever bad economic news lies ahead won’t affect BTC’s “fundamental” valuation, because – again – it has no cash flows. What it has is actual, potential and growing utility, the valuation of which will move more on narrative than data. /6"
79,2023-02-15 19:45:19+00:00,NoelleInMadrid,"That easy-exit experience positions it to be a strong beneficiary of an increase in risk-asset positions – almost a “safer” bet than illiquid venture equity, for instance. And its recent resilience in the face of bad news is another strong support signal. /5"
80,2023-02-15 19:45:04+00:00,NoelleInMadrid,"BTC has no cash flows to discount, so unlike stocks, higher rates don’t really hurt it much – it’s more about liquidity. Because BTC doesn’t HAVE to be in portfolios, and because it’s an easy high-return asset to dump, it suffers when investors reduce exposure. /4 https://t.co/hMCj1xVldh"
81,2023-02-15 19:44:13+00:00,NoelleInMadrid,"There are other risk assets out there also sensitive to a liquidity recovery, but none that have already suffered a &gt;70% drawdown AND that have a strong support floor from long-term accumulators who see BTC as a store of value. /3"
82,2023-02-15 19:43:50+00:00,NoelleInMadrid,"How can liquidity be improving if rates are still going up? Because 1) stock and bond volatility is coming down – this releases collateral, 2) oil price coming down – gives people more money to spend on other things, 3) USD trending down, 4) TGA account moving into the economy. https://t.co/VqNlCA8qsf"
83,2023-02-15 19:41:39+00:00,NoelleInMadrid,"Really interesting, yields AND BTC going up… it’s about liquidity. BTC is one of the most sensitive liquidity plays right now – its whopping drawdown last year, its lack of cash flows to discount, its strong floor given its various use cases… Unpacking this some more: 🧵 https://t.co/3QYkBOhsBw"
84,2023-02-15 15:14:42+00:00,NoelleInMadrid,"a reminder that competiveness, the drive to win, inevitably pushes market participants up the risk curve until something breaks, then the cycle starts again
https://t.co/6MEE96rCTc"
85,2023-02-15 13:49:01+00:00,NoelleInMadrid,no mention of innocent balloons in today's CiMN email 🎈 https://t.co/WmfWa2BBu8
86,2023-02-15 11:02:32+00:00,NoelleInMadrid,gm #madrid! https://t.co/Cm1aKyp5sR
87,2023-02-15 10:18:21+00:00,NoelleInMadrid,"Here @marcusashworth raises some interesting questions re. CBDCs, beyond the good/bad debate – *should* central banks be involved in the business of creating payments systems? Should central banks be in charge of financial data? Mission creep perhaps?🤨
https://t.co/cvmnbRg2Eo"
88,2023-02-15 07:17:47+00:00,NoelleInMadrid,oh dear
89,2023-02-14 19:19:29+00:00,NoelleInMadrid,@JasonYanowitz @chainyoda agree
90,2023-02-14 17:38:22+00:00,NoelleInMadrid,@dgwbirch ha! indeed you did... and people are paying with transfers when they can... but apparently buses and local marketplaces still only accept cash 🫤 and reportedly ~half of Nigerian adults don't have a bank account 🫤
91,2023-02-14 17:33:49+00:00,NoelleInMadrid,"Support from an unexpected but very welcome corner: Yesterday, the @OMFIF, a central bank think tank, published an article written by its US president warning against repressive crypto regulation. A good read, with some great quotes:
https://t.co/B3njuNHEdC https://t.co/R7LaaBH8ms"
92,2023-02-14 17:25:04+00:00,NoelleInMadrid,"crypto does not necessarily ""fix"" this - but government-engineered cash shortages highlight the need for an alternative system
https://t.co/AYzWg14v6A"
93,2023-02-14 16:46:12+00:00,NoelleInMadrid,this was a great episode! ♥️
94,2023-02-14 15:38:33+00:00,NoelleInMadrid,"the 10y2y yield curve inversion is deepening post-CPI, and is now at its widest since the ‘80s – that’s dramatic, but not really relevant – the below chart shows that the depth of the inversion doesn’t have much to do with the duration nor size of the recession that follows https://t.co/tYsGlPbmWz"
95,2023-02-14 15:19:17+00:00,NoelleInMadrid,😂😭
96,2023-02-14 15:10:04+00:00,NoelleInMadrid,"now the market seems to have decided that the in-line CPI was good news - ok, fine https://t.co/prNNRica7C"
97,2023-02-14 14:45:10+00:00,NoelleInMadrid,US CPI numbers come in pretty much in line with expectations and markets get all confused 🤷‍♀️ https://t.co/5fgHMDNdKd
98,2023-02-14 13:30:59+00:00,NoelleInMadrid,"The regulatory mood around crypto may well have chilled notably over the past couple of months. But litigation is slow, laws take a long time to pass, and people come and go in politics. Meanwhile, crypto continues to evolve. Not easy, but nothin' worthwhile ever is. https://t.co/3sobzlFMCk"
99,2023-02-14 12:00:42+00:00,NoelleInMadrid,gm #madrid! 🌸 https://t.co/nikWWmzgb6
100,2023-02-13 14:20:36+00:00,NoelleInMadrid,"this is going to be an interesting week 👩‍🏭
https://t.co/oDyktFnevv"
101,2023-02-13 10:25:48+00:00,NoelleInMadrid,"meanwhile, there's some significant rotation out of BUSD and into USDT going on - seems like less so into USDC, but that's a less liquid pair https://t.co/7MRnp81HU4"
102,2023-02-13 10:16:40+00:00,NoelleInMadrid,"I imagine we’ll hear more from experts later re. other possible arguments the SEC will rely on. The timing is interesting, given the stablecoin regulation expected this year. If they go after other stablecoin issuers as well, this will be a seminal fight for the industry."
103,2023-02-13 10:15:56+00:00,NoelleInMadrid,"The Howey test stipulates there needs to be an expectation of profit for an asset to be a security. That’s an important leg, but not a deal-breaker. Courts have shown some leeway in the definition of “profit”, and SEC has suggested this is not a blocker.
https://t.co/FSMtfjavEC"
