,Date,User,Tweet
0,2023-02-26 17:53:43+00:00,NorthmanTrader,@Paulhenleyabz check that little lake..
1,2023-02-26 17:39:02+00:00,NorthmanTrader,"I actually just checked it myself and it's true.

Clipperton Island is a tiny island in the Pacific with a listed population of 0.

And yet this is what Google street view comes back with.

🤔😂 https://t.co/U1SZim2yU4"
2,2023-02-26 14:33:47+00:00,NorthmanTrader,"For those preferring YouTube I posted the clip there as well:
https://t.co/xBlSjDUdba"
3,2023-02-26 14:32:28+00:00,NorthmanTrader,"NorthCast Market Update: Decision Time

$SPX https://t.co/kFkqxEwuet"
4,2023-02-26 13:04:39+00:00,NorthmanTrader,"fyi, I've made public 2 market videos that show how we analytically approach these markets:

https://t.co/PNnkDL0uet"
5,2023-02-26 13:02:28+00:00,NorthmanTrader,"New Market Video assessing macro and technicals as markets have reached a key decision point:

https://t.co/7mdjN1HicW"
6,2023-02-25 23:31:32+00:00,NorthmanTrader,Doom loop in print via the CBO and unlike post WWII not the demographics trends in place to bring about the growth needed. Quite the opposite actually as population growth is slowing everywhere. https://t.co/W4C40c5Tpu
7,2023-02-25 23:10:30+00:00,NorthmanTrader,"And to put these interest obligations in perspective here's the US government 2022 discretionary spending budget and you see how the US military budget factors in relation to everything else.
Education, health lol. https://t.co/D6eXjzJoV4"
8,2023-02-25 23:04:28+00:00,NorthmanTrader,"The deficit will increase massively before a recession even hits &amp; hence even more debt is required at higher rates.

This is a math doom loop brought about by 14 years of cheap money &amp; reckless spending by both parties."
9,2023-02-25 23:02:21+00:00,NorthmanTrader,"Best of luck with those debt ceiling discussions.

Btw: The ceiling ""debate"" is a farce anyways and they can't cut enough to keep up with this funding fire that's burning all around them."
10,2023-02-25 22:54:27+00:00,NorthmanTrader,"Interest on debt goes: Weeeeeeeee....

Larger than the entire yearly US military budget now.

But let's keep raising rates while peddling a soft landing narrative. https://t.co/XDx3NhHAKc"
