,Date,User,Tweet
0,2023-02-23 23:26:46+00:00,RyanWatkins_,Imagine this number will continue to collapse as crypto eats the world and business becomes increasingly dominated by autonomous code
1,2023-02-23 15:41:16+00:00,RyanWatkins_,"@collins_belton 100%. Would also add that BSC in large part grew because it was the first EVM chain to run the same liquidity mining playbook that Ethereum DeFi ran in 2020.

Speculators almost always willing to try new chains for that reason alone (new tokens)."
2,2023-02-23 15:28:00+00:00,RyanWatkins_,"That said do wonder how Base’s lack of token will effect adoption near term considering most on-chain usage of L2s is speculative today with users anticipating airdrops. 

But perhaps that’s shortsighted."
3,2023-02-23 15:27:59+00:00,RyanWatkins_,"The beauty of Coinbase’s approach is it not only better aligns itself with the spirit of the industry (building on top of leading decentralized infrastructure rather than building your own), but also demonstrates an appreciation of the cutting edge of blockchain architecture."
4,2023-02-23 15:27:59+00:00,RyanWatkins_,"Likely no one better positioned to onboard tens (if not hundreds) of millions of news users and institutions on-chain than Coinbase.

Will be a net win for the entire ecosystem."
5,2023-02-23 15:27:58+00:00,RyanWatkins_,"Coinbase rollup is a watershed moment in the evolution of Ethereum’s rollup ecosystem. 

Recall that Binance created the largest alt-L1 ecosystem in just months by forking ETH and:

1. Using its massive exchange as top of funnel

2. Using its warchest to seed new projects on BSC https://t.co/8hEr4lsplW"
6,2023-02-23 02:16:10+00:00,RyanWatkins_,"There is still ways to go before we’re ready for prime time again, but I’m no longer as disillusioned as I was a year ago.

 🧘🏾‍♂️"
7,2023-02-23 02:16:10+00:00,RyanWatkins_,"Few moments in crypto’s history have sparked as much excitement for me as a researcher.

Winners are positioning for the next leg of exponential growth, new entrants are challenging the very foundations of the cryptoeconomy…

Innovation is abundant if you pay enough attention."
8,2023-02-13 18:15:33+00:00,RyanWatkins_,"I continue to believe the ideal form of on-chain money is a cryptocurrency that maintains price stability with a global inflation index (or something similar).

Happens to also be what Dalio is looking for out of this industry as well."
9,2023-02-13 18:12:21+00:00,RyanWatkins_,"Recent regulatory actions also highlight the importance of non dollar pegged stablecoins.

None of these projects have found PMF, but they potentially offer the holy grail of cryptocurrency if they can eventually provide the cryptoeconomy with stability beyond the dollar."
10,2023-02-13 18:12:20+00:00,RyanWatkins_,"Recent regulatory actions are a sharp reminder why decentralized stablecoins are one of if not the most important infrastructure in the cryptoeconomy.

Much of DeFi practically doesn’t work without stablecoins and the industry’s reliance on centralized issuers remains the biggest…"
11,2023-02-09 21:22:39+00:00,RyanWatkins_,Will liquid staking protocols begin geo-blocking US users from their official front ends?
12,2023-02-09 21:20:08+00:00,RyanWatkins_,@0xstark Glad someone noticed 🙏🏾
13,2023-02-09 21:16:34+00:00,RyanWatkins_,"Hidden in all the bankruptcies, regulatory clampdowns, and fraud is the biggest catalyst ever for users to embrace the on-chain economy.

Short term pain, long term gain. 🧘🏾‍♂️ https://t.co/7GwG0IUG11"
14,2023-02-07 18:10:02+00:00,RyanWatkins_,"Its only been a few weeks, but it feels like we’ve just teleported to Q4’21 with dog coins, frontier L1s, and AI coins mooning.

Even have some new OHM forks…"
15,2023-02-06 22:35:55+00:00,RyanWatkins_,"I don’t expect it to happen soon, but once there are solid Ethereum rollup SDKs and professional infrastructure providers, we’ll see a massive inflection in rollup experimentation and innovation.

The Cosmos ecosystem — pioneers of multi-chain — offers a window into the future."
16,2023-02-05 16:18:10+00:00,RyanWatkins_,"@knlae_ I know I covered OHM before launch at Messari… and Canto launched in August 2022.

The point is neither got major publicity until months after once their traction was meaningful."
17,2023-02-05 16:15:54+00:00,RyanWatkins_,"To me this all demonstrates the power of the Cosmos SDK — When it’s easy to spin up a new chain, intellectual energy can directed towards economic experimentation rather than technical experimentation."
18,2023-02-05 16:15:54+00:00,RyanWatkins_,"Expect more Canto-like chains to launch from here. 

The Cosmos ecosystem is quickly becoming the hotbed for economic experimentation at the base layer."
19,2023-02-05 16:09:04+00:00,RyanWatkins_,"Canto may be the most polarizing new project since Olympus DAO in Q4 2021.

At one end of the spectrum: the belief that Canto is a massive grift.

At the other end of the spectrum: the belief that Canto is the most compelling new L1 experiment in a long time."
20,2023-02-03 04:58:39+00:00,RyanWatkins_,Didn’t take long for casino behavior to return.
21,2023-02-03 04:58:38+00:00,RyanWatkins_,Signs of froth or new paradigm? https://t.co/t7a8GpXNv9
22,2023-02-02 15:35:53+00:00,RyanWatkins_,"Fwiw I think Dalio is right about an inflation pegged asset being the holy grail of cryptocurrency.

What he doesn’t know is that on a long enough horizon this is the likely end game for decentralized stablecoins."
23,2023-02-01 04:17:36+00:00,RyanWatkins_,Still my working framework for viewing the giga-bull case for the leading crypto monies (BTC and ETH)
24,2023-02-01 04:14:50+00:00,RyanWatkins_,"🤔

https://t.co/9CxRYrQpt9"
25,2023-02-01 04:14:49+00:00,RyanWatkins_,"The outside money narrative is gaining steam — will Bitcoin catch a bid?

In 2022 central bank gold purchases hit its highest level since 1967 driven by desire to reduce counterparty risks following the US freezing Russia’s dollar reserves.

Matter of time for BTC or more hopium? https://t.co/TDPzo0Skt7"
26,2023-01-26 19:10:49+00:00,RyanWatkins_,@aeyakovenko @0xfoobar WAGMI https://t.co/hY73NzMvEN
