,Date,User,Tweet
0,2023-02-23 19:55:14+00:00,SanjaKon,@UTRUST Looking forward to it!
1,2023-02-16 16:05:59+00:00,SanjaKon,"It's moving to be a part of such a transformative process.

On the 28th of February, everyone will see what this app can do."
2,2023-02-13 14:11:17+00:00,SanjaKon,"Almost 2B people in the world are either unbanked or underbanked.
We exist to close the gap that traditional financial institutions have created, so that everyone, no matter their background,  can feel empowered and free around money👇"
3,2023-02-09 14:14:52+00:00,SanjaKon,Another great recognition - thrilled to be featured among the Top 5 scaleup Portuguese companies 🚀
4,2023-02-08 17:29:02+00:00,SanjaKon,@isss111 @athena_DAO_ Very excited about the project 🔥
5,2023-02-07 12:37:41+00:00,SanjaKon,Join us tonight for a web3 recap of the #WEF23 👇🔥
6,2023-02-06 16:03:22+00:00,SanjaKon,"I believe it’s every leader’s responsibility to keep the doors we enter open behind us.

If you’re interested in building your own #Web3 business, and creating your own legacy, I hope you find some of the lessons I share in this interview useful.

https://t.co/wW7CPwcPPB"
7,2023-02-04 08:31:21+00:00,SanjaKon,Who would you like to see on our podcast next? 👇
8,2023-02-03 15:38:01+00:00,SanjaKon,@DenelleDixon @mishadavinci 👏
9,2023-02-03 14:11:00+00:00,SanjaKon,"Five innovation platforms are converging to create unprecedented growth trajectories, with AI being the 
most important catalyst.
The market value of disruptive innovation platforms could scale 40% at an annual rate during this business cycle, to $200 trillion by 2030 🚀"
10,2023-02-03 13:01:40+00:00,SanjaKon,"Problems are the gifts that make us dig out and figure out who we are, what we’re made for and what we’re responsible for giving back to life.
T.R."
11,2023-02-01 15:59:46+00:00,SanjaKon,"Our much anticipated @UTRUST podcast is now live!
Check out the first episode with our own @jl_zamith 👇"
12,2023-01-30 19:48:46+00:00,SanjaKon,"You can avoid a lot of pain when you accept these 5 lessons of life 👇
Use painful experiences to grow and let them drive you forward 🔥 https://t.co/FbFpbu9jj5"
13,2023-01-30 18:43:27+00:00,SanjaKon,"Join me tomorrow for our monthly update at 5pm GMT ✅

Looking forward to it! 🎉"
14,2023-01-29 19:23:22+00:00,SanjaKon,"Ponosna❤️
Bravo Nole!!!"
15,2023-01-29 17:42:51+00:00,SanjaKon,@DjokerNole 🙌🙌🙌🙌🙌
16,2023-01-27 18:12:58+00:00,SanjaKon,Discover why @UTRUST is the perfect solution for #VCs 🙌
17,2023-01-26 16:28:19+00:00,SanjaKon,Fear is the projection of previous pain onto a future that does not exist
18,2023-01-26 08:06:00+00:00,SanjaKon,"According to @signifyd, #fraud in global e-commerce operations will cost companies $206.8B in 2023 😳

Signifyd also estimates that every $100 in fraudulent e-commerce orders results in $207 of losses for online retailers.

It’s time to embrace crypto payments 🎯"
19,2023-01-25 14:49:01+00:00,SanjaKon,"23% of online businesses say they are planning to offer crypto as a payment method by 2024
@Checkout"
20,2023-01-24 17:07:45+00:00,SanjaKon,"@Wiz4rd_King @Davos I also mean this in the best way, but fighting for equality is part of my role and the best results come from having diverse teams working in a great company culture and driving results. You can disagree, and that's fine. Everyone has different opinions"
21,2023-01-24 17:00:51+00:00,SanjaKon,"@Wiz4rd_King @Davos It's already done through our socials and newsletters, I suggest you join those to stay up to date (Utrust and not just my personal profile)"
22,2023-01-24 16:54:53+00:00,SanjaKon,@Wiz4rd_King @Davos Thanks for your input- events and conferences are major sources of leads and partnerships. We are launching new merchants and partners on a weekly basis and growing at a higher rate than the rest of the market (also thanks to partnerships signed through events like this).
23,2023-01-24 16:46:59+00:00,SanjaKon,"I had a very uplifting experience at the @Davos World Economic Forum. I got to meet with inspiring people and have the kinds of conversations that move the entire space forward.

I’ve written some notes about the event here if you’d like to check it out👇
https://t.co/YsBDxnsJUY"
24,2023-01-24 15:18:10+00:00,SanjaKon,"According to the digital payments agenda issued by @Checkout, 65% of eCommerce businesses say they have inadequate access to transparent information about the costs of their payments. 
At @UTRUST we take pride in having transparent fees, with a 1% commission and no hidden costs."
25,2023-01-24 13:51:43+00:00,SanjaKon,@CamilleMerre @100WomenDavos @DrEmuwa @sandy_carter @SusanneFromm @jannasalokangas @Maqueveq @CathyHackl @alineartsevents @inNFTland @TarjaStephens @KristinaLCorner @AurondaScalera 🎉🎉🎉
26,2023-01-23 17:21:24+00:00,SanjaKon,"The first internationally accepted credit card was introduced in 1948. In 1966, BankAmericard became the first licensed all-purpose credit card. 
Not a lot has changed since in terms of the underlying processes.
Find out more about credit card fraud here👇 https://t.co/bwxOy6HM4k"
27,2023-01-23 11:14:13+00:00,SanjaKon,"“All of the great leaders have had one characteristic in common: it was the willingness to confront unequivocally the major anxiety of their people in their time. This, and not much else, is the essence of leadership.” — John Kenneth Galbraith"
28,2023-01-22 15:55:48+00:00,SanjaKon,"“There’s no problem in the world that cannot be solved if you have maximum diversity of creative people”
Deepak Chopra"
29,2023-01-19 11:05:01+00:00,SanjaKon,"Great to hear more from @CathyHackl, the world’s first chief metaverse officer, our guest of honour today at the @100WomenDavos event. The Metaverse is going to shape our future and now is the right time to upskill and educate people so they can be prepared for the challenge 💯 https://t.co/zqObu9DXB7"
30,2023-01-19 08:51:30+00:00,SanjaKon,"As a health tech and longevity investor, I was delighted to participate to the Longevity investor lunch in Davos, and learn about great companies driving the change. Kudos to @marcpbernegger @Biolytica_com @TobiasReichmuth @DinaRadenkovic excited about the journey ahead 🧬"
31,2023-01-18 15:27:27+00:00,SanjaKon,"Great all women panel this morning at #wef23 moderated by @efipm 😎 we discussed ReFi, wealth management and how can web3 play a fundamental role in promoting financial inclusion 💪"
32,2023-01-17 19:08:44+00:00,SanjaKon,"Excited in hearing more about the pioneering initiatives of @LuganoPlanB - this time creating an R&amp;D hub for Bitcoin mining, showcasing how to integrate bitcoin mining with renewable energies 💯"
33,2023-01-17 17:54:35+00:00,SanjaKon,"Meeting with @LuganoPlanB in Davos to plan for next steps 🎉
@UTRUST https://t.co/jkACYf1P4y"
34,2023-01-17 17:48:04+00:00,SanjaKon,@LuganoPlanB in Davos 💪 https://t.co/0IY37y3ZWM
35,2023-01-17 11:48:20+00:00,SanjaKon,"“If gender equality became more omnipresent in the world, we could add up to 25 Trillion $ to global GDP by 2025”.
@ShelleyZalis @KarmeshVaswani https://t.co/V6pUrTydKm"
36,2023-01-17 09:36:05+00:00,SanjaKon,"@jkmccrann @StellarOrg @100WomenDavos @DrEmuwa @DenelleDixon Totally agree, thank you Julian 🙏"
37,2023-01-16 21:22:04+00:00,SanjaKon,"Amazing work tonight done by @StellarOrg &amp; @100WomenDavos.
Proud to collaborate with such amazing leaders @DrEmuwa @DenelleDixon"
38,2023-01-16 17:09:05+00:00,SanjaKon,@xEGLD If you don’t care feel free not to follow 💪
39,2023-01-16 15:46:49+00:00,SanjaKon,"“Money should move at the speed of the internet”, @circle COO, Elisabeth Carpenter. #wef23 https://t.co/HfZ5KbQvQ8"
40,2023-01-16 11:30:22+00:00,SanjaKon,"@jkmccrann Unfortunately yes, it will take us time to reach parity for women in leadership roles globally. That’s one of my personal missions 💪"
41,2023-01-16 11:12:02+00:00,SanjaKon,"In addition, more women spent significant time in the metaverse: 35 % of the women surveyed are power users, spending more than three hours a week in the metaverse, compared with 29% of men 🫵"
42,2023-01-16 11:12:02+00:00,SanjaKon,"More women than men are power users in the #metaverse 🤙

McKinsey research on consumers in the metaverse shows that 41% of women had used a primary metaverse platform or participated in a digital world for more than a year, compared with 34% of men."
43,2023-01-16 09:27:48+00:00,SanjaKon,@BreakingFreeYT Yes ✔️
44,2023-01-16 09:24:13+00:00,SanjaKon,"@elonmusk Every social media platform can either make you feel inspired or depressed/angry, depends on who you follow and how you react"
45,2023-01-16 09:23:13+00:00,SanjaKon,Driving to #davos2023 🎉 https://t.co/56oX5zy4ym
46,2023-01-15 14:17:02+00:00,SanjaKon,"One of the most important skills we have to master is the ability to recognise patterns.
There are seasons in our lives, just like the seasons in nature. Winter is not forever. Everything changes. Everything ends and something new occurs.
The important thing is to be ready 🤗"
47,2023-01-14 13:33:29+00:00,SanjaKon,"@nathanbaugh27 Many lives, many masters (Brian Weiss)"
48,2023-01-14 13:31:46+00:00,SanjaKon,"E-commerce merchants are expected to lose 48B $ to fraud in 2023, mostly due to friendly fraud (when consumers knowingly make a purchase and report it to their bank as fraudulent).
This is where @UTRUST comes in - join today to completely eliminate fraud from your payments 🎉"
49,2023-01-12 10:17:33+00:00,SanjaKon,@sergiubiris @xPortalApp 🔥🔥🔥🔥
