,Date,User,Tweet
0,2023-02-21 07:13:36+00:00,SheldonEvans,@cillionaire_com Still just a bear rally imo. Higher than zero chance we test lows at least once more this year. Likely into the end of the year.
1,2023-02-21 06:53:49+00:00,SheldonEvans,"THoUgHts...

#ETH/#BTC looking quite precarious to me.

BTC testing 200W MA from below.

ETH reaching top of range ~1750-1790.

Perhaps we see an ETH ⬇️, and BTC ⬆️ approaching Shanghai Hard Fork (+ after as withdrawals happen)?

Most alts look as precarious against BTC rn too. https://t.co/i908KDRJwJ"
2,2023-02-20 13:58:50+00:00,SheldonEvans,"So if #Bitcoin breaks the 200WMA, what do you think is the narrative that pushes it higher? China?
...or the narrative that sends us back to the lows? Macro?

Seeing an equal amount of despair as I see hopium on my tl.

Like it or not, digital assets are entirely narrative-driven https://t.co/ZXeDoU7iTh"
3,2022-11-14 18:40:09+00:00,SheldonEvans,@elonmusk Is this why @SBF_FTX’s thread is taking 24 hours to post?
4,2022-11-12 09:53:53+00:00,SheldonEvans,*a shitty malintentioned bank
5,2022-11-12 09:40:40+00:00,SheldonEvans,"@Web3DMD @IIIXIIIIIX I do agree with that, but it’s still not crypto’s “fault”. Bad actors with malicious intentions will always exist

Crypto is designed to remove the need for trust."
6,2022-11-12 09:27:48+00:00,SheldonEvans,"FTX operated like a bank.

That’s the problem.

Crypto has nothing to do with this entire shitstorm. 

Wait till they learn that all banks operate with fractional reserves."
7,2022-11-09 20:09:54+00:00,SheldonEvans,@rdeaton8 Decentralized exchanges yes. Centralized exchanges no. They serve as an on-off-ramp but I believe we’ll have better solutions for this too in the future
8,2022-11-09 17:06:20+00:00,SheldonEvans,"I’m seeing a lot of “crypto is fucked, it’s over” tweets today.

PLEASE understand that a CENTRALIZED exchange is literally the antithesis crypto 🙅🏻‍♂️

Yes the financial shockwaves will be immense but at the end of the day, it’s not “crypto” that failed."
9,2022-11-09 11:02:18+00:00,SheldonEvans,Btw to add to this. This is ONLY looking at the situation from a crypto-isolated view and not taking into account the god awful macro environment that will compound this and send us to the underworld.
