,Date,User,Tweet
0,2023-02-26 07:20:24+00:00,TheMoonCarl,#Bitcoin VS DXY 👇🏻 https://t.co/ohZOzoOmqX
1,2023-02-25 19:38:59+00:00,TheMoonCarl,School’s for fools. https://t.co/xhKcsUJoYS
2,2023-02-24 14:18:09+00:00,TheMoonCarl,@JulieatCarium @amariedauwer @AmericanTelemed @theviveevent 👀
3,2023-02-24 13:01:35+00:00,TheMoonCarl,"CHART: Best time to buy? 

This is the KST-Indicator that identifies trend exchanges, now with the 5th cross in #BTC’s History.

All the 4 previous ones were followed by a big uptrend. https://t.co/q76KtxtqJM"
4,2023-02-23 19:42:59+00:00,TheMoonCarl,@ZubyMusic Win
5,2023-02-23 18:15:59+00:00,TheMoonCarl,@ka_app Over The Moon obviously 🌙
6,2023-02-23 18:15:00+00:00,TheMoonCarl,"#Bitcoin is going to a million dollars, whether you like it or not. 

Accept this simple fact."
7,2023-02-23 18:13:11+00:00,TheMoonCarl,@prudensfx I only love $MEE
8,2023-02-23 18:00:21+00:00,TheMoonCarl,"@MarioNawfal If there is something “offensive”, nobody should be held accountable.

If it’s something illegal, now THAT’s a great question. I’m happy to listen to this Roundtable."
9,2023-02-23 17:28:45+00:00,TheMoonCarl,$TheMoon 🙏
10,2023-02-23 17:27:24+00:00,TheMoonCarl,Wow https://t.co/ezXDoaQfCg
11,2023-02-23 14:49:59+00:00,TheMoonCarl,@diana_bnb Check @MedievalEmpires
12,2023-02-23 12:30:58+00:00,TheMoonCarl,@Bitflex Haha nice 😅
13,2023-02-23 07:51:41+00:00,TheMoonCarl,BITCOIN: There is nothing sexier than a parabolic chart! 💸 https://t.co/jenxRkUKLl
14,2023-02-22 16:34:04+00:00,TheMoonCarl,Who is selling their #Bitcoin?
15,2023-02-22 15:49:14+00:00,TheMoonCarl,@MedievalEmpires Beautiful 👏
16,2023-02-22 14:29:37+00:00,TheMoonCarl,@crypto_rand Also true
17,2023-02-22 08:30:34+00:00,TheMoonCarl,"CHART: #Bitcoin yearly candles indicates a 3 year bull market, starting NOW! https://t.co/fkQEVB5WHX"
18,2023-02-22 05:52:46+00:00,TheMoonCarl,GM lovely people 💚
19,2023-02-21 16:34:18+00:00,TheMoonCarl,@AltcoinDailyio I believe in $MEE
20,2023-02-21 16:33:54+00:00,TheMoonCarl,"The bottom is in.

#Bitcoin"
21,2023-02-21 15:54:27+00:00,TheMoonCarl,@Davincij15 😅
22,2023-02-21 15:43:02+00:00,TheMoonCarl,"1,2 million views THANK YOU 🙏"
23,2023-02-21 15:08:11+00:00,TheMoonCarl,"@Bitflex $50,000 soon"
24,2023-02-21 11:39:08+00:00,TheMoonCarl,https://t.co/54aOig6y72
25,2023-02-21 11:38:52+00:00,TheMoonCarl,"JUST IN: #Ethereum fractal predicting $3,000 explained here: https://t.co/C5phviIpCe"
26,2023-02-21 11:28:03+00:00,TheMoonCarl,@CryptoJobs @cz_binance 😎
27,2023-02-21 10:18:40+00:00,TheMoonCarl,Massive shoutout to the legend @IvanOnTech 😎👍
28,2023-02-21 10:18:15+00:00,TheMoonCarl,This is why I love #crypto 😅🫶 https://t.co/bLNRObNFW6
29,2023-02-21 10:17:21+00:00,TheMoonCarl,@MedievalEmpires Farm!!! 👏
30,2023-02-21 10:16:35+00:00,TheMoonCarl,FRACTAL: Looks like #Ethereum could get a pump from here. Thoughts? 👇🏻 https://t.co/3jynKNp9ga
31,2023-02-21 09:54:22+00:00,TheMoonCarl,"This makes me excited 😎

#Bitcoin 👇🏻👇🏻👇🏻 https://t.co/GLSdqpWmg8"
32,2023-02-20 16:38:20+00:00,TheMoonCarl,@Rvexia1453 Same
33,2023-02-20 16:30:00+00:00,TheMoonCarl,"Bitcoin: The road to $100,000 has begun. Retweet to wake up the sheep. https://t.co/RKcSMacIm4"
34,2023-02-20 16:29:36+00:00,TheMoonCarl,JUST FORMED: #Bitcoin ascending triangle on the 1h timeframe. Retweet if you think it will break UP 🆙 https://t.co/D3uDuA3nok
35,2023-02-20 16:03:58+00:00,TheMoonCarl,@CryptoKidcom Good job bro
36,2023-02-20 15:14:34+00:00,TheMoonCarl,@ka_app True 😂
