,Date,User,Tweet
0,2023-02-24 21:56:56+00:00,TimDraper,"In a turn of events, #bitcoin miners are signing deals with Texas electrical grid providers to get paid to turn off during peak demand. Bitcoin miners help with electrical grid management. #bitcoin #trust #freedom"
1,2023-02-18 18:38:08+00:00,TimDraper,Look who is lucky #13. https://t.co/webO5w6kFE
2,2023-02-18 01:24:38+00:00,TimDraper,"Next stop Paris! 🗼

Meet the Drapers will broadcast live at Paris Blockchain Week on 20 March @PBWS
 
Early stage start-up in Web3, this is your chance to showcase your project but hurry, deadline is 20 Feb.

Apply here👉https://t.co/HQglIlIvyn"
3,2023-02-17 20:14:50+00:00,TimDraper,More from the DII index.  https://t.co/d1MzICDpaW
4,2023-02-17 20:14:08+00:00,TimDraper,Draper Innovation Index. Some surprises ⁦@HeroDraper⁩ draper https://t.co/JBeJha1Rzg #freedom #trust  https://t.co/0eVsPAu3EM
5,2023-02-12 13:23:52+00:00,TimDraper,I’m speaking at the Carrousel du Louvre for Paris Blockchain Week. Use my discount code to get your ticket and join me. Who's going? https://t.co/byp7z8NtdI
6,2023-02-12 12:37:01+00:00,TimDraper,Live from @ArtBasel @MiamiWeb3Summit nice interview. Covers #bitcoin #blockchain #freedom #trust
7,2023-02-05 11:27:15+00:00,TimDraper,Second part of the old interview
8,2023-02-05 11:24:20+00:00,TimDraper,Old interview that I may not have tweeted.
9,2023-02-03 08:27:15+00:00,TimDraper,Write up of my interview with ETinsights in India. #startups #bitcoin #governance #freedom #trust this one has it all.  https://t.co/K8v2K1csUd
10,2023-02-03 08:09:27+00:00,TimDraper,Podcast Deep Dive with @ChadwickHagan #bitcoin #trust #freedom https://t.co/7A6HRhUfBq
11,2023-02-02 10:22:00+00:00,TimDraper,Tim Draper: What if we had a national School Stamp program to fund K-12 education? – Orange County Register https://t.co/bBL8lvwn2E
12,2023-01-13 20:34:01+00:00,TimDraper,"Taiwan interviews. Use Google translate from the Chinese. https://t.co/9ZY2kmVvEN
https://t.co/tFlHHwbEwp"
13,2023-01-12 22:29:17+00:00,TimDraper,With Ben Lamm of @itiscolossal talking about the #deextinction of the #woolymammoth. @drapervc portco. https://t.co/8PdVEItDcd
14,2023-01-12 22:26:22+00:00,TimDraper,With @harrymack the freestyler at @CapitalFactory in the free country of @AustinTX . #decentralization #drones #nocode https://t.co/FrpL3OIp76
15,2023-01-12 22:03:37+00:00,TimDraper,Great film. Important to see. @anastasiafilm https://t.co/mdg5WqRZJG
16,2023-01-12 19:07:58+00:00,TimDraper,Using DNA for memory! Our @drapervc portco @aanikabio hit a major milestone as they wrote their first biotech-backed insurance policy and their tech gets deployed on produce up and down the East Coast.  Full article https://t.co/FeVWbt7cuT
17,2023-01-10 23:51:46+00:00,TimDraper,Startups! 2 free months' membership in HeroCity 55 E 3rd Ave San Mateo. Use Draper University pool and weight room. #startup #club https://t.co/4K7ikxF8zc
18,2023-01-10 22:39:09+00:00,TimDraper,Near me. 7000 sq ft office space for rent (10k with loft) with patio in San Mateo. 37 E 4th Ave #1. Newly renovated. $25k/mo. Contact: MKent@DraperUniversity.com #realestate #SanMateo
19,2023-01-05 18:24:08+00:00,TimDraper,"@elonmusk Now, you are person of the decade."
20,2022-12-31 20:11:55+00:00,TimDraper,See t-shirt. $250k by 2022. My prediction was off by a bit. Hasn’t made it there…yet. Certainly before the halvening. #truebelievers #bitcoin #worldoftrust #freedom #hodl https://t.co/jMLi8rraj8
21,2022-12-17 02:00:09+00:00,TimDraper,Great interview. https://t.co/LJq2xxFv1w
22,2022-12-16 22:50:28+00:00,TimDraper,"From my trip to @taiwan. #freedom and #trust beat government control every time. Xi is a weak leader, needing to control everyone, rather than trusting them and setting them free. 
https://t.co/RzkcCZ3eN5"
23,2022-12-16 22:36:10+00:00,TimDraper,Cool @Cointelegraph interview with really bright people. #web3 #bitcoin #trust #freedom https://t.co/cauQ95FxYa
24,2022-12-16 22:12:09+00:00,TimDraper,Awesome VC looking for an Associate.
25,2022-12-16 21:31:58+00:00,TimDraper,With @CNBC @WebSummit . Here is why @bitcoin will reach $250k. https://t.co/DqARhl8pAu
26,2022-12-16 19:46:54+00:00,TimDraper,This is so cool. @jurproject is the first true experiment in liquid democracy. #trust #freedom.
27,2022-12-15 03:51:33+00:00,TimDraper,Look who is in the top 10. Not #singapore anymore. Socialism doesn't work. #freedom #trust #Russia falls to near the bottom. #china  continues to plunge. https://t.co/bWTVasuKX8
28,2022-12-15 03:33:50+00:00,TimDraper,"This data keeps getting better. States need to wake up and see that #freedom and #trust ing your people makes economies hum, improves jobs and education, decreases homelessness and depression. California not in the top 5 with all their tech leadership. #50 in business environment"
29,2022-12-09 21:58:53+00:00,TimDraper,"Fun one with smart people if you want to spend the time, #web3 #bitcoin #trust #freedom #bearmarket click here. https://t.co/DZGNsZE79j"
30,2022-12-03 16:58:47+00:00,TimDraper,Bitcoin is decentralized. FTX was centralized around one person. Decentralized currency is the great opportunity we have for economic evolution. Governments need to design software to tax businesses operating in a bitcoin walled garden so they have more #trust in #bitcoin.
31,2022-12-03 16:25:38+00:00,TimDraper,"Great leaders like George Washington and Deng Xiaoping trust people and set them free. Weak leaders like Xi, Jong-Un and Putin try to control everybody. How is that working out for their people? #trust #freedom"
32,2022-12-03 16:20:27+00:00,TimDraper,"Was in Taiwan last month to record Episode 5 Season 6 @meethedrapers and a visit to their space agency, what an amazing visit! Happy to see #TaiwanIsOpen for travel and for startup investments. Looking forward to returning soon! #freedom #trust"
33,2022-12-02 05:23:41+00:00,TimDraper,This is a great organization. Looking for donations. #bitcoin #trust #freedom https://t.co/TLrcpk9map
34,2022-12-02 05:17:27+00:00,TimDraper,Another country making #bitcoin a national currency. https://t.co/XRJvPNaIFO #freedom #trust
35,2022-11-20 22:33:16+00:00,TimDraper,Tokenize your assets. @drapervc portco https://t.co/D05970BqCi
36,2022-11-12 04:14:04+00:00,TimDraper,"This @drapervc portco can save 40000 young lives and keep the 2nd amendment in tact. Once again, technology rises to solve societal problems. #freedom https://t.co/PRM9o0dUUR"
37,2022-11-12 00:14:07+00:00,TimDraper,Even more relevant now post-FTX: Women Will Save Bitcoin: Chatting With Bitcoin Maximalist Tim Draper https://t.co/HWr080wc1W
38,2022-11-11 23:44:18+00:00,TimDraper,"FTX. So sad. A clear argument against centralized (leverageable) currency, whether crypto or fiat. Bitcoin and Tezos are decentralized and safe. Tragic for those who used FTX for custody. The unlevered Coinbase, and self-custodied Ledger are the future. #bitcoin #trust"
39,2022-11-10 05:20:34+00:00,TimDraper,Interview about #bitcoin #trust #freedom .  https://t.co/ISFjn1rC4o
40,2022-11-10 04:58:36+00:00,TimDraper,"The @Cryptoys team gets collectibility. Each drop has 7 rarity levels that earns you Collector Titles, early access to future drops, and additional gameplay. You can collect yours and access the drop now at https://t.co/yELHBEEcwJ 

Asset: https://t.co/GgAvilyTfJ"
41,2022-11-10 04:58:36+00:00,TimDraper,"Their partnership with @Mattel will bring new and exciting IP onto the blockchain starting with @MastersOfficial. 

Asset: https://t.co/TtNK8gDhcN"
42,2022-11-10 04:58:35+00:00,TimDraper,"The animation &amp; experience is as premium as it gets. These 3D characters come to life with an interactive unboxing experience that’s unlike anything seen before in the space. 
Asset: https://t.co/CpvMk8Nafj (pick an unboxing video you like best)"
43,2022-11-10 04:58:35+00:00,TimDraper,"The first public @Cryptoys drop is officially LIVE! Here's why I’m so excited about this project: ￼

Asset: https://t.co/ddl21nIelL"
44,2022-11-10 04:41:41+00:00,TimDraper,"⁦@drapervc⁩ portco, ⁦@XanaduAI⁩ announced their Series C. Wow. Another Draper unicorn. https://t.co/JfJqjHAMeY"
45,2022-11-10 04:17:58+00:00,TimDraper,This might be the largest nation in the world one day. I am #186. what number are you? #trust #freedom
46,2022-11-09 21:02:37+00:00,TimDraper,"Read this. My son sees things clearly. #bitcoin #Web3  Bitcoin and Promises., by @AdamDraper https://t.co/aRIcNRttaC"
47,2022-11-07 01:25:43+00:00,TimDraper,"I think Elon is awesome and we are so lucky to have him on our planet, I believe he wants to save the planet with Tesla, make sure we can get off it with SpaceX, and now allow everyone free speech with Twitter, and he does it all profitably. I hope he lives forever!"
48,2022-11-07 01:22:10+00:00,TimDraper,Bitcoin Billionaires And Crypto Kings Cheer On Elon’s Twitter Experiment: ‘I Hope He Lives Forever’ https://t.co/xX4TkqiTTO
49,2022-11-06 15:03:29+00:00,TimDraper,Cool. @drapervc #startup @FairmintCo   https://t.co/79sfPdafSh
50,2022-11-06 15:00:08+00:00,TimDraper,As part of the launch of the new @drapernetwork I'm having a conversation with @sidmofya and Paul Santos of @wavemaker_VC about what it takes to be successful in VC by playing the long game. If you're zero to 10 years into your journey you'll enjoy this. https://t.co/nSXPRmP9Xr
51,2022-11-06 14:22:41+00:00,TimDraper,Women Will Save Bitcoin: Chatting With Bitcoin Maximalist Tim Draper https://t.co/7qB7UbsJk6
52,2022-11-06 14:14:44+00:00,TimDraper,"Episode Tim Draper | Startup Pioneers. Fun. Target audience is 16-17 year olds, but questions get me thinking. #trust #freedom #youth #careers  https://t.co/uVrbqU21PB"
53,2022-11-06 13:52:12+00:00,TimDraper,Congratulations to @vishaalbhuyan of @aanikabio a @drapervc portfolio company was invited to the  @WhiteHouse last week to discuss the future of biomanufacturing in the US.
54,2022-11-06 12:48:04+00:00,TimDraper,Someone filmed me on the venture stage at @WebSummit. A little tongue in cheek at the end. @draper_u @drapervc .
55,2022-11-06 12:19:35+00:00,TimDraper,"“I Back The Missionaries, Not The Mercenaries” Tim Draper On His Investment Strategy https://t.co/yVT99Klw4Y"
56,2022-11-05 22:39:50+00:00,TimDraper,"I’m looking forward to speaking at #Miamiweb3 Summit in a couple of weeks. The most significant institutional Web3 investor event of 2022 w/@atlasweb3group. Join me in Miami, Nov 28-30 👉  https://t.co/TXVV58JYRC"
57,2022-11-05 20:03:09+00:00,TimDraper,With @Coinstelegram1 at @websummit
58,2022-11-01 18:59:22+00:00,TimDraper,"I back the missionaries not the mercenaries. Also, I like the countries and states that are #freedom and #trust. See outcomes of the recent data in @HeroDraper innovation index: https://t.co/CQxBDJKlWh"
59,2022-10-31 00:11:54+00:00,TimDraper,"I’m pleased to serve as an advisor to @WhartonCypher, the premier #blockchain, #web3, and #crypto accelerator at @Wharton. Apply now to join Cypher’s spring 2023 cohort, the Fortis Cohort. Learn more and apply here by Dec. 15: https://t.co/VcYNCZwon0 @FinanceHammer"
60,2022-10-28 19:19:41+00:00,TimDraper,With Brian Rose on @LondonRose #bitcoin #trust #freedom #startups
61,2022-10-28 15:48:51+00:00,TimDraper,Podcast. Interesting questions. #bitcoin #trust #freedom https://t.co/JEFo5SiZBS
62,2022-10-26 17:00:19+00:00,TimDraper,"Californians: No on 30! Haven’t we had enough job creators leave the state!
#california #propositions #NoOn30"
63,2022-10-24 01:07:20+00:00,TimDraper,California Is Evading Fiscal Transparency. So We Compiled Their Checkbook. | RealClearPolicy #trust #freedom #California https://t.co/Z6zzAZdwqq
64,2022-10-23 17:49:13+00:00,TimDraper,"“I Back The Missionaries, Not The Mercenaries” Tim Draper On His Investment Strategy https://t.co/yVT99Klw4Y"
65,2022-10-20 21:43:27+00:00,TimDraper,"This was a great podcast interview in case you have an hour to spend. #bitcoin #trust #freedom @drapervc
Good times, great people.
Powered by RiversideFM ♡
 https://t.co/LWvxpXJkmm #RiversideFM"
66,2022-10-16 23:28:44+00:00,TimDraper,Maybe we will be the golden state once again.
67,2022-10-16 23:28:44+00:00,TimDraper,Maybe the schools will improve.
68,2022-10-16 23:28:43+00:00,TimDraper,Maybe the industrialists will come back.
69,2022-10-16 23:28:43+00:00,TimDraper,"The state is going dry and almost out of water, unemployment is high, while shops everywhere are looking for help.

So this time, let’s try something new and vote something other than Democrat in California"
70,2022-10-16 23:28:43+00:00,TimDraper,"California's Democrats decriminalized shoplifting, traffic is congested and miserable, free-speech is discouraged, about 23% of nation's homeless live in California, while the great industrialists are moving out (like Elon Musk, Larry Ellison, Toyota, Disney, Occidental, etc.)."
71,2022-10-16 23:28:42+00:00,TimDraper,"We have poor schools, poor highways, high rents, expensive electricity and gas, the worst poverty in the nation, and unlike almost every other state in the union, the California bureaucrats and unions won’t open their books to the public who paid for them."
72,2022-10-16 23:28:42+00:00,TimDraper,"That said, we in California are a one party state, where 100% of the state is controlled by the Democrats, and that monopoly party has failed us. Our tax rates are the highest in the nation (and potentially going higher), but that money has not provided us commensurate services."
73,2022-10-16 23:28:41+00:00,TimDraper,"Life in California

To be clear, I am neither a Republican nor a Democrat. I am for freedom and trust, where government gives people the benefit of the doubt and allows them to run their lives. Neither major party seems to represent these values."
74,2022-10-15 20:46:30+00:00,TimDraper,"We need to root out Government Union Corruption. Read this. Appalling!!!
California Is Evading Fiscal Transparency. So We Compiled Their Checkbook. | RealClearPolicy https://t.co/Z6zzAZdwqq"
75,2022-10-15 20:24:06+00:00,TimDraper,"Can the Silicon Valley join Nevada?
MAPS - Move Oregon's Border for a greater Idaho https://t.co/7sIKL8T1lj"
76,2022-10-07 20:49:10+00:00,TimDraper,Great Q&amp;A. Short read. Made me think hard. All about #bitcoin #freedom #trust . Please read this one.  https://t.co/Bw1sRSWlf5
77,2022-10-07 16:13:00+00:00,TimDraper,"We are selling our SF apartment, amazing place, perfect location. Listed at $6.8 million. Contact Grazia grazia.bennett@sothebys.realty https://t.co/bjXhOEEeFm #SFcondo #SFrealestate"
78,2022-10-01 18:47:58+00:00,TimDraper,Innovation in legal is actually happening @drapervc startup @LawTrades . Simplifying legal work.
79,2022-09-29 22:08:40+00:00,TimDraper,DII Global rankings reflect how quickly countries can rise and fall in the rankings in the competition for entrepreneurs and investors due to rapidly changing global circumstances. #freedom #trust
80,2022-09-29 22:07:11+00:00,TimDraper,States with beneficial regulatory environments and business friendly policies see impressive gains #freedom #trust
81,2022-09-24 16:14:02+00:00,TimDraper,"Thank you Ron. Maybe we can get some of the tax (and regulatory) refugees back to California from Texas and Florida. Less regulation=More economy, jobs and prosperity. California government: Trust your people and their businesses. Good things will happen."
82,2022-09-24 16:07:38+00:00,TimDraper,"#inflation continues to rear its ugly head. Bureaucrats are playing with our livelihoods, jobs, prices, etc. #bitcoin is the solution. #freedom from political manipulation. #trust in the blockchain, which keeps perfect records on the (fixed at 21 million) bitcoin."
83,2022-09-19 15:33:58+00:00,TimDraper,I plan to be speaking at @DGHEvents' 9th Annual LA Blockchain Summit on November 1-3 in LA Convention Center! Join me by registering here: https://t.co/4NJaJnMBPB
84,2022-09-12 15:14:15+00:00,TimDraper,"Our @drapervc startup @OpenNode makes bitcoin eco friendly on the lightning network. All transactions operate at level 2. Tezos started proof of stake, which works too. #Bitcoin #trust #freedom"
85,2022-09-11 10:10:19+00:00,TimDraper,Not typical of my tweets. #homelessness in CA can be improved. #deregulate #housesofhope #nodrugs #jobs. Watch this short documentary on SF vs San Antonio https://t.co/zysC0mH2wV
86,2022-09-09 17:04:42+00:00,TimDraper,Amazing short interview. I get my points across. Please click or read. Tim Draper: The Crypto Crusader @drapervc #bitcoin #decentralize #trust #freedom  https://t.co/rq4x9z9U7j
87,2022-09-08 17:16:03+00:00,TimDraper,Our startup @Mat3ra_com is hiring. Check them out. https://t.co/0bgwffMnNC
88,2022-09-08 17:05:48+00:00,TimDraper,This is awesome. Two @drapervc companies doing a big deal. #bitcoin @coinbase @MakerDAO  https://t.co/bzsYJlDD9o
89,2022-08-31 16:04:08+00:00,TimDraper,"“What VC Firms Want to Know Before they invest in Your Startup” by Abdullah Idris
https://t.co/sFrIrpamk4 https://t.co/VGv3maNFp7"
90,2022-08-24 17:09:10+00:00,TimDraper,"Our startup, @drapervc @arkhamintel describes how the company builds #trust into the #bitcoin economy."
91,2022-08-23 22:23:28+00:00,TimDraper,Nice to get some real visibility for our @drapervc startups. Click to see sign. @ranker https://t.co/SNifzx67xk
92,2022-08-16 14:00:58+00:00,TimDraper,So awesome. I miss the Tasmanian tiger. ⁦@drapervc⁩ startup ⁦@Colossal⁩ bringing back the beasts. #awesomezoo  https://t.co/GrgfsIWJa7
93,2022-08-13 15:12:55+00:00,TimDraper,@cuzelis Favorite response.
94,2022-08-13 14:48:47+00:00,TimDraper,"It may be that my math is wrong, but how does $300 billion in additional government spending LOWER inflation???? #InflationReductionAct #bitcoin #freedom #trust"
95,2022-08-08 14:48:49+00:00,TimDraper,"Congratulations to the team at @sling_shot_aero on their recent acquisitions of @numerica_corp Space Domain Awareness Division and UK-based
@seradata! @drapervc startup making great strides in #space."
96,2022-08-06 17:55:59+00:00,TimDraper,"Good interview. Kind of fun that ""Upside"" is still out there. Upside was the name of the first tech magazine, ever. Tony Perkins was the founder. Good interview, imo. https://t.co/zX4iAUjzSL"
97,2022-08-01 20:36:21+00:00,TimDraper,Great young interviewer in the making.
98,2022-07-29 16:29:35+00:00,TimDraper,"A terrific book from Dick Gould, many time champion of Stanford tennis. A good read for anyone who wants to know how to win. https://t.co/u55QKkfJKd"
99,2022-07-27 20:12:29+00:00,TimDraper,"OMG! HilARIOUS! and Beautiful. @tesla my love is a hit from my @Kazakhstan buddy, Aidar Omar. @elonmusk you must hear this:  https://t.co/NtvF3HCwr2  @drapervc"
100,2022-07-27 19:34:47+00:00,TimDraper,"Excited to see that @drapervc startup Aanika is launching a an insurance vehicle to provide risk coverage to the products it microscopically tags!
https://t.co/JvgEGkiNED"
101,2022-07-22 16:53:58+00:00,TimDraper,Interview with @LondonRealTV #bitcoin #trust #freedom https://t.co/HmZfpd6tNq
102,2022-07-20 18:51:56+00:00,TimDraper,Our @drapervc company Bitwage has a unique and savvy customer. #bitcoin #freedom #trust #female #Fighter
103,2022-07-19 00:04:47+00:00,TimDraper,"An @drapervc portco, @dropwater is delivering water without the plastic. #environmental #healthy #savetheplanet"
104,2022-07-13 21:34:16+00:00,TimDraper,California dropped out of the top 10 for innovative environments. Ouch! https://t.co/51Gynz534I
105,2022-07-13 21:26:29+00:00,TimDraper,"Regulation kills innovation. #trust and #freedom build great economies. See innovation index, and then #deregulate!"
106,2022-07-12 15:36:51+00:00,TimDraper,Great interview @UpsideStories. #trust #freedom #recession #bitcoinprice #elon #twitter #NFts #sports #draymondgreen This one has it all. https://t.co/PCGZ3Q8VvU
107,2022-07-09 04:11:53+00:00,TimDraper,.@Cryptoys is working with Mattel to create a potentially hot Christmas item. Masters of the Cryptoverse! #NFT #toys
108,2022-07-09 00:14:40+00:00,TimDraper,"On July 13th, join me and @alextapscott on the #CryptoTalks webinar to find out how and why fortunes are made in bear markets. You can sign up here: https://t.co/c4F7y99Xci"
109,2022-07-09 00:03:54+00:00,TimDraper,"Great @webit event. some good companies and a great ceremony.
https://t.co/09X3yTPwTn"
110,2022-07-09 00:00:46+00:00,TimDraper,@drapervc portco launches Masters of the cryptoverse. We expect this to be huge this Christmas. #nfts #toys #MastersoftheUniverse
111,2022-07-08 23:37:41+00:00,TimDraper,The real estate market is big. Web3 companies are about to take huge market share. That's why @drapervc is hosting a demo day for web3 real estate startups. Apply by sending your business plan to tim@draper.vc and register to watch here: https://t.co/dxvSel9w8Q
