,Date,User,Tweet
0,2023-02-25 18:09:33+00:00,ZeMariaMacedo,@_10delta_ @sunnya97 @zmanian @aeyakovenko @ericinjective @TheMirzaUddin @jayendra_jog @0xSpaydh @luigidemeo In what ways do you think rollups at end-game (i.e. with decentralised sequencers and permissionless proofs) give up censorship resistance?
1,2023-02-25 18:02:27+00:00,ZeMariaMacedo,"What's the best counter-argument to this take? 

@sunnya97 @zmanian @aeyakovenko @ericinjective @TheMirzaUddin @jayendra_jog @0xSpaydh @luigidemeo 

https://t.co/bwfDMVD3S0"
2,2023-02-24 17:32:14+00:00,ZeMariaMacedo,"@RyanSAdams To be fair, I think the LUNA bull in question was pretty transparent about the risks, and critical of the toxicity sent your way"
3,2023-02-24 11:53:57+00:00,ZeMariaMacedo,@tuyaverse Sure or they can just mention that you referred them
4,2023-02-23 22:40:57+00:00,ZeMariaMacedo,@labaume_de @0xCharlota Ooo what are you building ?
5,2023-02-23 14:56:27+00:00,ZeMariaMacedo,@lex_node https://t.co/4B8Az297w5
6,2023-02-23 14:36:30+00:00,ZeMariaMacedo,@joalavedra Currently training in my garden but we normally do open mats on Saturday. Hit me up when you’re here and I’ll let you know
7,2023-02-23 14:20:18+00:00,ZeMariaMacedo,"We offer competitive salary, ownership in the project, as well as the resources required to build something awesome 

If you're interested, pls email delphi.jj@gmail.com with your CV and why you're the right person for the job

Will also pay €1000 for successful referrals"
8,2023-02-23 14:20:18+00:00,ZeMariaMacedo,"The right person will:

-Have business experience, ideally as an entrepreneur or helping starting something from scratch
-Be passionate about martial arts / health
-Live in the Lisbon area or be willing to move
-See this as their dream gig"
9,2023-02-23 14:20:17+00:00,ZeMariaMacedo,"Pre-crypto, I had actually started a martial arts academy in the UK so I know what's required. I just don't have the time to actually make it happen 

With this in mind, I'm looking for a business-minded cofounder who can help make this vision a reality"
10,2023-02-23 14:20:17+00:00,ZeMariaMacedo,"I've seen first hand the impact martial arts can have on people's lives, and the way it unites people from all ages and walks of life

I truly believe the martial arts experience can be delivered in a much better way that makes it accessible to way more people"
11,2023-02-23 14:20:16+00:00,ZeMariaMacedo,"The goal is to create a leading martial arts center, both for competitors but also for hobbyists looking to get into the sport 

In addition to high level martial arts instruction, we'll also offer top facilities including fully equipped gym, sauna, cold plunge, float tank, etc"
12,2023-02-23 14:20:16+00:00,ZeMariaMacedo,"I’m looking to start a state of the art martial arts academy in the Lisbon area. I'll provide the seed capital and head coach will be Bruno Lima, one of the top BJJ competitors globally

I'm looking for a business focused cofounder to help make this a reality

Details below👇"
13,2023-02-23 14:14:51+00:00,ZeMariaMacedo,@jackzampolin @HillaryAdler I agree with this and actually think the lack of a central figurehead is a strength for Cosmos
14,2023-02-22 22:24:58+00:00,ZeMariaMacedo,@hanamest @a_fsardo @ShaneOgley https://t.co/k2dyPcJ2vn
15,2023-02-22 12:47:51+00:00,ZeMariaMacedo,@mcksauced Truly the best among us
16,2023-02-22 12:45:54+00:00,ZeMariaMacedo,"@pyfreqtrader You want your kids to be educated by an  LLM? 

Makes sense as a teaching assistant but imo will never replace the role of an excellent teacher who is both passionate and knowledgable on the subject"
17,2023-02-22 12:40:17+00:00,ZeMariaMacedo,"It’s tragic that education is the highest ROI investment a society can make, yet in the West teacher jobs are both underpaid and relatively low status

What would the world look like if kids learned from the best and brightest among us?"
18,2023-02-21 20:00:17+00:00,ZeMariaMacedo,@hanamest Yes
19,2023-02-21 13:50:56+00:00,ZeMariaMacedo,What are the most interesting ideas for applications that can be built on the new interchain NFT standard (ICS-721)?
20,2023-02-20 15:58:38+00:00,ZeMariaMacedo,"GambleFi is taking off and @azuroprotocol has one of the best designs and most experienced teams in the space

Disclaimer: Delphi Ventures is a proud investor"
21,2023-02-20 14:09:14+00:00,ZeMariaMacedo,"Was a pleasure to chat with @milesdeutscher about the future of crypto 

Check it out and let me know your thoughts :)

https://t.co/YL9Ev1TpXu"
22,2023-02-19 11:11:07+00:00,ZeMariaMacedo,@305_Capital @ApeCosmonaut @360bilalkhan @mars_protocol This ain’t me ser. Mr Shapiro would not be pleased
23,2023-02-18 19:36:12+00:00,ZeMariaMacedo,"Twitter frens, recommend me a good thriller to watch tonight 

Ideally something with beautiful visuals (not too old) and an immersive feel to it"
24,2023-02-17 22:50:17+00:00,ZeMariaMacedo,"@MonetSupply We believed in the Terra thesis, despite risks which we consistently pointed out, and we put our own money and time behind it. We were wrong and we lost bigly 

All we can do is own it, learn and keep building. And that's exactly what we've done and will keep on doing"
25,2023-02-17 22:24:53+00:00,ZeMariaMacedo,"@MonetSupply Also, we haven't shown contrition??? 

Literally the week after the depeg we published this: https://t.co/IMpFc2PtHo

Screenshotted a few quotes for you https://t.co/DXWY3QUBHQ"
26,2023-02-17 22:14:29+00:00,ZeMariaMacedo,"@MonetSupply Love how you conveniently ignore the very next tweet where I literally say it doesn't matter if it was attacked because the design was flawed

https://t.co/Cze93JYk1I"
27,2023-02-16 09:08:33+00:00,ZeMariaMacedo,@KillMike5 Yes pls
28,2023-02-15 21:42:19+00:00,ZeMariaMacedo,@HusumAlex Cheers ser! Is she a nutrition specialist or also a general doctor ?
29,2023-02-15 21:38:27+00:00,ZeMariaMacedo,"Anyone know a good family doctor in Portugal, ideally around Cascais area?"
30,2023-02-15 15:56:12+00:00,ZeMariaMacedo,"@Minittowinit @WagmiDMC 

We've used them all of Delphi's company retreats, parties, and other events. Can't recommend them enough"
31,2023-02-15 15:54:16+00:00,ZeMariaMacedo,"Received some great feedback on the emission split between pools and have adjusted accordingly

Curious to hear what the more active Astrochads think of Stefan's latest proposal

@lurkaroundfind @MaxCallisto @RunemirQi  @TheRyanLion @SumoKuji"
