,Date,User,Tweet
0,2023-02-21 06:29:29+00:00,_MinTeo,Hot off the press! Look forward to the debate and discussion on https://t.co/Li9Vupwtvd 🔥
1,2023-02-15 04:09:56+00:00,_MinTeo,"The first EVM rollup-as-a-service provider, empowering developers to have their L2 blockchains the way they like it, live on mainnet ✨

We're excited to be part of the journey @Calderaxyz!"
2,2023-02-14 09:32:40+00:00,_MinTeo,"@surojit @a16zcrypto great news for founders, congrats Surojit! 🔥"
3,2023-02-07 16:44:31+00:00,_MinTeo,"Finally, a fixed borrow system where you pick your loan duration and know your rate upfront -- HYPERDRIVE

Have fun playing! 👇"
4,2023-02-04 12:36:51+00:00,_MinTeo,"@StaniKulechov Congrats you two, amazing news! ❣️"
5,2023-02-01 07:17:07+00:00,_MinTeo,@beller @NaithanJones @rubenharris @eriktorenberg @NFX beaut 🔥
6,2023-01-26 12:16:15+00:00,_MinTeo,@TedBreyer @atoka Congrats Ted! Excited for Atoka to launch 🔥
7,2023-01-26 11:02:24+00:00,_MinTeo,@sriramkri @sunilchhaya Dream team! Congrats 🔥
8,2023-01-13 01:55:51+00:00,_MinTeo,@_kinjalbshah @blockchaincap Congrats Kinjal! So well deserved
9,2023-01-12 02:04:11+00:00,_MinTeo,@amandacassatt @victoriasavanh @samcassatt @ErikVoorhees @gmoneyNFT @ArtOnBlockchain @artblocks_io @ethereumJoseph @cmoyall @joeykrug @glenweyl @yorkerhodes @kimbatronic Congrats Amanda! this is 🔥
10,2022-12-21 07:04:34+00:00,_MinTeo,@SchorLukas Congrats! What a way to ring in the new year 🎊
11,2022-12-16 09:02:45+00:00,_MinTeo,"It's been such a privilege working with the relentless @Zac_Aztec @jaosef over the last 4 years as they researched how best to bring encryption to Ethereum.
It's now time to bring their vision of user-first privacy and security into reality. Congrats @aztecnetwork team!"
12,2022-12-06 05:39:36+00:00,_MinTeo,@graceisford @Lux_Capital Congrats Grace! so well deserved 🔥
