,Date,User,Tweet
0,2023-02-08 15:55:11+00:00,_evalawrence,Looking forward to this next week!
1,2023-01-24 06:44:22+00:00,_evalawrence,Looking forward to seeing you in Barcelona next month!
2,2022-12-13 13:10:30+00:00,_evalawrence,Happy to announce that @Figment_io is now part of @thecryptovalley association!
3,2022-12-09 17:57:48+00:00,_evalawrence,UK Includes Crypto Assets in Financial Services Reform Package (via @decryptmedia) https://t.co/VQoE5ELcVo
4,2022-11-28 10:27:02+00:00,_evalawrence,Thrilled to represent @Figment_io to pick up our award for Best Staking Provider 2022 at the @CityAM_Crypto awards in London! https://t.co/kj069jHqDl
5,2022-11-21 13:38:51+00:00,_evalawrence,Banks still show interest in digital assets and DeFi amid market chaos https://t.co/JS8W27sGHw via @cointelegraph
6,2022-11-07 17:15:10+00:00,_evalawrence,Looking forward to moderating a panel discussing onboarding institutions in crypto at @token2049 on Thursday with: @galaxyhq @nickeldigital @LaserDigital_ @vaneck_eu. What else is needed to increase adoption?
7,2022-10-20 08:49:05+00:00,_evalawrence,"Fidelity Digital Assets will start offering institutional clients the ability to buy, sell and transfer Ethereum from Oct. 28th @DigitalAssets https://t.co/KCjnonBqym"
8,2022-10-14 08:29:07+00:00,_evalawrence,"I’m excited to announce that I have joined @Figment_io as Head of EMEA. I’ll be at DAS London next week with some of the team, come and say hi! https://t.co/aWbJBV20Nc"
9,2022-10-05 16:56:33+00:00,_evalawrence,"EU council approves MiCA framework, will progress to Parliament for vote on the proposal before it’s formally adopted (still expected to take until 2024) https://t.co/0gvuc3K5bl"
10,2022-10-04 10:58:15+00:00,_evalawrence,"The Financial Stability Oversight Council called for Congress to consider legislation to address any gaps, such as over the “spot” market for cryptocurrencies that don’t meet the definition of a security overseen by the Securities and Exchange Commission. https://t.co/lE4OA85G7i"
11,2022-09-29 19:36:39+00:00,_evalawrence,@danheld You’re not wrong…!
12,2022-09-29 18:54:51+00:00,_evalawrence,"Crazy times in the UK with #GBP tanking, rate hikes, #BoE intervention. Maybe this will be a catalyst for more institutions to take a closer look at #Bitcoin"
13,2022-09-24 09:40:01+00:00,_evalawrence,Great fireside with @SteveBartlettSC at @Zebu_live on building in web3 and why he thinks focusing on a morning routine is a waste of time https://t.co/udhyyIMfXD
14,2022-09-22 16:14:07+00:00,_evalawrence,Congratulations @hess_sebastien and the @blockdotgreen team!
15,2022-09-21 13:17:17+00:00,_evalawrence,Great thread on zero knowledge proofs from @varunshenoy_
16,2022-09-08 21:33:17+00:00,_evalawrence,"Whatever your views she was fundamental part of Britain, a pillar of strength 🇬🇧"
17,2022-09-01 14:08:26+00:00,_evalawrence,👏👏@ArcaneResearch
18,2022-08-23 09:28:47+00:00,_evalawrence,Bitcoin mining to cost less than 0.5% of global energy if BTC hits $2M: Arcane https://t.co/Zdy7ZK7nlF via @cointelegraph
19,2022-08-17 17:23:05+00:00,_evalawrence,Looking forward to it!
20,2022-08-07 16:16:31+00:00,_evalawrence,H/T @ArcaneResearch 🙌🏻
21,2022-07-06 16:57:54+00:00,_evalawrence,"There is still a lot to be done &amp; none of the proposals are without their flaws, but the continued focus and efforts of the regulators, should overall, be beneficial to the industry. Feedback welcomed! #cryptoassets #regulations"
22,2022-07-06 16:57:53+00:00,_evalawrence,"It is difficult to keep track of the various proposals and the ever-moving pieces. In my attempt to do so, I have put together the below summary. https://t.co/ABXIcvteLF"
23,2022-07-06 16:57:53+00:00,_evalawrence,And that there will be a competitive advantage for the country (or group of countries) that can create a robust framework to regulate cryptoassets first.
24,2022-07-06 16:57:53+00:00,_evalawrence,"Recently the UK, the EU, &amp; the US have taken steps towards developing cryptoasset regulations &amp; frameworks that intend to promote innovation and growth while protecting investors. Each jurisdiction realizes this is somewhat of a digital arms race (currently more of a slow jog)..."
25,2022-06-27 21:45:48+00:00,_evalawrence,@JMellerud is the best bitcoin mining analyst out there and is also now in the process of changing his name to Jason @nic__carter
26,2022-06-26 18:31:03+00:00,_evalawrence,"At least Olivia Rodrigo, Lily Allen and the crowd at #Glastonbury2022 know what to say to the Supreme Court for overturning #RoeVsWade"
27,2022-06-22 09:13:10+00:00,_evalawrence,An extract from @JMellerud’s great post on public miners starting to liquidate their bitcoin holdings.. @GoingParabolic https://t.co/5EpQMQ2C9n
28,2022-06-17 12:11:52+00:00,_evalawrence,Like most Brits in crypto I will spend today torn between discussing the crypto bear market &amp; the 3AC contagion OR the one day heat wave in the UK that as usual no one can cope with. I’ll probably pick the one that annoys people the most. 🇬🇧
29,2022-05-28 16:55:02+00:00,_evalawrence,The FCAs CryptoSprint was a great step towards collaboration in with the UK regulators and around 90 of us from the industry/academia. Hopefully the first of many open and frank policy discussions https://t.co/Iwucx3pDhr via @coindesk
30,2022-04-20 07:53:44+00:00,_evalawrence,"Pleased that we at @Arcane_Crypto were a part of this. Regulation is important, but the right regulation that protects privacy and does not deter growth in Europe is more important. Great work @DianacBiggs in coordinating"
