,Date,User,Tweet
0,2023-02-15 20:21:59+00:00,bgarlinghouse,@MonicaLongSF Just take a look at our customer list 😉 https://t.co/dSaZq4gQEs
1,2023-02-09 21:51:01+00:00,bgarlinghouse,"The list goes on (Brazil’s new legislative framework etc) Note the commonalities – these regulators are providing leadership and doing the work that we are desperately missing in the US – unsurprisingly, this is where companies like Ripple are growing!"
2,2023-02-09 21:51:01+00:00,bgarlinghouse,"4/ South Korea’s Financial Services Commission published guidelines that delineate what would be considered a security token vs a payment token, and how those are separately governed."
3,2023-02-09 21:51:00+00:00,bgarlinghouse,"3/ the UK HMT’s new consultation reflects the government’s intent to establish a proportionate, clear framework that allows firms to innovate while maintaining financial stability – an opp for the UK to become a global crypto hub (as it previously announced its goal was to be)."
4,2023-02-09 21:51:00+00:00,bgarlinghouse,2/ Australia’s Treasury is looking to reform licensing and custody for crypto and bolster consumer protection – they recently published a token mapping consultation and are looking for public input before updating existing frameworks.
5,2023-02-09 21:51:00+00:00,bgarlinghouse,"1/ Continuing its history of being tech-forward, Dubai just published an extensive new set of tech-agnostic rulebooks for crypto market participants, covering compliance standards, advertising, issuance, and much more."
6,2023-02-09 21:50:59+00:00,bgarlinghouse,"Stepping back for a moment from what’s happening in the US – just in the last few weeks, the number of positive (or at least headed in the direction of CLARITY) global regulatory developments is energizing!"
7,2023-01-27 14:45:31+00:00,bgarlinghouse,"There’s a lot I could say about how singularly impactful @MonicaLongSF has been to Ripple’s growth, for now, I’ll just leave you with – she is brilliant, strategic and has the ability to pick up and learn skills like no one I’ve ever seen before. Congrats Monica!"
8,2023-01-18 17:15:47+00:00,bgarlinghouse,"My take on Davos 2023 – I honestly think it’s healthy seeing the change in how crypto showed up this year. Folks are focusing on utility and how these technologies solve real problems -- the only way the industry will move forward. Great to catch up @ArjunKharpal, @CNBCJou!"
9,2023-01-18 07:34:43+00:00,bgarlinghouse,"I’m honored to join the European Commission’s Mairead McGuinness, UAE’s Omar Sultan Al Olama, the Netherlands’ Klaas Knot and Bloomberg’s Stacy-Marie Ishmael at #WEF23 to discuss “Finding the Right Balance for Crypto” at 3pm CET tomorrow.
Tune in live: https://t.co/tZm2AAQ9w8"
10,2023-01-11 15:12:23+00:00,bgarlinghouse,"I know some may forget this fact from time to time, but as @s_alderoty so eloquently said, “The SEC can only exercise the authority expressly granted to it by Congress.” Check out more in Stu’s op-ed below"
11,2023-01-03 19:09:54+00:00,bgarlinghouse,6/ The 118th Congress has a historic opportunity before it to ensure the US remains an innovation leader for decades to come. We hope it’s one they take.
12,2023-01-03 19:09:54+00:00,bgarlinghouse,"5/ Changing the status quo is never easy but I believe that the will to act exists. The building blocks for regulation have already been introduced, and we have a chance to get this right for millions of Americans who already are - and will continue to be - interested in crypto."
