,Date,User,Tweet
0,2023-02-21 17:42:43+00:00,brockpierce,"I had a wonderful time last night in San Juan discussing @mystic__vc with my partner @Disruptepreneur why we think the emerging field of psychedelic medicine is the next big opportunity both in terms of investment and, conscious capitalism. learn more --&gt; https://t.co/7ZEi9MkLFc https://t.co/L0pWFhMnCP"
1,2023-02-17 14:36:18+00:00,brockpierce,"Si hablas Español (or use English subtitles if you don't) check out this well done overview of #DeFi for #BTC  and #Tether  via @libreblockchain that is now listed on @DefiLlama.

https://t.co/7xk9pXRqkF"
2,2023-02-17 03:21:28+00:00,brockpierce,@jayespi09 DM.
3,2023-02-16 23:47:06+00:00,brockpierce,@jayespi09 @MrBradDean @PuertoRicoDMO Lighthouse in VSJ on San Justo. @LighthouseNft
4,2023-02-14 20:25:33+00:00,brockpierce,"We have watched the rapid growth of the Sequire business and we are excited by the prospect of bringing the DNA teams years of expertise around private transactions to the Sequire Platform.

Read more below:

https://t.co/i6oqBt0H8n"
5,2023-02-14 04:42:48+00:00,brockpierce,"#IBC on @AntelopeIO represents the future of distributed &amp; unique #blockchain networks. 

Individual strengths become seamlessly shared for maximum mutual gain.

#EOS + #Telos + #WAX + #UXNetwork = 🚀"
6,2023-02-13 20:53:14+00:00,brockpierce,"10/ I'm excited to see where this journey takes us. 

Accredited investors can apply today at https://t.co/7ZEi9MkLFc 

You can follow our progress at @mystic__vc 

#psychedelicmedicine #investing #healthtech #Mysticventures"
7,2023-02-13 20:53:14+00:00,brockpierce,"9/ In conclusion, I believe that the promise of psychedelic medicine is real and that investing in this space has the potential to bring about real change in the way we approach mental health and wellness."
8,2023-02-13 20:53:14+00:00,brockpierce,"8/ There are certainly challenges ahead, including regulatory hurdles and the need for more research, but I am confident that we will overcome these obstacles and continue to drive progress in this field."
9,2023-02-13 20:53:13+00:00,brockpierce,"7/ This is not just about making a profit, but about making a positive impact in the world and improving people's lives."
10,2023-02-13 20:53:13+00:00,brockpierce,"6/ Additionally, I believe that it's crucial to invest in companies that are working to bring these treatments to a wider audience and make them accessible to those who need them the most."
11,2023-02-13 20:53:13+00:00,brockpierce,"6/ When I invest in this field, I look for companies that are taking a scientific, evidence-based approach to developing treatments and technology. I want to see a commitment to safety and efficacy, and a deep understanding of the therapeutic mechanisms at play."
12,2023-02-13 20:53:12+00:00,brockpierce,"5/ The potential for psychedelics to revolutionize the way we approach mental health is undeniable, and I believe this is an exciting time to be a part of the movement."
13,2023-02-13 20:53:12+00:00,brockpierce,"4/ As an investor, I see a huge opportunity to make a real impact in the lives of people who are struggling with these conditions and who have not found relief from traditional treatments."
14,2023-02-13 20:53:11+00:00,brockpierce,"3/ Over the past several years, numerous studies have shown the incredible potential of psychedelic compounds in treating a wide range of mental health conditions, from depression and anxiety to PTSD and addiction, as well as physical ailments such as inflammation."
15,2023-02-13 20:53:11+00:00,brockpierce,"2/ If you're accredited, you can learn more and participate here: https://t.co/7ZEi9MkLFc

But my interest in psychedelics expands beyond investing. The growing field of science and business is rapidly gaining traction and for good reason."
16,2023-02-13 20:53:11+00:00,brockpierce,"1/ Late last year, I joined my protege @Disruptepreneur as Managing Partner at @mystic__vc , an @AngelList rolling fund focused on #PsychedelicMedicine. 

This emerging industry will be key to addressing the devastating mental health epidemic and expanding consciousness."
17,2023-02-10 19:50:42+00:00,brockpierce,Open for AI investment opportunities...what do you got?
18,2023-02-02 17:02:33+00:00,brockpierce,@KirteySteve @EzraFriedlander Grateful to serve! 🙏
19,2023-02-01 01:55:46+00:00,brockpierce,@arrington @DThomasStealth 🙏
20,2023-01-26 07:30:37+00:00,brockpierce,@Tothemoon_Park I have a number of other things I may do and other things I’d like to do. Still have to bring the community back together again.
21,2023-01-25 19:01:06+00:00,brockpierce,@Tothemoon_Park @dougbutner @helios_rising_ @CurrentXChange I’ve also been involved at Eden including serving a term as a chief delegate. Democratic governance is one of the most interesting things that EOS can do build something different and truly powerful.
