,Date,User,Tweet
0,2023-02-25 13:43:41+00:00,crlomazzo,"@Gigaglobal Any options with girls and boys? 🙂if not, 3!"
1,2023-02-22 02:15:37+00:00,crlomazzo,@ruffinmitch @UNICEFinnovate 🙂
2,2023-02-16 11:44:26+00:00,crlomazzo,@NovaJadeCos Yay! ✨
3,2023-02-16 01:40:22+00:00,crlomazzo,"@NovaJadeCos Hey! First, thanks for listening to the ENS space 🙂

Here is a good overview doc: https://t.co/PjV4P2DdXq

You can also check out all the blockchain apps here: https://t.co/rWIFaEfL0l

Let me know if I can help with anything else!"
4,2023-02-10 20:48:32+00:00,crlomazzo,"@tismejanie Thank you, thank you 😊 super duper team. 

Hope you’re well!"
5,2023-02-09 14:47:49+00:00,crlomazzo,"if you want to know what the Shopify blockchain team has been working on, you should check out https://t.co/ppx2IWWUJG for some exciting stuff!"
6,2022-11-28 22:08:49+00:00,crlomazzo,@chrisfabian @Gigaglobal I know so many amazing things will come out of this ✨ please say hi to everyone from the lunch table 🙂 You guys rock.
7,2022-11-22 03:18:38+00:00,crlomazzo,"To be clear, I’m genuinely a big fan of the work of @gitcoin &amp; team and appreciate how much collaboration went into this. Getting a pilot with a UN agency off the ground is an administrative challenge. I was unaware the emoji meant sarcasm, not at all my intention - apologies."
8,2022-11-21 23:53:16+00:00,crlomazzo,"A little secret, this is 2+ years in the making… this is HUGE✨✨ 
** @UNICEFinnovate is piloting a quadratic funding round on @gitcoin **
Lots on work behind the scenes on this one - so excited to see the impact

Thank you for the many chats @notscottmoore &amp; @gitcoin 🙃"
9,2022-10-22 23:24:29+00:00,crlomazzo,Modify to “how do you tell difference between ‘I’m a parent and I’m tired’ and ‘fatigue as a symptom’?” 😅😂
10,2022-10-13 20:57:45+00:00,crlomazzo,"A first for @ShopifyEng, launching at @EFDevcon... 🥁 a web3 bounty to build secure verification for offline assets on mobile ✨ Check it out on @gitcoin and share with your friends 👉 https://t.co/T2bQtB3xFP https://t.co/hjKPvyUKYj"
11,2022-10-12 00:14:28+00:00,crlomazzo,🫰🫰 “It’s a challenge to move from a system where institutions are at the center of a system to where people are at the center” Chuy from @oscitylatam at @EFNextBillion talking about the hard but important work of getting public sectors onboard with blockchain-enabled services https://t.co/ebBQRlED5T
12,2022-10-11 15:07:48+00:00,crlomazzo,"All the warm and fuzzies 
@EFDevconnect https://t.co/CIDDWfrsOa"
13,2022-10-10 20:38:37+00:00,crlomazzo,"Reminder: you can fork a repo, but you can’t clone a community! 

Love hearing this conversation around the value of open source when you don’t have a moat around IP. The value is in the team, the community, the history, etc. ✨
#publicgoods @schellingpoint_ https://t.co/e3IXIsrFrs"
14,2022-10-10 16:45:51+00:00,crlomazzo,@schellingpoint_ @Sim_Pop 🫰🫰🫰
15,2022-10-08 01:24:00+00:00,crlomazzo,@manasilvora @EFDevcon @duolingo Hope to run into you 😊✨
16,2022-10-03 01:02:50+00:00,crlomazzo,“What would you do if you knew you could not fail?”
17,2022-09-10 10:36:07+00:00,crlomazzo,@dylan_hattem @mehranhydary @jonmoore202 @thattallguy @Estimatted @chrismaddern @wilxlee @VinnieHager Let’s do it!
18,2022-08-06 17:26:35+00:00,crlomazzo,@sammieff congratssssssss ✨✨✨🍾
19,2022-07-09 10:42:40+00:00,crlomazzo,@jessepollak The @UNICEFinnovate CryptoFund! Over 30 investments made to startups building open source in emerging or developing economies. Crypto in / crypto out! https://t.co/IHKInPbNOm
20,2022-07-07 22:38:44+00:00,crlomazzo,@jmj @crlomazzo ✨
21,2022-07-06 12:36:18+00:00,crlomazzo,@seyitaylor gm
22,2022-06-30 16:28:16+00:00,crlomazzo,preach 🫰🫰
23,2022-06-27 16:56:17+00:00,crlomazzo,@mehranhydary @bolau_ @chrisfabian 😂🤣😂
24,2022-06-24 23:12:46+00:00,crlomazzo,check in with the women in your life.
25,2022-06-21 11:53:44+00:00,crlomazzo,An amazing opportunity to help build an inclusive and representative ecosystem! Apply to the EF Fellowship Program ⬇️
26,2022-06-21 03:20:18+00:00,crlomazzo,@0xfulvia You’re not alone 🙃 no tips 🙈
27,2022-06-21 03:14:04+00:00,crlomazzo,I 👀 you @doodles https://t.co/Kl6qGRss7K
28,2022-06-19 21:40:37+00:00,crlomazzo,@Sim_Pop @DAO_NYC_XYZ @schellingpoint_ @ETHGlobal Would love to catch up. I’ll be in town. 🙂
29,2022-06-17 13:56:11+00:00,crlomazzo,"New focus. Working on blockchain &amp; crypto 
@Shopify 💫 https://t.co/tSCHUTtjNl"
30,2022-05-27 01:37:53+00:00,crlomazzo,"@0xfulvia Hey 👋 it’s been a while, I’ll be there. Would love to catch up 😊"
31,2022-05-27 01:33:15+00:00,crlomazzo,@BobbyThakkar 👋
32,2022-05-23 01:12:43+00:00,crlomazzo,Seemed appropriate to commemorate #BitcoinPizzaDay . Eating pizza - we bought with crypto -  with @chrisfabian at a crypto conference . circa 2019. https://t.co/hwGt9THmNX
33,2022-05-19 23:15:06+00:00,crlomazzo,@mehranhydary You see the WealthSimple article too? 😂
34,2022-05-19 15:25:51+00:00,crlomazzo,This is big 👀
35,2022-05-17 16:48:24+00:00,crlomazzo,Super interesting insights on the state of crypto 👇 give it a read!
36,2022-05-11 15:27:34+00:00,crlomazzo,"FIVE more investments from the @UNICEFinnovate CryptoFund! 💫

 @rentadronecl, @OTTAAProject, @AngazaElimu, @dronfiescom &amp; @BioverseLabs will continue their amazing work building #opensource solutions in the areas of drones, learning, and accessibility 

https://t.co/IHKInPbNOm"
37,2022-05-06 16:00:13+00:00,crlomazzo,cc help us spread the word 😄👆 @sunitagrote @Thomas_unicef @bedisanna @jwf_foss @fayaz_king @UN_InnoJobs @UN_Innovation @osdiversity @DPGAlliance 💫
38,2022-04-26 11:23:51+00:00,crlomazzo,"✨Some exciting news! ✨We’ve invested in 9 AI startups focused on health and education solutions. Read more about them here or check them out on Twitter👇

@oijobzi @portaltelemed @cirrolytix Eyebou @NeuraLabsAfrica Bookbot @afrilearn @AirQualityAI Om3ga
https://t.co/4MKgWPTf4l"
39,2022-04-07 17:51:18+00:00,crlomazzo,@Anne_Connelly @TreejerTalks ✨
40,2022-03-23 11:59:53+00:00,crlomazzo,"🚨One day left to contribute via @gitcoin !!! 🚨

Right now, every $1 contribution is matched by $363 to support @UNICEF's response in Ukraine via gitcoin

▶️https://t.co/97FVxVi2z6 https://t.co/aDR5O3Wfgh"
41,2022-03-21 01:29:56+00:00,crlomazzo,@IlianaOV @MrMetaMask @Gallardo_Luchi @conniegallippi @Anne_Connelly @UNICEFinnovate @Gigaconnect @chrisfabian &amp; @naroanaiz are the people to talk to 🙃
42,2022-03-16 20:48:27+00:00,crlomazzo,"@cokiehasiotis First, congrats on being an auntie. 

Sprout App- very helpful when you’re sleep deprived and can’t remember when baby last slept / fed / making sure they have enough diapers. Parents can both contribute to it and it works with Apple Watch. ☺️

https://t.co/shEear3e62"
