,Date,User,Tweet
0,2023-02-24 15:06:49+00:00,glassnode,"The Puell Multiple (PM) is an implied income stress model constructed using the ratio between daily miner revenue and the yearly average. 

The recent increase in price action has pushed the PM above equilibrium (1.0), suggesting an expansion in Miner profitability is occurring. https://t.co/XeBt13UXtR"
1,2023-02-24 04:25:56+00:00,glassnode,"A set of new dashboards for Mastering the MVRV Ratio are now live for both #Bitcoin and #Ethereum, designed to track market cycles, and extremes.

🟠 Bitcoin:https://t.co/An6cBafr2d

🔷 Ethereum: https://t.co/or13KBzmyc

📰 Report: https://t.co/DEXh3E0VO0 https://t.co/eRSJVhMHpJ"
2,2023-02-22 23:55:40+00:00,glassnode,"Mastering #Bitcoin MVRV Ratio is an essential step for on-chain analysts, and once understood, opens doors of opportunity for new iterations, derivatives, and variants.

Be sure to check out our report and new dashboard👇

📰 https://t.co/4YPHtrxYeO

🪟 https://t.co/fodw4Dbrw1"
3,2023-02-22 23:55:39+00:00,glassnode,"Finally, we close with a view into how the #Bitcoin MVRV can be used to spot advanced warning of heavy distribution near cycle tops.

Often MVRV decays before price drops, a result of heavy profit taking, and transfers of coins to newer, weaker hands.

📊 https://t.co/fodw4Dbrw1 https://t.co/jVNyiDH4bp"
4,2023-02-22 23:55:38+00:00,glassnode,"We also develop a series of new #Bitcoin MVRV oscillator metrics, which help spot and identify turning market trends, and shifting cycles.

This tools helps us identify when large volumes of $BTC supply is 'trapped' above or below the current price.

📊 https://t.co/fodw4Dbrw1 https://t.co/BsacbGmxaR"
5,2023-02-22 23:55:37+00:00,glassnode,"We start the piece with the basics, exploring the fundamentals of #Bitcoin MVRV, and what makes it tick.

Next we quantify the proportion of trading days above or below, to help define extreme values, and assign probabilities to these key levels.

📊 https://t.co/fodw4Dbrw1 https://t.co/Mko0KZsMZm"
6,2023-02-22 23:55:36+00:00,glassnode,"#Bitcoin MVRV Ratio is one of the most popular and widely used on-chain metrics.

However, much of the power of MVRV is rarely put to use.

The MVRV can be supercharged, and used to find cycle extremes, market trends, and for early warning of cycle peaks.

https://t.co/4YPHtrxYeO"
7,2023-02-22 22:41:37+00:00,glassnode,"From this, we can estimate the net capital flows into the digital asset industry, considering most fiat comes in via $BTC, $ETH, or stables.

After a period of outflows since Apr-2022, capital is flowing back in at $4.5B/month, primarily into $BTC + $ETH.

https://t.co/prfskVXCox https://t.co/6yQpgVF5bx"
8,2023-02-22 22:41:36+00:00,glassnode,"Realized value helps filter for illiquid coins, and speculative off-chain trade volume, capturing only volume moved on-chain.

#Bitcoin commands 56% dominance by this metric, #Ethereum has 25%, and #Stablecoins have 19%.

https://t.co/AqEBTaTxE1 https://t.co/bVdzxd6Bur"
9,2023-02-22 22:41:35+00:00,glassnode,"The Realized Cap is one of the most important on-chain valuation tools for #Bitcoin and #Ethereum

If we take the Realized Cap for $BTC + $ETH and add it to stablecoin supplies, we can estimate there is $682B in realized asset value across the majors.

https://t.co/BxQgY2ORqn https://t.co/1VWfrr0FD3"
10,2023-02-20 22:30:12+00:00,glassnode,"The current demand for Inscription transactions has sent the #Bitcoin Transaction Count Momentum to its highest level since Jan 2021.

The rapid ascent in Transaction Count reflects a significant increase in network activity, as demand for on-chain transactions begins to return. https://t.co/huG76Uvmhn"
11,2023-02-20 16:40:38+00:00,glassnode,"Despite regulatory pressure on digital assets exerted by the US, Bitcoin prices still rallied above $25k, and Inscriptions breached 100k total. 

Meanwhile, investor behavior on-chain appears to be reaching a turning point, hinting at a new cycle.

https://t.co/ZviHGdwdA4"
12,2023-02-15 15:33:03+00:00,glassnode,"Recent weeks have seen an unexpected trend emerge on the Bitcoin network, the permanent inscription of data into the blockchain.

In this report, we analyze the rapid rise of Inscriptions and their subsequent impact across the Bitcoin network.

Read Here👇
https://t.co/cEDFP0r5Z4"
13,2023-02-13 15:31:40+00:00,glassnode,"The digital asset market has experienced its first significant pullback of the year alongside news of SEC crackdowns. 

Simultaneously, the emergence of Ordinals and Inscriptions on Bitcoin creates a new, unexpected demand for blockspace.

Read More Here👇
https://t.co/reRjQrlX9H"
14,2023-02-06 21:50:49+00:00,glassnode,"After the powerful #Bitcoin rally in Jan, several on-chain oscillators have returned to an equilibrium position.

This aligns with observations form previous bear markets, where a turning of the market tides was underway.

Read more in The Week On-chain👇
https://t.co/y10RMxeV2b"
15,2023-02-06 11:04:39+00:00,glassnode,"This surge in #Bitcoin Taproot activity has lifted Taproot Adoption metric to an ATH 7.47%, and Taproot Utilization to 2.84%.

For details on how we define SegWit and Taproot Adoption vs Utilization, see our research piece 👇
https://t.co/uetLaKT0UJ

📊 https://t.co/YzhZzVN7DF https://t.co/MX7IAj0Edl"
