,Date,User,Tweet
0,2023-02-26 10:43:04+00:00,josiebellini,@Daesya_ @nft_paris Ah I wish we did as well! Loved chatting 🖤🖤
1,2023-02-26 09:47:16+00:00,josiebellini,https://t.co/FQ1jiV8aD6
2,2023-02-26 09:45:32+00:00,josiebellini,"I have SO MANY memories made from this trip. I love you all. Thank you 🖤🔥🖤 

drop your own @nft_paris pics in the comments https://t.co/IEOyEGFx4r"
3,2023-02-26 09:30:51+00:00,josiebellini,So happy a broker took this head home! https://t.co/jW5wVG06GD
4,2023-02-25 23:28:19+00:00,josiebellini,"1/85 chance left to win Cryptopunk #9964

Day 83/100 draw: 199, 368, 310, 487, 318

Get your unrevealed pigeons for a chance in the last 17 days of rolls 🕊️🕊️🕊️ https://t.co/Y86e56kVmZ"
5,2023-02-25 23:01:13+00:00,josiebellini,@AlphaWhalesClub @CyberBrokers_ @nft_paris Ah sorry I missed your handshake!!
6,2023-02-25 17:52:32+00:00,josiebellini,Goodnight NFT Paris 🖤🔥 https://t.co/kcvDDRfXVz
7,2023-02-25 17:49:01+00:00,josiebellini,@dievardump I did :). It’s goneeee
8,2023-02-25 17:22:22+00:00,josiebellini,Anyone want a mech head? Closing out! Can’t bring her home 🥹 https://t.co/cY23VX77Ig
9,2023-02-24 21:17:42+00:00,josiebellini,"1/90 chance left to win Cryptopunk #9964

Day 82/100 draw: 425, 133, 393, 209, 33

Get your unrevealed pigeons for a chance in the last 18 days of rolls 🕊️🕊️🕊️ https://t.co/xjxrCXbhro"
10,2023-02-23 23:46:13+00:00,josiebellini,"I'll be giving away a cryptopunk in 19 days. 

Get your chance to win here (unrevealed trait only !refresh metadata!) - https://t.co/VBJoT7nmsq

Todays Pigeon Draw!

Token IDs selected: 205, 141, 296, 345, 250, 481, 492, 235, 414, 275 https://t.co/s0pMz4AqnR"
11,2023-02-23 17:02:28+00:00,josiebellini,@LoLoWGramz 😂😂 we were laughing so hard listening back to that audio
12,2023-02-23 10:31:26+00:00,josiebellini,https://t.co/l58Q5nPq4u
13,2023-02-23 10:30:46+00:00,josiebellini,https://t.co/2NB47IrVQ5
14,2023-02-23 10:30:30+00:00,josiebellini,https://t.co/v7WrOt2oGE
15,2023-02-23 10:30:17+00:00,josiebellini,https://t.co/IlSK04fm9E
16,2023-02-23 10:29:23+00:00,josiebellini,Mechs take Paris https://t.co/xygdLMO4bZ
17,2023-02-23 06:15:21+00:00,josiebellini,@TwooneCrypto @CyberBrokers_ Sending all my love and strength to you both. We will meet at the next one! Life is so much more important 🖤🖤
18,2023-02-22 17:01:39+00:00,josiebellini,"Update: finally fell asleep at 6am and then overslept my alarm

Good news is that I made it on time and got to hang with a really great crew of people that I think are documenting a small section of this space in a really thoughtful way

THANK YOU to all on that wished me luck 🖤"
19,2023-02-22 03:15:57+00:00,josiebellini,@LeValleyKelly 🖤🖤🖤
20,2023-02-22 03:14:38+00:00,josiebellini,"In Paris, Can’t sleepppp 🥹. And today is a big day. Wish me luck 🤞🏽"
