,Date,User,Tweet
0,2023-02-18 05:32:09+00:00,katherineykwu,@zhayitong lol honestly it’s been a v fun experience for me! attention to detail is A+ in the game and all my friends who are playing it rn are rly enjoying it
1,2023-02-13 21:20:13+00:00,katherineykwu,@Shaughnessy119 Probably @sheila_warren for a balanced/ nuanced/ practical approach
2,2023-02-09 20:45:37+00:00,katherineykwu,@MikeSeligEsq +1
3,2023-02-06 02:14:22+00:00,katherineykwu,@gregskril coooooooooooool!
4,2023-02-03 21:02:23+00:00,katherineykwu,"@StaniKulechov @parisrouz ❤️ congrats, you two!!!"
5,2023-02-01 21:44:48+00:00,katherineykwu,"@katiewav katie PLS no more tweets that break my brain 

sincerely,
all of your colleagues"
6,2023-02-01 21:40:07+00:00,katherineykwu,"DMs are always open if you wanna chat about any of the above!!! 

specifically prioritizing DMs regarding: 

- crypto-native folks starting cos (duh)
- questions re: crypto policy/ regulation [NOT legal advice tho]
- nyc-based crypto builders you wanna see on @crosschainpod!"
7,2023-02-01 21:40:06+00:00,katherineykwu,"been a little quiet online lately due to heads-down work but truly loving it:

- backing incredible ppl @archetypevc (cheesy but true!!)
- lead stewarding at @ENS_DAO  (😮‍💨)
- advocating + educating @crypto_council 
- working on SOMETHING COOL for @crosschainpod !!! coming soon ™"
8,2023-01-31 18:58:34+00:00,katherineykwu,"@ciaobelindazhou 其实在币圈里做投资是很难抓摸到所谓的“最高点”  或 “最低点”; 其中的因素也众多（比如说macro- related的因素）。

我很赞成你的意见- 做投资需要灵机应变，22/23 年的发展和17/19年的差距太大了：从产品到新的development 都已经不可相比了。还是感觉今日比我在17/18时bullish/乐观了好多。"
9,2023-01-30 18:18:21+00:00,katherineykwu,@Beezer232 love to see it!!!
10,2023-01-27 23:34:34+00:00,katherineykwu,@ciaobelindazhou @crosschainpod @archetypevc 🙏🙏🙏🙏🙏
11,2023-01-10 21:40:14+00:00,katherineykwu,@privy_io very cool!!!
12,2023-01-09 21:15:36+00:00,katherineykwu,@riabhutoria I've missed your writing!! Great piece (as always)!
13,2023-01-05 03:40:06+00:00,katherineykwu,@jackiehluo I shop every collection from Mirror Palais- nyc based too! :)
14,2022-12-30 21:05:00+00:00,katherineykwu,"@triumph36_ Haha I have so many!! Note (in case not super obvious lol) I pretty much only read fiction 🤓 other books i couldn’t put down: visit from the goon squad, normal people, everything I never told you, and one on my list right now is tomorrow tomorrow and tomorrow. Enjoy!!!"
15,2022-12-30 19:25:52+00:00,katherineykwu,"Games 🎮

- Horizon Forbidden West (PS5) - played zero dawn in 2021
- Coffee Talk (Switch)
- Persona5, both Royal &amp; normal versions (PS5 &amp; Switch)
- Witcher 3 (Switch- I know)
- Wylde Flower (Mobile) https://t.co/h5CgWFv6PM"
16,2022-12-30 19:25:52+00:00,katherineykwu,"I spend probably 80% of my (alone) free time gaming or reading, here are some of the titles I've particularly enjoyed in 2022, hope you do too 🫶🏻

Books 📚

- The Vanishing Half
- Daisy Jones and the Six (audiobook version)
- The Candy House
- The Glass Hotel https://t.co/qlkeRThXuk"
17,2022-12-29 18:55:31+00:00,katherineykwu,"It’s out!!!! Make this your last podcast listen of the year ⬇️💭🙏

Hear from my favorite investors &amp; founders on their 2023 outlook on crypto 🏗️

https://t.co/aTkeyPvJnR"
18,2022-12-28 19:25:24+00:00,katherineykwu,"Tomorrows episode will feature @AshAEgan @lstephanian @mrjasonchoi @_MinTeo @EleniThinks @AlexisGauba @delitzer @kbrizzle_ 

Will be a positive, builder- focused episode to end this crazy year! 🏗️ tune in for the last episode of the season and the year! ⬇️"
19,2022-12-28 06:27:35+00:00,katherineykwu,@negroprogrammer my exact thoughts!!!!!
20,2022-12-16 21:02:13+00:00,katherineykwu,@nwilliams030 @CompoundVC ❤️❤️❤️
21,2022-12-16 20:56:28+00:00,katherineykwu,~ 5 mins!
22,2022-12-16 00:27:20+00:00,katherineykwu,@wdcollier_ @cdurbinxyz @willkantaros @xanderscarlson @nikbeanxyz @zev2axa @AshAEgan @DannySursock @katiewav ❤️❤️❤️❤️❤️❤️
