,Date,User,Tweet
0,2022-12-31 18:12:06+00:00,ohmzeus,"@Narok____ well said, agree"
1,2022-12-31 17:18:00+00:00,ohmzeus,"meanwhile most assets have fared the same fate but with no way to generate liquidity even at steep markdowns, and thus nothing to prevent those markdowns from worsening"
2,2022-12-31 17:18:00+00:00,ohmzeus,"people seem to forget that the whole point of the (3, 3) equilibrium is to allow the protocol to raise its treasury

so that when external liquidity dries up and the equilibrium flips to (-3, -3), the protocol can provide from within

the past 8 months have shown that this works"
3,2022-12-31 17:17:59+00:00,ohmzeus,"OHM stands out from the pack because it relies on (3, 3) for growth but not survival

most criticism would be better directed toward the solely liquidity-dependent assets that characterize crypto &amp; modern markets

this will become clear if this bear market continues or worsens"
4,2022-12-31 02:28:47+00:00,ohmzeus,@BeraMan69 @OlympusDAO @ercwl 2023 prediction: @berachain is not real
5,2022-12-31 02:06:53+00:00,ohmzeus,acting like you have a finger on the pulse of crypto while using coinmarketcap in 2022 is honestly the perfect archetype for @OlympusDAO haters
6,2022-12-26 21:16:04+00:00,ohmzeus,"@0xrusowsky @OlympusDAO @spoysp9 and i'd imagine/hope, super helpful for those less familiar with the range system"
7,2022-12-26 21:15:30+00:00,ohmzeus,"@0xrusowsky @OlympusDAO @spoysp9 yeah i thought you did a really good job of separating data and opinion/bias, recognizing strong and weak points, etc

overall really enjoyable and thought provoking read"
8,2022-12-26 21:05:32+00:00,ohmzeus,@0xrusowsky @OlympusDAO @spoysp9 though theres nuance to this dashboard since the LB update
9,2022-12-26 21:04:41+00:00,ohmzeus,"@0xrusowsky @OlympusDAO this looks like it could be a screenshot from 8 mo ago

cc @spoysp9 https://t.co/WsVjCs1K2U https://t.co/K4NQMDT7mq"
10,2022-12-26 21:03:47+00:00,ohmzeus,@0xrusowsky @OlympusDAO has RBS behavior been consistent with or contrary to your expectations/models to date? I'd say consistent but curious what you think
11,2022-12-26 20:53:14+00:00,ohmzeus,"@quasicypher1 @0xrusowsky @OlympusDAO i see rusowsky gigabrain scenario analysis, i click rt"
12,2022-11-26 01:20:24+00:00,ohmzeus,"@3L3C70 @zeetientien As a thought experiment:

Is it possible to optimize for controlling risk instead of volatility?

If you can, is it desirable?  

Hm 🤔"
13,2022-11-25 23:03:33+00:00,ohmzeus,"@3L3C70 Ok ya agree

Read it at first as written with more permanence so glad I asked for clarification 🤝"
14,2022-11-25 23:02:29+00:00,ohmzeus,"@LordTylerWard @WartuII I think you’re adding things I didn’t but ya agree

The nuance of current state of affairs vs maybe future is good"
15,2022-11-25 22:59:36+00:00,ohmzeus,"@3L3C70 Do you mean the final sentence as ‘right now’ or ‘always’

Want to make sure I’m picking up what you’re putting down"
16,2022-11-25 22:53:43+00:00,ohmzeus,@LordTylerWard @WartuII Do you mean that as a benchmark? Refresh my memory pls I remember talking about this months ago
17,2022-11-25 22:52:29+00:00,ohmzeus,@LordTylerWard @WartuII 🫡
18,2022-11-25 22:49:37+00:00,ohmzeus,"@WartuII Definitely where it gets hairy though 

Magnitude of those IB flows has left me in awe"
19,2022-11-25 22:48:57+00:00,ohmzeus,@WartuII For individual flows it might be sufficient but for collective flows it hasn’t been (at least for the past few months — $80m net IB is &gt; LP)
20,2022-11-25 22:45:22+00:00,ohmzeus,"@yellah99 If you think of premium as ‘worst case I see decline to backing’, then the higher the premium, the more risk you need to be willing to take on

It’s definitely more inputs though, confidence etc I’d imagine increases baseline risk appetite or amplitude or something"
21,2022-11-25 22:39:17+00:00,ohmzeus,"@WartuII Should risk be more willing to sit in OHM market than something else, and thus redevelop EV is a different question and one I’m not really gonna try to answer"
22,2022-11-25 22:38:23+00:00,ohmzeus,@WartuII To access liquidity from IB you have to push into discount though
23,2022-11-25 22:37:28+00:00,ohmzeus,"@Nach_211 @WartuII Rn growth prospect is low so sailing with the wind means optimizing against vol, whereas if it were high it’d be the opposite"
24,2022-11-25 22:36:41+00:00,ohmzeus,"@Nach_211 @WartuII In an ideal world I think rn is demonstration that, when you remove most of the risk, low vol is pretty achievable

But a future expansion operates more like pre-RBS

Kinda two states: growth at expense of stability, or stability at expense of growth"
25,2022-11-25 22:29:24+00:00,ohmzeus,"@WartuII could also argue theres material benefit to pushing into discount/negative EV state if you want liquidity (treasury will kick in)

compare to BTC or something -- not much assurance you'd unlock more liquidity even if you knock it lower, so higher incentive to just wait/do nothing"
26,2022-11-25 22:28:06+00:00,ohmzeus,@WartuII i think the last q highlights that risk extends a bit beyond IV (gotta consider smart contracts etc too) so ultra-low risk appetite paired with that and ig you get a negative EV
27,2022-11-25 22:21:03+00:00,ohmzeus,@WAGMIcapital actually believing in efficient markets is bold though so
28,2022-11-25 22:20:35+00:00,ohmzeus,"@WAGMIcapital rather you'll end up with higher demand with higher emissions, or lower demand with lower emissions, at the same price

idea being that market is moving to correct value and more or less capital will come in to get it there depending on whats needed

deviations are transient"
29,2022-11-25 22:19:08+00:00,ohmzeus,"@WAGMIcapital ya i was thinking about this too, especially with regard to emissions

when we look at OHM emissions, or ETH

there's sometimes the assumption that higher/lower emissions will have material impact on pricing

but efficient mkt hypo would tell you they don't"
30,2022-11-25 22:03:02+00:00,ohmzeus,@jasperflux thanks ser
