,Date,User,Tweet
0,2023-02-26 21:58:58+00:00,saylor,"@elonmusk When I find myself in times of trouble, Mother AI comes to me, speaking words of wisdom, G. P. T."
1,2023-02-26 18:59:40+00:00,saylor,"Consensus is building that everything in the #Crypto industry other than #Bitcoin is a security, destined to be regulated by the @SECGov. This makes $BTC the only crypto-asset suitable for use as global money.
https://t.co/4XK6wWbz7G"
2,2023-02-26 18:21:26+00:00,saylor,@ShaanVP https://t.co/JcabZYl0wC
3,2023-02-26 18:11:50+00:00,saylor,"@elonmusk There once was a man named Elon Musk
Whose fears of AI were quite brusque
He'd pace and he'd fret
As he wondered and met
Existential angst a bit too much

He worried about robots and more
That they'd surpass us, and what's in store
The singularity loomed
And he felt so consumed…"
4,2023-02-26 13:29:35+00:00,saylor,#Bitcoin is Responsibility. https://t.co/JsjM8KcFhf
5,2023-02-25 17:37:18+00:00,saylor,#Bitcoin is Winning. https://t.co/LKTZgBn4Jo
6,2023-02-25 13:29:25+00:00,saylor,#Bitcoin is Empowering. https://t.co/4PfiwC2kWj
7,2023-02-24 17:36:23+00:00,saylor,"#Bitcoin ensures Digital Scarcity by holding asset supply and transaction bandwidth constant over time, thereby creating upward pressure on the $BTC price and a healthy free market for the transaction fees necessary to provide durable network security. https://t.co/jAHwACG2ke https://t.co/WCK9Xbbd3Z"
8,2023-02-24 13:24:04+00:00,saylor,The Monsters want your #Bitcoin. https://t.co/mQIWD0kWNX
9,2023-02-23 23:00:29+00:00,saylor,#Bitcoin is Integrity.
10,2023-02-23 13:03:15+00:00,saylor,#Bitcoin is Brighter. https://t.co/mnUwhuxOf7
11,2023-02-22 17:34:59+00:00,saylor,Criticize less.  #Bitcoin more.
12,2023-02-22 13:13:08+00:00,saylor,#Bitcoin is Sweeter. https://t.co/olkzBTLUfQ
13,2023-02-21 20:50:47+00:00,saylor,@orangepillapp Who doesn’t want 1000 sats? https://t.co/VBNRZitpQ8
14,2023-02-21 17:30:36+00:00,saylor,Billionaires are looking for #Bitcoin but don't know it yet.
15,2023-02-21 13:11:13+00:00,saylor,#Bitcoin Baby. https://t.co/Miq7gO7ZUu
16,2023-02-20 14:07:32+00:00,saylor,#Bitcoin is a Peaceful Revolution. https://t.co/euX7eWCgJc
17,2023-02-20 02:59:47+00:00,saylor,"A humorous roast of #Fiat Idiocy, combined with a review of recent financial bubbles and their cause, along with a cogent model &amp; forecast for how this is likely to end, and why we can all use more #Bitcoin. https://t.co/rhRbmhHYAz https://t.co/r6KKmNVrMw"
