,Date,User,Tweet
0,2023-02-26 22:55:09+00:00,scupytrooples,"Just learning about this ""defi syndicate,"" and I must say I am shocked by the revelation that of all people, I didn't even know about it nor was I included. 

😤😤😤"
1,2023-02-26 17:06:58+00:00,scupytrooples,@0xnobi @functi0nZer0 Doubles as lube for the pentacule
2,2023-02-26 17:05:24+00:00,scupytrooples,Hey anon SQUAK buy the SQUAK fucking SQUAK dip https://t.co/fEt6Px9HmT
3,2023-02-26 09:57:18+00:00,scupytrooples,@d0unbug I'm tryna not talk to womxn tbqf
4,2023-02-26 07:48:30+00:00,scupytrooples,"I had amassed over 100k ropsten eth and they shut it down but kept goerli up and give GETH value.

Down bad."
5,2023-02-26 05:21:14+00:00,scupytrooples,@0xRacerAlt You should feel proud of this post
6,2023-02-26 03:00:45+00:00,scupytrooples,@veH0rny They both got that sick drip tho
7,2023-02-26 01:37:53+00:00,scupytrooples,@0x7d54 Last year this thing would already be down bad bc they'd already be on ftx perps
8,2023-02-26 01:36:31+00:00,scupytrooples,@scott_lew_is Scottylewples
9,2023-02-26 01:34:36+00:00,scupytrooples,@tittyrespecter Time to rewatch Initial D
10,2023-02-26 01:28:29+00:00,scupytrooples,@josephdelong https://t.co/8Yo3hpXuok
11,2023-02-26 01:18:56+00:00,scupytrooples,@acityinohio Ngl looks like frodo on mt doom
12,2023-02-26 00:56:45+00:00,scupytrooples,@veH0rny gm queen #1
13,2023-02-25 15:21:10+00:00,scupytrooples,"@Ov3rKoalafied @nftchance makes immutable contract that hooks into yearn.

1 week later, yearn deprecates that vault token and your dapp is broken"
14,2023-02-25 15:19:17+00:00,scupytrooples,"@bittybitbit86 last thing i need is to expand scope ;p

too bad the cosmos thing I like doesn't even exist"
15,2023-02-25 15:17:29+00:00,scupytrooples,"@latetot always a game of tradeoffs

immutable code still requires trust (that it isn't exploitable)

whereas upgradable contracts can and have saved users from exploits (but can and have been abused by scammers)"
16,2023-02-25 14:10:43+00:00,scupytrooples,"@bittybitbit86 definitely im eth centric, some may say a maxi, but I like cosmos. it's the only other major SC platform that seemingly cares about the ethos of decentralization, and the very fragmented nature of it, it isn't directly competing with ethereum."
17,2023-02-25 10:59:40+00:00,scupytrooples,@functi0nZer0 Code is lol
18,2023-02-25 10:24:59+00:00,scupytrooples,"@LarryLeftwood @Arthur_0x yea, I think s/t like upgradable for the first 90 days is a good compromise. Devs have a window to fix bugs and add features, then it is set in stone. 

me thinks the losses in defi would be much worse if not for proxies patching their dapps."
19,2023-02-25 07:42:09+00:00,scupytrooples,"@Arthur_0x I agree in the face of state violence. 

Just means we still have a long way to go"
20,2023-02-25 06:16:26+00:00,scupytrooples,"Very conflicted about this. Obviously I don't want the exploiter to run off with pls money, but this sets a precedent where the will of a DAO can be superceded without public process."
21,2023-02-24 18:31:25+00:00,scupytrooples,@DegenSpartan What did I just read? And ppl are trying to say defi is complicated...
22,2023-02-24 14:30:25+00:00,scupytrooples,Now THIS is modern art https://t.co/5TbdrGUI9M
23,2023-02-24 12:35:07+00:00,scupytrooples,@CurveCap @functi0nZer0
24,2023-02-24 03:07:49+00:00,scupytrooples,@n4n084191635 wb to bird app after being banished. This post may get you banned again 😂
25,2023-02-23 18:50:45+00:00,scupytrooples,🟡
26,2023-02-23 18:49:41+00:00,scupytrooples,"@functi0nZer0 legal must've been like ""WHO THE FUCK PUBLISHED THE ROUGH DRAFT"""
27,2023-02-23 18:37:28+00:00,scupytrooples,vesp ham
28,2023-02-23 18:31:47+00:00,scupytrooples,@Jai_Bhavnani delet alfa
29,2023-02-23 18:30:18+00:00,scupytrooples,"9.4%!!!

a wild good stable yield appeared!

scoopy uses DEPOSIT

IT IS SUPER EFFECTIVE"
30,2023-02-23 11:10:08+00:00,scupytrooples,@functi0nZer0 Many such cases
31,2023-02-23 05:00:23+00:00,scupytrooples,time to buy all blue tokens again
32,2023-02-23 04:46:45+00:00,scupytrooples,"@scott_lew_is if cb does the sam playbook with low float high fdv shiz, I will lose my shit (in a bad way)"
33,2023-02-23 01:33:31+00:00,scupytrooples,@poordart Gangbang? Moneyshot? I feel like I'm close to the answer...
34,2023-02-22 04:07:57+00:00,scupytrooples,@scott_lew_is This is prolly wrong https://t.co/I1nwKK4Mdp
35,2023-02-22 02:03:06+00:00,scupytrooples,@_via_getty_ @scrypto_ waiting on the bleach injection numbers to come back
36,2023-02-22 02:01:13+00:00,scupytrooples,"@_via_getty_ you must eat horse paste

or die

your choice"
37,2023-02-22 00:28:28+00:00,scupytrooples,"Following the depression burnout phase, we're now in the ""ppl are bored and will ape anything new"" phase of the market. If it's anything like 2019, expect 3-5 transformative new things by eoy, and then 100s of clones until we ride the euthenasia roller coaster again."
38,2023-02-21 23:18:40+00:00,scupytrooples,"@poorbrah @AlchemixFi Got a few informal audits from some of the best in the space. Despite that I had panic attacks knowing it wasn't formally audited holding 100s of millions. 

We learned, made security the top priority, and luckily no user has lost funds to this day.

So yea, fucking be careful."
39,2023-02-21 22:45:18+00:00,scupytrooples,"@0xngmi @CurveFinance Key is ""more stable"", so I'm thinking it lends itself well to trading across differently denominated stable token like various fiat stables and things like RAI."
40,2023-02-21 21:12:12+00:00,scupytrooples,@c477bfef6df4311 @CurveFinance For me*
41,2023-02-21 21:11:04+00:00,scupytrooples,@c477bfef6df4311 @CurveFinance Good tip. Usually gas is inconsequential unless we are 50+ gwei
42,2023-02-21 17:40:17+00:00,scupytrooples,"OFC I like and use other DEX's too (shoutout to @VelodromeFi's success on optimism), but hands down, the leading innovators in DEXs (and maybe also stablecoin derivatives soon???) is Curve. 

Just wanna say: https://t.co/wqMV12weqf"
43,2023-02-21 17:40:11+00:00,scupytrooples,"Most DEXs are now using at least some portion of Curve's AMM design now, and several DAOs have based their tokenomics on Curve's veCRV -- which is a testament to how much these 5 heads have contributed to the space (beside making the leading stable DEX)"
44,2023-02-21 17:40:11+00:00,scupytrooples,"It's no secret that I love @CurveFinance but really, their amm maths (v1 and v2) are superior to concentrated and xyk pools. for stable pools, LPs have much better protections in their positions and the v2 pools *feel* better to LP in than xyk pool (need some data for this tbh)"
45,2023-02-21 15:42:53+00:00,scupytrooples,"I've never been to an nft gathering, but I can't imagine it being a genuinely good time bc people would be talking about nfts all the fucking time."
46,2023-02-21 15:32:32+00:00,scupytrooples,@songadaymann What are some tips you used to get started? 14 years of doing anything daily is ridiculously impressive.
47,2023-02-21 15:24:09+00:00,scupytrooples,Thinking of going to ETH Denver last second. Who's got tickets and a couch for me potentially 😁?
48,2023-02-21 15:21:44+00:00,scupytrooples,"@metalbased_ I did that, she is beautiful, and I wanna take you on a date.

I was romantically shouting at my wife all night long"
49,2023-02-21 14:51:23+00:00,scupytrooples,@0xHildi I didn't lie
50,2023-02-21 09:23:20+00:00,scupytrooples,@functi0nZer0 the template was actually terrible. it's just a two sentence formula that accurately depicts the saltiest crypto coper on earth.
51,2023-02-21 09:17:45+00:00,scupytrooples,waiting on the Chinese -&gt; Japanese rotation
52,2023-02-21 09:16:49+00:00,scupytrooples,"@functi0nZer0 gonna try it out...

radical life extension is actually terrible. it's just a way for the global elite to entrench their position and avoid death taxes."
53,2023-02-21 07:28:12+00:00,scupytrooples,"So yea, a former alchemix cofounder who left over a year ago made a alchemix-inspired dapp, but it isn't related/connected/affiliated with Alchemix at all. Our team was unaware of it until yesterday. 

I cannot vouch for it though bc they skipped the auditing step. Be careful 🫡"
54,2023-02-20 10:49:34+00:00,scupytrooples,@dhof Xenobots my fren
55,2023-02-20 10:39:12+00:00,scupytrooples,@DefiDiogenesYFI Clippy ascended to heaven and became clipatron.
56,2023-02-20 02:17:27+00:00,scupytrooples,@ThalesHXRO Something like xyk ambient liquidity alongside a CLOB where market orders take as much from OB then dip into the amm for supplemental liq.
57,2023-02-20 02:12:45+00:00,scupytrooples,@gabrielhaines Just in time liq
58,2023-02-20 02:05:55+00:00,scupytrooples,@gabrielhaines JIT pulled again
59,2023-02-20 01:02:58+00:00,scupytrooples,"@sassal0x @TrustlessState If you prescribe to the multiverse or cyclical universe theories, this is correct."
60,2023-02-20 00:50:53+00:00,scupytrooples,"@dystopiabreaker Chatgpt got me thinking, is my brain just a prediction engine like ML text transformers?"
61,2023-02-18 12:49:01+00:00,scupytrooples,@0x_Hammer @functi0nZer0 Both
62,2023-02-18 06:59:15+00:00,scupytrooples,@Bonecondor Men aren't allowed to have jewelery but they can have watches.
63,2023-02-18 06:58:18+00:00,scupytrooples,@Ceazor7 Rabby wallet is so good.
64,2023-02-16 11:30:13+00:00,scupytrooples,@functi0nZer0 Congrats 🎉👏🥳
65,2023-02-16 10:36:12+00:00,scupytrooples,Wife was not pleased
66,2023-02-02 05:49:14+00:00,scupytrooples,@jurad0x Should be prod
67,2023-02-02 01:51:33+00:00,scupytrooples,"@Hero0fTheSouth making a stable pool with them (and transitioning rewards), but enjoy for now!"
68,2023-02-02 01:49:28+00:00,scupytrooples,oh mai https://t.co/q5dnALAHf0
69,2023-02-02 00:33:26+00:00,scupytrooples,@jurad0x I made this image
70,2023-02-01 03:51:30+00:00,scupytrooples,@0xSisyphus @josephdelong why bother building anything when you can just sack the treasury
71,2023-02-01 01:20:37+00:00,scupytrooples,@dystopiabreaker Hard disagree that anything will happen to my beloved hobby. Way too much downside to banning them compared to the few dozen enthusiasts who use them to print guns.
72,2023-02-01 01:17:12+00:00,scupytrooples,@wrathofgnon @iTroll64 @dr__submarine Perfect for wisteria 👨‍🍳👌
73,2023-02-01 01:06:06+00:00,scupytrooples,"@Decentrosquiwuw @dystopiabreaker Point is that it won't happen, and banning CNC and 3dprinting machines ( aside from manufacturers) would lead to fewer young ppl enthused by manufacturing and a skill gap in labor. 

Plus, it's nearly impossible to stop it because the parts needed to make them are common af."
74,2023-02-01 01:00:19+00:00,scupytrooples,@dystopiabreaker You'd have to do the same for any other machinist tool too then.
75,2023-02-01 00:57:41+00:00,scupytrooples,@0xTycoon Self repaying ens would be cool 👀
76,2023-01-31 10:49:46+00:00,scupytrooples,@functi0nZer0 I am not a god hand living in the depths of the astral world
77,2023-01-31 10:49:11+00:00,scupytrooples,@0xgodking Prolly should look at canto but initially dismissed it bc thought it was a rushed copy of bera
78,2023-01-31 09:10:35+00:00,scupytrooples,@0xAlunara 1) What?
