,Date,User,Tweet
0,2023-02-16 14:39:48+00:00,sentimentrader,"Since 1950, he is correct... https://t.co/vK6NeS0XuN"
1,2023-02-15 18:33:13+00:00,sentimentrader,"In the four months since the S&amp;P 500 bottomed, it has enjoyed a historic cluster of days with more than 80% of issues or volume advancing.

Since 1950, here are the one-year returns following every similar cluster.

+36.0
+35.7
+18.4
+11.6
+12.3
+37.0
+21.7
+14.0
+17.4
+33.3 https://t.co/Vv0qOgR87q"
2,2023-01-28 14:33:04+00:00,sentimentrader,"@hmeisler When insiders have sold heavily since 1997, it has been a much better *buy* signal.

The few times they nailed a peak were more than outweighed by the overwhelming failures. https://t.co/prRxvdMIYZ"
3,2023-01-03 15:47:04+00:00,sentimentrader,"Starting the year just like it ended the last one.

The S&amp;P 500 lost more than 0.2% following a big up day last year. Also following a big down day. 

Chasing rallies and buying dips both failed. It was the worst year in history for the combined strategies. https://t.co/wKBLWmmiLu"
4,2022-12-15 13:58:52+00:00,sentimentrader,"Investors are running for the hills.

According to Lipper, investors pulled more than $27 billion from equity mutual funds and ETFs last week.

It's the 10th-largest one-week outflow in 21 years and the largest December outflow ever, exceeding Xmas week 2018."
5,2022-12-13 21:01:01+00:00,sentimentrader,"@SqueezeMetrics @sharkbiotech @CapitalObserver Well, yeah...instead of trying to make assumptions from open interest, it comes directly from the source of the trade. https://t.co/9B9qQEDu5a"
6,2022-12-12 17:03:53+00:00,sentimentrader,"Traders have never spent so much on expectations for a crash.

Last week, all traders across all U.S. exchanges bought to open $4.20 (lol) in put options for every $1 in call options.

That's double what they spent during all the other panics over the past 22 years. https://t.co/ojp1wlzX25"
7,2022-12-07 14:21:20+00:00,sentimentrader,"The Dow clawed back 70% of its losses in 2 months.

That was its 9th-quickest retracement in the last 122 years.

After other quick retracements of at least 70%, the Dow showed a strong tendency to show above-average 12-month returns, though with a miserable failure in 2001. https://t.co/USPf9mpXd6"
8,2022-12-06 18:49:07+00:00,sentimentrader,"There have been some supporting signs for silver in recent months.

According to @jaykaeppel, one of those now is the moving average trend in the euro.

Returns in silver have been quite different depending on the euro's trend. https://t.co/qShIADlC0x"
9,2022-12-06 14:13:14+00:00,sentimentrader,"On October 25, Chinese tech stocks became uninvestable (again). More than half the stocks hit 52-week lows.

Other panics preceded gains over the next 6 months every time.

Now, more than half of them are back above their 200-day averages. Avg gain 2 years later was 93%. $KWEB https://t.co/O3XHodlsUf"
10,2022-12-05 16:01:58+00:00,sentimentrader,"What can you do with that? Diddly squat.

But more generally, clusters of down days punctuated with big one-day gains during downtrends have been a slight medium-term negative, long-term positive."
