,Date,User,Tweet
0,2023-02-26 19:01:26+00:00,tbr90,"@krugermacro But you’re not responding to what I’m saying

I’m saying QE actively prevented consumer price *deflation* post GFC in the way that QE/stimmy caused consumer price inflation

Widespread consumer inflation/deflation lags changes in asset prices"
1,2023-02-26 18:58:03+00:00,tbr90,"I have to keep reminding myself that a 62x over 13 years (37% CAGR) is impressive

DeFi Summer has ruined my internal benchmarks

Oh, how I miss those days"
2,2023-02-26 18:52:32+00:00,tbr90,@0xfoobar I’m not following your question. You think they won’t try to reclassify what is a healthy amount of inflation?
3,2023-02-26 18:48:10+00:00,tbr90,"@krugermacro We would have had large sustained deflation and asset price collapses if not for QEs post GFC

Are you denying that QEs supported asset prices and avoided a deflationary spiral that would’ve caused deflation in core economy?"
4,2023-02-26 18:25:03+00:00,tbr90,@krugermacro Strong disagree. Sustained inflation starts w parking excess liquidity in assets and ends up working its way into the core economy. You cannot separate the two and the latter always follows the former.
5,2023-02-26 18:19:47+00:00,tbr90,"3 macro accounts that have been absolutely killing it

@PauloMacro 
@INArteCarloDoss 
@SantiagoAuFund"
6,2023-02-26 18:05:16+00:00,tbr90,"I don’t think we’ll ever move to a world of native CBDCs on irreversible blockchains bc all governments know that they cannot keep their digital assets (intelligence or otherwise) secure

Will be gold back currencies on irreversible blockchains or CBDCs on reversible systems"
7,2023-02-26 15:45:13+00:00,tbr90,"The biggest psyops over the next 24 months is going to be “the neutral rate of inflation should be 4%, not 2%. The average man on the street is going to be hurt more by job losses than loss of purchasing power.”

No. To kill inflation, a small minority will be hit with job losses…"
8,2023-02-26 15:44:38+00:00,tbr90,"@CharlieXDeFi Yes, already started in the billionaire class, which means the Fed is a few months away from saying it was always their intention to let inflation stay at 4% to juice job numbers https://t.co/dawLkjyB5W"
9,2023-02-26 15:06:05+00:00,tbr90,"@NellyTells Except you still can’t say what you want

I was suspended for asking the demographic breakdown of a study on mental health"
10,2023-02-26 04:16:26+00:00,tbr90,"@carterthomas You’re down in real terms

IMO we’ll see at least a 40% real decline  before we bottom, but it may all be up nominally from here 🤷🏻‍♂️"
11,2023-02-25 22:16:38+00:00,tbr90,Read this 11 times and consider the magnitude of what’s coming next
12,2023-02-25 20:34:15+00:00,tbr90,"A good investment exercise is to go through your winners and see which ones won for reasons that weren’t part of your investment thesis. 

Then look at your losers and see which ones lost despite mostly conforming to your investment thesis"
13,2023-02-25 17:58:07+00:00,tbr90,"@TheStalwart Crypto won’t solve problems regarding transfer of real world assets until governments respect ownership of those assets as titled by a blockchain 

Moving onion future to a blockchain fixed nothing"
14,2023-02-25 17:57:40+00:00,tbr90,Crypto won’t solve problems regarding transfer of real world assets until governments respect ownership of those assets as titled by a blockchain
15,2023-02-25 01:12:25+00:00,tbr90,I’m always surprised that people technical enough to hack DeFi/CeDeFi so frequently seem to ignore centralization risk when parking their ill gotten gains
16,2023-02-25 01:01:12+00:00,tbr90,"@0xc00m I prefer my fields medalists under the age of 30, thank you very much"
17,2023-02-25 00:07:38+00:00,tbr90,"There are some extremely legitimate people selling courses, but, most of the time, they’re monetizing your hopes and dreams rather than whatever they pretend to be selling or investing in"
18,2023-02-25 00:07:37+00:00,tbr90,"If you sell a course, you get absolutely zero benefit of the doubt

Scammer until proven otherwise"
19,2023-02-24 23:58:17+00:00,tbr90,"@MrFourToEight No, it’s not arbitrage by definition. Same way you’re not “arbitraging” rates across a 1mo UST and a 1yr UST bc the duration is different

I’d be worried about you doing “rental arbitrage”, but it looks like you make all your money off courses"
