,Date,User,Tweet
0,2023-02-26 20:28:59+00:00,teo_leibowitz,paper towel is the great equalizer
1,2023-02-25 23:45:54+00:00,teo_leibowitz,@jisiguo big watts!
2,2023-02-24 02:06:32+00:00,teo_leibowitz,@ppphhhiiilll mama (soon)
3,2023-02-24 01:48:52+00:00,teo_leibowitz,what are the odds adobe snitched on themselves after getting clowned for paying 50x ARR?
4,2023-02-24 01:45:37+00:00,teo_leibowitz,@DrewVdW tied with phil taylor
5,2023-02-24 01:44:42+00:00,teo_leibowitz,@Shenanigrahams what does this mean 😅
6,2023-02-24 01:43:59+00:00,teo_leibowitz,@DrewVdW chris froome
7,2023-02-24 01:42:48+00:00,teo_leibowitz,alex murdaugh has an unfortunate name for a man accused of killing his wife and son
8,2023-02-24 01:34:26+00:00,teo_leibowitz,@derek_hsue yours?
9,2023-02-24 01:31:47+00:00,teo_leibowitz,@derek_hsue larry talking to himself in the bathroom - the car pool lane
10,2023-02-24 01:30:57+00:00,teo_leibowitz,@derek_hsue gotta be tom pidcock
11,2023-02-24 01:30:04+00:00,teo_leibowitz,"@hagaetc wow, tough. maybe not best but the early boxed tapes come to mind https://t.co/rpXq1ySJxo"
12,2023-02-24 01:25:27+00:00,teo_leibowitz,@AustinAdams10 charles is pretty solid. bit boring but has done great charity work and cares a lot about the environment
13,2023-02-24 01:22:47+00:00,teo_leibowitz,@xin__wan if we set the bar at ‘being PM’ then have to go for overrated. comparison to brexit is apt: both built on a bed of lies
14,2023-02-24 01:20:08+00:00,teo_leibowitz,@frogmonkee sophie’s choice!
15,2023-02-23 22:42:38+00:00,teo_leibowitz,why do companies always lay off 20% of workforce? why not 15%/25%/30%?
16,2023-02-23 18:59:58+00:00,teo_leibowitz,adverse selection in markets can typically be difficult to quantify in real-time. venture announcements and participating funds are a fun exception
17,2023-02-23 00:21:17+00:00,teo_leibowitz,@0xfbifemboy inflation hedge https://t.co/YM0wKFwpjH
18,2023-02-22 22:30:23+00:00,teo_leibowitz,how does one go about redeeming EUROC for EUR at par without a @circle enterprise account?
19,2023-02-20 14:57:24+00:00,teo_leibowitz,anyone have recommendations for in-home massage services in nyc? top results on google all look a bit sketchy
