,Date,User,Tweet
0,2023-01-27 03:21:19+00:00,thebrianjung,@RealKSmith I appreciate you!
1,2023-01-27 03:21:07+00:00,thebrianjung,@KurtThigpen Thank you!
2,2022-12-16 15:24:03+00:00,thebrianjung,@BrainDumpTweets Bro 💀💀💀
3,2022-12-16 04:41:50+00:00,thebrianjung,"@RuebenUrias I gave my parents the Tacoma but mannn I still love that thing.

Trx or raptor R in 2024 maybe 2023 depending on how things go 😅"
4,2022-12-16 04:41:46+00:00,thebrianjung,@WhiteBoardFin Amen 🤎
5,2022-12-16 04:06:21+00:00,thebrianjung,"Been blessed. 🙏🤎
Life is simple for me. 

Dog, cars, guns, faith. https://t.co/aVaSWSa3tm"
6,2022-12-07 15:47:57+00:00,thebrianjung,Thank you!
7,2022-11-29 15:01:10+00:00,thebrianjung,@AdamCharlesMKT @DcentralCon @GemmyCrypto @RealCryptoFace1 @joincoinsider @WhiteboardCryp1 Woah! I am honored - haha thank you
8,2022-10-30 06:52:18+00:00,thebrianjung,@bee_wya I am good and safe thank you! ❤️✊
9,2022-10-11 04:01:51+00:00,thebrianjung,@KarlHerdersch Yo thank you for sharing this!
10,2022-10-11 03:07:31+00:00,thebrianjung,"When I'm back home it'll be time to execute, but for now I'm building systems and curating a whole new business plan for the upcoming year and I'm more excited than ever before."
11,2022-10-11 03:07:31+00:00,thebrianjung,"This is my first time visiting the country since I was 3 years old and I love it so much here.

Above all I've just been feeling so blessed for being able to experience all this, and the stress relief of my trip has been inspiring me and giving me so many amazing ideas."
12,2022-10-11 03:07:30+00:00,thebrianjung,"Most importantly I feel safe in this country, like I'm not gonna get shot or chased with a knife outside my house lol.

This is because South Korea has one of the lowest crime rate in the entire world.

Korea: 2019 Per 100k pop. is at 0.58 
U.S: 2019 Per 100k pop is at 6.52 https://t.co/bGrU9BgZJu"
13,2022-10-11 03:07:30+00:00,thebrianjung,"The term ""your gut is your second brain"" is real. Google it-

In Korea, before you eat a meal sometimes they serve you Yuk-Su which is bone broth in a tea cup.

Bone Broth has amazing health benefits and is SO good for the gut.

Feel better, look better, perform better. https://t.co/3x0pvpRrn7"
14,2022-10-11 03:07:30+00:00,thebrianjung,"In the past week I've been here I've felt better than ever before.

Water tastes CLEAN.
Diet has been less processed.
Walking More often.
Sleep is way better. https://t.co/tiducTMStx"
15,2022-10-11 03:07:29+00:00,thebrianjung,"What I found really interesting though is I haven't seen overweight / obese people like I do in the U.S.

Most people here are fit and look very healthy.

The diet is cleaner with a ton of vegetables, &amp; you need to walk more often to get to where you need to be. https://t.co/uC2BHrqilC"
16,2022-10-11 03:07:29+00:00,thebrianjung,"Besides that 95% of the people I've ran into have been so genuinely kind.

Yesterday when I was leaving the glasses store a worker had noticed it started to rain and asked if we had brought an umbrella.

We didn't so they gave one for us to keep. It was a good umbrella too lol https://t.co/2x5LuTpFGF"
17,2022-10-11 03:07:28+00:00,thebrianjung,"The other 30-40% comes from the current strength of the U.S Dollar.

Right now because the foreign exchange currency rate for the dollar is OP my $1:1 dollar is worth around 1:$1.30- $1.40 in Korea.

Basically an average of around 35% off on anything I buy from the dollar. https://t.co/BKI1H74E50"
18,2022-10-11 03:07:28+00:00,thebrianjung,"As an American each meal is over 50 - 60% off.

In Korea you don't tip like in the U.S. When I eat out I normally tip pretty generously, but not having this has saved me thousands of dollars alone so far.

From this minimum I save 20% on my meal."
19,2022-10-11 03:07:27+00:00,thebrianjung,"Food is delicious. 

I haven't had one bad meal yet. 

Thing's aren't loaded with sugar like it is in the U.S. 

There's a fine balance between savory and sweet.

I've walked into about 10 different Korean restaurants and each one of them has been consistently good. https://t.co/k9lNOnBW58"
20,2022-10-11 03:07:27+00:00,thebrianjung,"It's almost been a week since I've come to South Korea.

Here's some things that I've learned 🧵 https://t.co/dSJvEXGtp4"
21,2022-10-04 10:15:05+00:00,thebrianjung,@cryptolution101 @Maxwell_Maher @Maxwell_Maher and I are built different
22,2022-07-31 15:34:41+00:00,thebrianjung,@tkradio Toby thank you! It’s always so nice to hear someone from the local area being so kind with the support. I appreciate you man!
23,2022-06-21 15:29:42+00:00,thebrianjung,"@Am0martahlil Yea please watch out for scammers impersonating me. This is my one and only account. 

I’ve reported to take down the fake accounts here on twitter and they denied my request multiple times. 

Elon was on to something before he hesitated on buying this platform."
24,2022-06-16 18:06:01+00:00,thebrianjung,@nateobrienn Shoot me the latitude and longitude. I’ll put my desk right next to yours behind that tree
25,2022-06-14 17:34:03+00:00,thebrianjung,@withmattkim Excellent break down Matt! Great work--
26,2022-06-08 15:52:50+00:00,thebrianjung,@leejosh95 @memeland You are very welcome bro!! ❤️
27,2022-06-04 05:53:19+00:00,thebrianjung,"@RustySailor_ @yugalabs Merch quality feels like sandpaper.

I am very disappointed."
28,2022-06-03 21:39:22+00:00,thebrianjung,@MetaLifeNow Thank you!
29,2022-06-01 14:40:28+00:00,thebrianjung,@lo_johnny810726 Enjoy Johnny! Thanks for being a part of our community- JUNGLEEEE SQUAD
30,2022-05-27 23:28:15+00:00,thebrianjung,@EB7 Fantastic job ✅
31,2022-05-27 22:15:51+00:00,thebrianjung,@peepeetatas Thank you! I appreciate you fam ❤️
32,2022-05-27 17:39:28+00:00,thebrianjung,@leejosh95 @memeland Yessir!
33,2022-05-26 19:44:50+00:00,thebrianjung,@UmiiiShumiii Thank you!
34,2022-05-20 21:20:00+00:00,thebrianjung,"Proud of my boys for starting a rolling fund within the creator space. 

Congrats guys—"
35,2022-05-20 19:42:19+00:00,thebrianjung,@nateobrienn @Roadrunner_VC @sebfung Congrats guys 💯💯
36,2022-05-18 00:22:27+00:00,thebrianjung,"@awstnshn @BrieflyCrypto Yoo thanks for the tag!

I spoke with BBC a while ago, I completely forgot about this piece"
37,2022-05-15 15:58:09+00:00,thebrianjung,@stablekwon thank you
38,2022-05-12 23:52:38+00:00,thebrianjung,This scam accounts giving away air
39,2022-05-12 15:12:13+00:00,thebrianjung,@Improbableio @yugalabs @OthersideMeta @M2_metaverses @HermanNarula 🐂
40,2022-05-12 13:25:41+00:00,thebrianjung,This man really don’t miss
41,2022-05-12 00:42:28+00:00,thebrianjung,"Question: Could $USDT depeg too? 

I’m seeing a lot more variance here than usual. 

Could be the magic of FUD in the air as well.. 

Hmm https://t.co/gJvpeerC3d"
42,2022-05-11 17:49:13+00:00,thebrianjung,@carsonturner @AsherahEth @SlamDiegoZoo @OthersideMeta this is the way
43,2022-05-11 17:37:51+00:00,thebrianjung,@bysnch wombo combo of death
44,2022-05-11 13:55:21+00:00,thebrianjung,"Crypto has its high and its lows.

The bear market is where the most opportunity is created. 

Don’t let go now. 

You can do this. 

Stick through fam"
45,2022-05-11 13:25:35+00:00,thebrianjung,Well then 😅
46,2022-05-11 09:38:00+00:00,thebrianjung,"Woke up to pure chaos 💀

UST hit $.29 

Luna could actually get very close to near $0

@stablekwon wyd"
47,2022-05-10 01:43:53+00:00,thebrianjung,@0xtuba lmfaoooo
48,2022-05-10 01:10:47+00:00,thebrianjung,Crypto twitter never fails...
49,2022-05-10 00:29:11+00:00,thebrianjung,What really caused the crypto crash of 2022
50,2022-05-10 00:25:41+00:00,thebrianjung,"I believe if Luna was indeed a Ponzi it will melt down within the next 72 hours.

Keep in mind: A lot of theories on a coordinated attack on Luna and it looks like they're trying everything they can to prop it up.

Not RIP just yet.

But we shall see..."
51,2022-05-10 00:21:39+00:00,thebrianjung,@withmattkim Do Kwon need some soju tonight bro
52,2022-05-10 00:15:01+00:00,thebrianjung,UST &amp; Luna. My goodness lol...
53,2022-05-09 23:41:52+00:00,thebrianjung,Crypto Youtube gets some recognition from CEO of YT
