,Date,User,Tweet
0,2023-02-25 23:07:29+00:00,twobitidiot,@tannishmango Where is this screen shot from?
1,2023-02-25 12:27:22+00:00,twobitidiot,"We need to spend $100mm / year the next two years to have a fighting chance at offsetting the damage SBF did in DC.

It’s a bear market and we’re 3-4x short. But I think it’s a coordination problem that can be solved…"
2,2023-02-24 22:48:51+00:00,twobitidiot,We will win.
3,2023-02-23 18:40:29+00:00,twobitidiot,@MrBenLilly @Jarvis_Labs_LLC Awesome! Will DM
4,2023-02-23 12:52:14+00:00,twobitidiot,"2/ We still plan to hire for a number of open roles and will continue working to bring better transparency &amp; data standards to crypto.

Market headwinds (in crypto / tech generally) led to a tough decision. But I'm confident this move will put us on stronger footing long term."
5,2023-02-23 12:51:27+00:00,twobitidiot,"1/ Yesterday we made the difficult decision to restructure several of Messari’s internal teams, leading to a 15% staff reduction.

We're grateful for the contributions of the teammates we have parted ways with, and will provide resources and connections to help them transition."
6,2023-02-23 02:48:17+00:00,twobitidiot,A lot of people clicking the right answer but not enough ponying up. A real Moloch problem…
7,2023-02-23 02:42:30+00:00,twobitidiot,How much will crypto industry + grassroots (collectively) have to spend on policy efforts per year to get good outcomes in DC after SBF screwed us all?
8,2023-02-22 23:40:23+00:00,twobitidiot,@OurielOhayon @rektfencer @MessariCrypto If you have to ask…
9,2023-02-22 20:08:12+00:00,twobitidiot,look everyone I'm stealing a security. https://t.co/xuFYq11Bk9
10,2023-02-22 17:21:57+00:00,twobitidiot,"@rektfencer @MessariCrypto very bold to post before notifying. does not strike me as ethical hacking, but you do you."
11,2023-02-21 21:27:39+00:00,twobitidiot,"Coinbase crushing on stablecoins / interest revenue.

Let’s preserve the digital dollar vs. cripple it with misguided policy."
12,2023-02-21 18:26:36+00:00,twobitidiot,You can read the full report here: https://t.co/HbnJJVC0WJ
13,2023-02-21 18:26:19+00:00,twobitidiot,"Because crypto is 100x more transparent than legacy financial markets, it's much easier to estimate how the centralized players are doing.

Here's @kunalgoel's Q4 earnings preview for Coinbase: https://t.co/IOZ3Rylple"
14,2023-02-21 17:22:29+00:00,twobitidiot,"My sense is that AI will be more disruptive for mid level knowledge workers than offshoring was for blue collar factory workers.

10x workers will become 100x workers, and everyone else will struggle to keep up.

I’m not worried about AGI, just unrest."
15,2023-02-19 19:11:20+00:00,twobitidiot,It’s time. https://t.co/hwCbKSnF0s
16,2023-02-16 13:52:06+00:00,twobitidiot,Would be nice if US crypto policy was grounded in fact vs fiction: https://t.co/HZ3gPkU3UQ
17,2023-02-14 15:44:19+00:00,twobitidiot,@BenDiFrancesco @b05crypto I funded and supported a PAC that went 17/18 in the 2022 cycle with new crypto candidates R-D
18,2023-02-14 15:43:01+00:00,twobitidiot,"All I want in my career is for America to win, and crypto is the best defensive tech the US has in our long-term rivalry with China.

What's good for crypto is good for America, and vice versa. I hope we don't lose that edge."
19,2023-02-14 14:55:51+00:00,twobitidiot,"@b05crypto I RT’d this for visibility, and agree with you on most of it, but it depends on the D candidate. I will do a 180 if it’s Jared Polis."
20,2023-02-14 12:14:50+00:00,twobitidiot,"If regulators go after Coinbase or Circle you’d know we have an all out war, but until that happens, bigger fights are on the custody and banking fronts."
21,2023-02-14 12:13:32+00:00,twobitidiot,"I made 15+ calls this week on policy:

1) Enforcement actions (so far) are facts based (targeting Binance mostly + the mechanics of Kraken’s staking)

2) The custody rule for investors might get proposed but has much mightier enemies than crypto

3) Banking access the real issue"
22,2023-02-13 21:58:09+00:00,twobitidiot,"@RobertJSalvador @JohnEDeaton1 @coincenter @BlockchainAssn I spent last year scaling a company working on the core information problems in the space, and trying to support various policy efforts, but we don’t have a direct case to pursue."
23,2023-02-13 13:20:28+00:00,twobitidiot,"If Congress cared about American investors, they'd:

+ Create a new legal designation for tokens, adopt Safe Harbors &amp; disclosures rules for issuers &amp; investors

+ Legalize and promote stablecoins to protect USD

+ Create oversight rules for crypto custodians

It's not that hard."
24,2023-02-13 10:45:56+00:00,twobitidiot,"GM, time to fight."
25,2023-02-12 04:31:17+00:00,twobitidiot,"@cobie Agree. Bitcoin is a perfect wedge for GOP too. PoW drives the progressives crazy, and gets the gold bugs going."
26,2023-02-12 01:39:10+00:00,twobitidiot,@Sean00990 Yes
27,2023-02-12 01:15:03+00:00,twobitidiot,"Finally, please recall that it was SBF who was one of the top Democrat donors of all time. So I award people zero points for their R or D stance.

Good person?
Building vs complaining?
Not trying to destroy my livelihood?

We’re cool. 🤝"
28,2023-02-12 01:06:00+00:00,twobitidiot,"And for the record, I’m supporting any GOP candidate not named Trump. If Trump is nominated, I’ll just retire and flee the country because crypto won’t be a thing in the US either way."
29,2023-02-12 00:50:55+00:00,twobitidiot,"And if you think it’s fun or titillating to go publicly pro-GOP this early in an election cycle as a tech CEO, you’re out of your fucking mind.

But it won’t be the first or last time that I’ve taken a controversial, risky, and 100% correct stance."
30,2023-02-12 00:42:02+00:00,twobitidiot,"I donated $50k to Democratic candidates last year and voted for Biden in 2020 (mistake).

I do not have political bias here, but too many Democratic partisans who love crypto are projecting what they want to true vs accepting what is true."
31,2023-02-12 00:19:58+00:00,twobitidiot,"@mdudas Most people refer to the rogue regulators, not the Biden White House. It’s time to start pointing fingers at the top of the ticket vs lackeys further down the pecking order."
32,2023-02-12 00:17:22+00:00,twobitidiot,"The Biden Administration is trying to strangle crypto.

A lot of folks have been trying to stifle that criticism, but the effort to destroy the industry is quiet but pervasive across the exec branch.

The time to make crypto an issue that wins or loses the Presidency is now."
33,2023-02-11 15:11:57+00:00,twobitidiot,"@QuasiSchizoid Write a killer thread on a unique crypto asset every day for a month, covering fundamentals (sources don’t need to be messari), competitive positioning and outlook.

No silver bullet. Great analysts are trained, not hired, and put in the work. I’ve never met a great 9-5 analyst."
34,2023-02-11 14:57:24+00:00,twobitidiot,"Every 80 years or so there are big, chaotic upheavals. This one will be mostly tech-driven, with crypto and AI as the two primary battlefronts.

Geopolitical: AI vs AI
State vs Individual: Crypto vs AI"
35,2023-02-10 22:11:07+00:00,twobitidiot,@MLGavaudan Yes! https://t.co/0xotmCUwLp
36,2023-02-10 21:31:58+00:00,twobitidiot,@Jason @GaryGensler Ish.
