,Date,User,Tweet
0,2023-02-26 22:03:40+00:00,vishalkgupta,@jconorgrogan Prolly forgot his keys
1,2023-02-24 03:51:00+00:00,vishalkgupta,@jai_prasad17 @0xdoug @brian_armstrong 👀
2,2023-02-24 01:10:19+00:00,vishalkgupta,"@alexisohanian @StakeholderLabs The retail market used to come and go with every bull/bear turn.. 

my gut is that given all the information/tools out there, the markets seem more approachable. 

these investors will stay and continue to invest &amp; grow from here forward."
3,2023-02-16 15:33:04+00:00,vishalkgupta,"@tier10k client choosing to withdraw TUSD

https://t.co/iMDc1LPoml"
4,2023-02-14 19:03:13+00:00,vishalkgupta,Watching the BLUR auction open on @CoinbaseExch is a beautiful thing.
5,2023-02-14 14:06:12+00:00,vishalkgupta,🚨
6,2023-02-13 20:06:06+00:00,vishalkgupta,@theFlash Ok.. this looks so cool
7,2023-02-13 16:32:23+00:00,vishalkgupta,@cmsholdings i believe so
8,2023-02-13 02:16:42+00:00,vishalkgupta,@fintechfrank This makes 0 sense.
9,2023-02-11 22:08:32+00:00,vishalkgupta,@surojit @a16zcrypto Big congrats sir 🫡
10,2023-02-08 15:54:09+00:00,vishalkgupta,@fintechfrank just wait till you hit 30
11,2023-02-08 15:47:16+00:00,vishalkgupta,@SamSpratt First Sacrifice is amazing.
12,2023-02-06 19:09:24+00:00,vishalkgupta,@wavyyswag Sharing Wi-Fi codes was also pretty magical https://t.co/cksCv0qcSb
13,2023-02-06 17:04:27+00:00,vishalkgupta,@linear_magazine this is beautiful
14,2023-02-06 14:49:26+00:00,vishalkgupta,"@davidmarcus Ex-Tesla or the new wave of EVs, you’re right. They foolishly believe that they are creating their own software ecosystems."
15,2023-02-04 03:27:29+00:00,vishalkgupta,"@TeslaPodcast Question is, will Tesla price adjust again?"
16,2023-02-03 22:35:54+00:00,vishalkgupta,🚨🚨🚨
17,2023-02-02 21:55:07+00:00,vishalkgupta,@jai_prasad17 There’s enough for everyone.
18,2023-02-02 21:11:59+00:00,vishalkgupta,@jai_prasad17 https://t.co/moWqpWTObW
19,2023-02-02 18:22:20+00:00,vishalkgupta,@SamSpratt 🫡💀
20,2023-02-02 18:04:12+00:00,vishalkgupta,@fintechfrank @tier10k Moustache Capital
21,2023-02-02 13:52:35+00:00,vishalkgupta,@IamNomad What would you design differently? What can we do better?
22,2023-02-02 01:27:09+00:00,vishalkgupta,@cmsintern @cmsholdings Chair Powell 🫡
23,2023-02-01 18:07:20+00:00,vishalkgupta,@SamSpratt @harrygward_ @todayodious @eth_degen I remember we were having dinner in Tribeca around that time.
24,2023-01-31 21:54:41+00:00,vishalkgupta,@JedBreed Congrats sir 🫡
25,2023-01-31 19:14:04+00:00,vishalkgupta,@iamfabiano Love this one.
26,2023-01-30 21:46:19+00:00,vishalkgupta,@iamlauwolff https://t.co/sj1cFjkXJJ
27,2023-01-29 21:00:39+00:00,vishalkgupta,"@geenty People under estimate the growth of perps, the ex-US spot market, and the take over of Binance."
28,2023-01-28 14:57:12+00:00,vishalkgupta,@dmcgco Yea.. but what’s the “G-train”?
29,2023-01-27 21:30:11+00:00,vishalkgupta,@mdudas @coinbase Lesssgo
30,2023-01-26 20:30:47+00:00,vishalkgupta,@SawyerMerritt “Build me an Audi S7 on cyber truck wheels”
31,2023-01-26 20:29:33+00:00,vishalkgupta,@SawyerMerritt This looks like it was built by an AI bot.
32,2023-01-23 17:41:29+00:00,vishalkgupta,@steviemctweets made whole foods look like trader joes
