,Date,User,Tweet
0,2023-02-26 22:40:44+00:00,woonomic,"@Breedlove22 Twitter has devolved into a place for one liners and trolling. 

(Apart from those long form formulaic click bait educational threads.)"
1,2023-02-25 10:29:30+00:00,woonomic,"@tandemrisk @rogerkver It was already raised at the SegWit soft fork to just under 4MB by using the SegWit partition.

Doesn't mean it's right, IMO it needs to get smaller not bigger."
2,2023-02-25 10:18:42+00:00,woonomic,"@rogerkver Why would you even want that?

Customer pays, waits 10mins for a #Bitcoin block to confirm. Next customer pays, waits 10mins.

Commerce grinds to a halt, millions die of starvation at the checkout counters."
3,2023-02-24 18:52:30+00:00,woonomic,@Breedlove22 Obviously when the central banking bubble pops you’ll need to dive for cover or have #Bitcoin
4,2023-02-22 06:05:39+00:00,woonomic,@PositiveCrypto What are your reservations about SG?
5,2023-02-22 05:35:24+00:00,woonomic,@VinnyLingham By the way. HK doesn’t have the ability to print its own currency. It’s exchange rate is locked to the USD. It does everything out of its reserves.
6,2023-02-22 05:20:21+00:00,woonomic,"@VinnyLingham That’s the 4th or 5th time they have done that. For non HK residents overseas, there’s always the 500,000 free air tickets up for grabs."
7,2023-02-21 19:51:20+00:00,woonomic,@slinkymonkey https://t.co/lYJQZICjhH
8,2023-02-21 09:41:28+00:00,woonomic,"Data: @glassnode 
Sponsor: Nostr

This analysis was posted 2 days ago on Nostr, my content sponsor."
9,2023-02-21 09:41:27+00:00,woonomic,"Fundamentals are picking up on #Bitcoin.

Fundamental Strength Indicator is no longer overheated and starting to rise (FSI tracks the strength of 17 fundamental and technical indicators)

If price gets much above 25k, we could be in for a short squeeze. https://t.co/ske2YZueXa"
10,2023-02-20 19:28:56+00:00,woonomic,@Delphi_Digital Also some individuals having multiple wallets to buy their own NFT to increase the last paid price.
11,2023-02-20 19:24:33+00:00,woonomic,"@LawrenceLepard @CaitlinLong_ My conclusion is it will win, in due time which may take a decade, but in doing so, more will be built on it than just Twitter-like functionality."
12,2023-02-20 19:18:56+00:00,woonomic,@OTerrifying To really spice it up for adventure tourism they should paint patches of red on the lower parts of the cliff.
13,2023-02-20 19:08:55+00:00,woonomic,@tortuga_turbo @balajis Umm… You can’t do math without whiteboards. Let’s quantify it in whiteboards 🤝
14,2023-02-20 14:10:05+00:00,woonomic,"@balajis I like the first point, we can measure it by the energy use of civilisation. This is because energy is the purest form of humans using leverage.

Energy consumption happens to be easy to quantify vs something more abstract like complexity of math."
15,2023-02-20 12:03:47+00:00,woonomic,"@BatonG91952654 I'm in favour of free markets, even if I disagree the former takes precedence."
16,2023-02-20 12:01:30+00:00,woonomic,@BTC_Bernoulli Yup. You got it.
17,2023-02-20 11:59:33+00:00,woonomic,The line is CVDD Floor. A bottom model I made in 2019.
18,2023-02-20 11:58:51+00:00,woonomic,@Babahodl CVDD Floor. Created 2019.
19,2023-02-20 11:57:22+00:00,woonomic,"@iamabozo88 It's my onchain bottom model, CVDD."
20,2023-02-20 11:56:52+00:00,woonomic,"@CryptoNaut1234 Not an expert on trad macro, but looks like macro liquidity is on the uptick. BTC is still linked to this.

Right now expecting a climb and a dead cat if the recession kicks in.

Also think a de-coupling may happen in future cycles."
21,2023-02-20 11:41:59+00:00,woonomic,"Simple is powerful. Here's the timing of #Bitcoin cycles.

Probably means we are entering the re-accumulation phase of the cycle. Here's the past zones. https://t.co/CKFQSBni8I"
22,2023-02-19 08:40:02+00:00,woonomic,@adrianlai2022 🤜🤛
23,2023-02-19 08:37:30+00:00,woonomic,@TLA_Crypto It’s a protocol not a UI. Adoption is going exponential and retracing BTC early adoption. It’s up to the apps ecosystem to deliver.
24,2023-02-19 08:35:55+00:00,woonomic,@clemente_crypto It’s in my Twitter profile.
25,2023-02-19 08:35:15+00:00,woonomic,@RunemirQi 😂
26,2023-02-19 08:33:51+00:00,woonomic,@snieders Thanks for the tip.
27,2023-02-19 08:33:12+00:00,woonomic,"@JoeXWang Agree. It’s retracing the #Bitcoin community arc, 2017 onwards were the years it got toxic. Nostr is in 2009-2011 in BTC years."
28,2023-02-19 08:30:37+00:00,woonomic,@Gabezor Why stop at one? I use Damus for iPhone I post charts with https://t.co/zz9JFgWv2j on web. And I also use https://t.co/Lmsxf0bX1N to read a firehose of top posts that’s outside of the people I follow.
29,2023-02-19 01:19:04+00:00,woonomic,"I'm enjoying posting charts on Nostr, it's a different community. More curious and engaging discussions. Zero toxicity. https://t.co/8Pgzip2NvK"
