,0
0,https://www.tradingview.com/chart/BTCUSDT/8OHDcTM9-Range-pattern-looking-like-a-copy-paste-will-it-happen/
1,https://www.tradingview.com/chart/BTCUSDT/DY3sYaT0-Bitcoin-Head-and-Shoulders/
2,https://www.tradingview.com/chart/BTCUSDT/PV13hc09-BTC-and-Market-Turndown/
3,https://www.tradingview.com/chart/BTCUSDT/Xg6Hd1lq-BTC-possible-turbulence/
4,https://www.tradingview.com/chart/BTCUSDT/SVa1419t-March-is-the-most-important-period-for-crypto-in-2023/
5,https://www.tradingview.com/chart/BTCUSDT/Vc4twrUw-Pullback-to-broken-long-term-support/
6,https://www.tradingview.com/chart/BTCUSDT/9YmlBEFD-Small-flag/
7,https://www.tradingview.com/chart/BTCUSDT/WnmXGCVZ-7663-Any-pullback-is-long/
8,https://www.tradingview.com/chart/BTCUSDT/ET8oZVhn-Trading-opportunity-for-BTCUSDT/
9,https://www.tradingview.com/chart/BTCUSDT/eE4WksCm-BITCOIN-Is-this-the-final-DIP/
10,https://www.tradingview.com/chart/BTCUSDT/reLDEqUx-Correction-seems-to-be-imminent/
11,https://www.tradingview.com/chart/BTCUSDT/xZB9z9Bd-BTCUSDT-6H-Chart/
12,https://www.tradingview.com/chart/BTCUSDT/UZMaOcvf-3-possibilities/
13,https://www.tradingview.com/chart/BTCUSDT/L6dnK5Ih-BTC-Bearish-Expansion-Triangle-Pattern/
14,https://www.tradingview.com/chart/BTCUSDT/7BYqOblI-Bitcoin-will-fall-to-a-historic-price/
15,https://www.tradingview.com/chart/BTCUSDT/sFSfO2Pw-BTC/
16,https://www.tradingview.com/chart/BTCUSDT/YQBXy3nE-Momentum-lost/
17,https://www.tradingview.com/chart/BTCUSDT/nP0YgkDy-BTCUSDT-LONGTERM-BEARISH/
18,https://www.tradingview.com/chart/BTCUSDT/3x8eksCb-Mock-Up-Price-Action-for-BTC-I-ll-Be-Tracking-Through-Next-Week/
19,https://www.tradingview.com/chart/BTCUSDT/smLwZZPW-BTC-short-idea/
20,https://www.tradingview.com/chart/BTCUSDT/DB1wrwJm-BTCUSDT-short-term-analyses/
21,https://www.tradingview.com/chart/BTCUSDT/1mgTj04R-Bitcoin-Short-Or-Long/
22,https://www.tradingview.com/chart/BTCUSDT/zBwlCwlD-BTC-is-ready-for-a-downward-trend/
23,https://www.tradingview.com/chart/BTCUSDT/qUSz9CAG-Awful/
24,https://www.tradingview.com/chart/BTCUSDT/VIGhJ2pS-BTC/
25,https://www.tradingview.com/chart/BTCUSDT/TQqCh66W-Btc/
26,https://www.tradingview.com/chart/BTCUSDT/Peb8NEnU-BTC-4H-still-can-bounce/
27,https://www.tradingview.com/chart/BTCUSDT/88mGb2GK-ALT-Season-Started/
28,https://www.tradingview.com/chart/BTCUSDT/LGwN06pA-Bitcon-appears-like-a-tradable-short-position/
29,https://www.tradingview.com/chart/BTCUSDT/e4QrFgSV-Buy-and-close-your-eyes-for-years/
30,https://www.tradingview.com/chart/BTCUSDT/1Xr1LFML-BTC-Update/
31,https://www.tradingview.com/chart/BTCUSDT/DmwJFW8w-BTC-uptrend-according-to-Retail-Scalp/
32,https://www.tradingview.com/chart/BTCUSDT/Kh54iA0q-InvestMate-Bitcoin-Finally-Falling/
33,https://www.tradingview.com/chart/BTCUSDT/rb5F0WMB-btc-update/
34,https://www.tradingview.com/chart/BTCUSDT/AEg8nDi5-InvestMate-Bitcoin-Third-Wave-of-Declines-in-Play/
35,https://www.tradingview.com/chart/BTCUSDT/JDseqUxm-Bitcoin-critical-level-is-breaking-down-right-now/
36,https://www.tradingview.com/chart/BTCUSDT/oa851QOa-BTCUSDT-SHORT-LIVE-TRADE-3K-Profit/
37,https://www.tradingview.com/chart/BTCUSDT/YVcuEriE-BTC/
38,https://www.tradingview.com/chart/BTCUSDT/LnqH56du-BTCUSDT-Is-it-a-bull-or-bear/
39,https://www.tradingview.com/chart/BTCUSDT/FJghI4t5-Bitcoin-So-far-the-mood-is-bullish/
40,https://www.tradingview.com/chart/BTCUSDT/1tzGFyNI-btc/
41,https://www.tradingview.com/chart/BTCUSDT/PKieE9B4-BTCUSDT/
42,https://www.tradingview.com/chart/BTCUSDT/dqAmhQLJ-bitcoin-bearis-signal/
43,https://www.tradingview.com/chart/BTCUSDT/2y7vbQzc-Potential-buy-for-BTC/
44,https://www.tradingview.com/chart/BTCUSDT/4HmP01i2-Bitcoin-BTC-Price-targets-if-SEC-will-ban-Crypto-Staking/
45,https://www.tradingview.com/chart/BTCUSDT/KRksJywr-BTC-broken-structure/
46,https://www.tradingview.com/chart/BTCUSDT/T1OTNvwv-btc/
47,https://www.tradingview.com/chart/BTCUSDT/RLn9eU7E-BTCUSD-Daily-Fame/
48,https://www.tradingview.com/chart/BTCUSDT/DFEjxLf2-BTCUSDT-This-is-the-time/
49,https://www.tradingview.com/chart/BTCUSDT/9kwzFfdv-Decided-fall-bitcoin-s-choice-makes-me-curious/
50,https://www.tradingview.com/chart/BTCUSDT/aLvZVIrn-Bitcoin-The-buyer-keeps-the-price/
51,https://www.tradingview.com/chart/BTCUSDT/r9G0hMvr-BITCOIN-Falling-on-Kraken-News-to-stop-offering-Staking/
52,https://www.tradingview.com/chart/BTCUSDT/t4Feyxhe-BTC-USDT-Sign-of-bearish-pattern/
53,https://www.tradingview.com/chart/BTCUSDT/t0nFcDPF-BITCOIN-UPDATE-WHAT-IS-THE-TREND/
54,https://www.tradingview.com/chart/BTCUSDT/Qz3thrfw-BTC-LONG-TRADE-SETUP-SHORTTERM/
55,https://www.tradingview.com/chart/BTCUSDT/QsMP38es-BTCUSDT-likely-to-bounce-here/
56,https://www.tradingview.com/chart/BTCUSDT/1Jpv8gVf-LET-SEE/
57,https://www.tradingview.com/chart/BTCUSDT/1r6xGRXc-BTC/
58,https://www.tradingview.com/chart/BTCUSDT/WWQkJU4a-BTC-update/
59,https://www.tradingview.com/chart/BTCUSDT/ISkYwLNT-BTC-Broke-down-the-RSI-Support/
60,https://www.tradingview.com/chart/BTCUSDT/w7fevVkz-Bitcoin-Analyze-Short-Term-1-hour-Time-Frame-02-09-2023/
61,https://www.tradingview.com/chart/BTCUSDT/JnlDNU43-What-if-Bitcoin-is-making-a-very-sneaky-redistribution-range/
62,https://www.tradingview.com/chart/BTCUSDT/nru4JRkV-Bitcoin-Wants-to-go-DOWN-now-HERE-S-The-Secret-Reason/
63,https://www.tradingview.com/chart/BTCUSDT/AgEqR3Wi-BTC-next-target/
64,https://www.tradingview.com/chart/BTCUSDT/tkA0DRB3-BTCUSD-LONG-here-for-short-scalp/
65,https://www.tradingview.com/chart/BTCUSDT/pKO12j2v-BTC-RANGEBOUND-About-to-END/
66,https://www.tradingview.com/chart/BTCUSDT/vWhOXyL1-Bitcoin-still-looks-bullish/
67,https://www.tradingview.com/chart/BTCUSDT/VCLbPr3b-BTC-breakdown-from-descending-wedge-and-is-sitting-on-lt-support/
68,https://www.tradingview.com/chart/BTCUSDT/CV4TNybE-Short-term-money-flow-indicators-are-weakening/
69,https://www.tradingview.com/chart/BTCUSDT/hwou0zrM-BTC-short-term-bear-is-on/
70,https://www.tradingview.com/chart/BTCUSDT/QXylpAqE-BTC/
71,https://www.tradingview.com/chart/BTCUSDT/OpawGSIg-btc/
72,https://www.tradingview.com/chart/BTCUSDT/xjft3SLi-btcusdt/
73,https://www.tradingview.com/chart/BTCUSDT/0K2HcJSe-Long-btc/
